Region,EventCode,ProtocolCode,ProjectCode,ProjectName,AgencyCode,StationCode,StationName,SampleDate,CollectionTime,CollectionMethodCode,LocationCode,SampleTypeCode,CollectionDeviceDescr,CollectionDepth,UnitCollectionDepth,SieveSize,Replicate,LabSampleID,Metric,Result
2,BA,SWAMP_2007_WS,USGS_Xeric_Flow_Study,USGS_Xeric_Flow_Study,Not Recorded,204AMCADD,Alameda Creek above Div. Dam nr. Sunol,4/25/2014,0:00,BMI_RWB,X,Integrated,D-Frame Kick Net,-88,m,0.5mm,1,20985,Armr_1_Percent,82.87
2,BA,SWAMP_2007_WS,USGS_Xeric_Flow_Study,USGS_Xeric_Flow_Study,Not Recorded,204CLCACR,Cull Creek above Cull C. Res. nr. Castro Valley,4/25/2014,0:00,BMI_RWB,X,Integrated,D-Frame Kick Net,-88,m,0.5mm,1,20991,Armr_1_Percent,85.63
2,BA,SWAMP_2007_WS,USGS_Xeric_Flow_Study,USGS_Xeric_Flow_Study,Not Recorded,205CYCNGR,Coyote Creek nr. Gilroy,4/24/2014,0:00,BMI_RWB,X,Integrated,D-Frame Kick Net,-88,m,0.5mm,1,20990,Armr_1_Percent,92.31
3,BA,SWAMP_2007_WS,USGS_Xeric_Flow_Study,USGS_Xeric_Flow_Study,Not Recorded,309NNRBSC,Nacimiento River below Sapaque Cr. Nr. Bryson,4/24/2014,0:00,BMI_RWB,X,Integrated,D-Frame Kick Net,-88,m,0.5mm,1,20996,Armr_1_Percent,78.55
3,BA,SWAMP_2007_WS,USGS_Xeric_Flow_Study,USGS_Xeric_Flow_Study,Not Recorded,309SARNLW,San Antonio River nr. Lockwood,4/24/2014,0:00,BMI_RWB,X,Integrated,D-Frame Kick Net,-88,m,0.5mm,1,21000,Armr_1_Percent,84.11
3,BA,SWAMP_2007_WS,USGS_Xeric_Flow_Study,USGS_Xeric_Flow_Study,Not Recorded,310LPCNAG,Lopez Creek nr. Arroyo Grande,4/23/2014,0:00,BMI_RWB,X,Integrated,D-Frame Kick Net,-88,m,0.5mm,1,20994,Armr_1_Percent,96.48
3,BA,SWAMP_2007_WS,USGS_Xeric_Flow_Study,USGS_Xeric_Flow_Study,Not Recorded,314SCCNSY,Santa Cruz Creek nr. Santa Ynez,4/23/2014,0:00,BMI_RWB,X,Integrated,D-Frame Kick Net,-88,m,0.5mm,1,21001,Armr_1_Percent,70.48
3,BA,SWAMP_2007_WS,USGS_Xeric_Flow_Study,USGS_Xeric_Flow_Study,Not Recorded,314SYRASV,Santa Ynez River at Solvang,4/22/2014,0:00,BMI_RWB,X,Integrated,D-Frame Kick Net,-88,m,0.5mm,1,21002,Armr_1_Percent,42.5
4,BA,SWAMP_2007_WS,USGS_Xeric_Flow_Study,USGS_Xeric_Flow_Study,Not Recorded,402MJCMHS,Matilija Creek nr. Res. nr. Matilija Hot Springs,4/22/2014,0:00,BMI_RWB,X,Integrated,D-Frame Kick Net,-88,m,0.5mm,1,20995,Armr_1_Percent,88.95
4,BA,SWAMP_2007_WS,USGS_Xeric_Flow_Study,USGS_Xeric_Flow_Study,Not Recorded,403PRCAFF,Piru Creek above Frenchmans Flat,4/21/2014,0:00,BMI_RWB,X,Integrated,D-Frame Kick Net,-88,m,0.5mm,1,20997,Armr_1_Percent,80.66
4,BA,SWAMP_2007_WS,USGS_Xeric_Flow_Study,USGS_Xeric_Flow_Study,Not Recorded,403PRCSFD,Piru Creek below Santa Felicia Dam,4/21/2014,0:00,BMI_RWB,X,Integrated,D-Frame Kick Net,-88,m,0.5mm,1,20998,Armr_1_Percent,56.42
4,BA,SWAMP_2007_WS,USGS_Xeric_Flow_Study,USGS_Xeric_Flow_Study,Not Recorded,403SPCNWS,Sespe Creek nr. Wheeler Springs,4/22/2014,0:00,BMI_RWB,X,Integrated,D-Frame Kick Net,-88,m,0.5mm,1,21003,Armr_1_Percent,82.84
4,BA,SWAMP_2007_WS,USGS_Xeric_Flow_Study,USGS_Xeric_Flow_Study,Not Recorded,412ARSNPD,Arroyo Seco nr. Pasadena,4/20/2014,0:00,BMI_RWB,X,Integrated,D-Frame Kick Net,-88,m,0.5mm,1,20987,Armr_1_Percent,90.97
