"StationCode","SampleID","BugCode","SampleDate","CollectionMethodCode","Replicate","Invasives","Effort","Count","CountOTU","PercentUnambiguous","Adequacy","SelectedSamples","SiteSet","SiteStatus"
"103FS0404","103FS0404_103KLCMSR_9/14/2010 0:00:00_BMI_RWB_1","103KLCMSR","9/14/2010 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,576,556,96.5277777777778,"Adequate","Selected","RefVal","Reference"
"103FS0405","103FS0405_103CDCHHR_9/14/2010 0:00:00_BMI_RWB_2","103CDCHHR","9/14/2010 0:00:00","BMI_RWB",2,"NoInvasivesDetected",NA,601,494,82.1963394342762,"Adequate","Selected","RefCal","Reference"
"103FS0411","103FS0411_R5BIO-411_7/19/2000 0:00:00_NotRecorded_1","R5BIO-411","7/19/2000 0:00:00","NotRecorded",1,"NoInvasivesDetected",NA,541,384,70.9796672828096,"Adequate","Selected","RefVal","Reference"
"103WER026","103WER026_103WER026_7/29/2003 0:00:00_BMI_TRC_1","103WER026","7/29/2003 0:00:00","BMI_TRC",1,"NoInvasivesDetected",NA,484,476,98.3471074380165,"Adequate","Selected","RefCal","Reference"
"103WER029","103WER029_103WER029_7/30/2003 0:00:00_BMI_TRC_1","103WER029","7/30/2003 0:00:00","BMI_TRC",1,"NoInvasivesDetected",NA,540,531,98.3333333333333,"Adequate","Selected","RefCal","Reference"
"105CE0149","105CE0149_105CE0149_9/27/2005 0:00:00_BMI_RWB_1","105CE0149","9/27/2005 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,492,464,94.3089430894309,"Adequate","Selected","RefCal","Reference"
"105CE0329","105CE0329_105CE0329_7/17/2007 0:00:00_BMI_RWB_1","105CE0329","7/17/2007 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,570,565,99.1228070175439,"Adequate","Selected","RefCal","Reference"
"105FCA116","105FCA116_105FCA116_7/8/2009 0:00:00_BMI_RWB_1","105FCA116","7/8/2009 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,613,573,93.4747145187602,"Adequate","Selected","RefVal","Reference"
"105FS0415","105FS0415_105BVCAGC_9/21/2010 0:00:00_BMI_RWB_1","105BVCAGC","9/21/2010 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,578,520,89.9653979238754,"Adequate","Selected","RefCal","Reference"
"105FS0418","105FS0418_R5BIO-418_7/27/2000 0:00:00_NotRecorded_1","R5BIO-418","7/27/2000 0:00:00","NotRecorded",1,"NoInvasivesDetected",NA,525,387,73.7142857142857,"Adequate","Selected","RefCal","Reference"
"105FS0423","105FS0423_105TMCACC_8/10/2010 0:00:00_BMI_RWB_1","105TMCACC","8/10/2010 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,561,529,94.2959001782531,"Adequate","Selected","RefCal","Reference"
"105FS0424","105FS0424_105CLCATC_8/10/2010 0:00:00_BMI_RWB_1","105CLCATC","8/10/2010 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,605,537,88.7603305785124,"Adequate","Selected","RefVal","Reference"
"105FS0425","105FS0425_105FS0425_8/10/2011 0:00:00_BMI_RWB_1","105FS0425","8/10/2011 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,588,526,89.4557823129252,"Adequate","Selected","RefCal","Reference"
"105FS0428","105FS0428_105FS0428_8/3/2011 0:00:00_BMI_RWB_1","105FS0428","8/3/2011 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,590,559,94.7457627118644,"Adequate","Selected","RefCal","Reference"
