StationCode,County,CALWNUM,PSARegion,PSA9c_1987,PSA6c,PSA9c,PSA10c,Eco_III_1987,Eco_III_2010,New_Lat,New_Long,ELEV_RANGE,BDH_AVE,PPT_00_09,LPREM_mean,KFCT_AVE,TEMP_00_09,P_MEAN,N_MEAN,PRMH_AVE,AREA_SQKM,SITE_ELEV,MgO_Mean,S_Mean,SumAve_P,CaO_Mean,FlowStatus,Ag_2000_1K,Ag_2000_5K,Ag_2000_WS,CODE_21_2000_1K,CODE_21_2000_5K,CODE_21_2000_WS,URBAN_2000_1K,URBAN_2000_5K,URBAN_2000_WS,RoadDens_1K,RoadDens_5K,RoadDens_WS,PAVED_INT_1K,PAVED_INT_5K,PAVED_INT_WS,PerManMade_WS,InvDamDist,MINES_5K,MINES_WS,GravelMineDensL_R5K,MaxOfCOND,MaxOfW1_HALL,BPJ_Nonref,Active,UCS_Mean,AtmCa,AtmMg,AtmSO4,MINP_WS,MEANP_WS,TMAX_WS,XWD_WS,MAXWD_WS,LST32AVE,PCT_CENOZ,PCT_NOSED,PCT_QUART,PCT_SEDIM,PCT_VOLCNC,MAFLOWU,MAX_ELEV,NHD_SO,FinalCaty5,final_wgt5,LogWSA,Invasives,W1_Hall_screening,CondQR01,CondQR50,CondQR99,CondQR99c,SiteStatus,W1Hall.PF,Cond.PF,Ag.PF,Urb.PF,AgUrb.PF,Cd21.PF,RoadDens.PF,Intersections.PF,Dams.PF,ManMade.PF,Mines.PF,RegionalStrata,DevelopmentSet,SiteSet
101WE1111,Del Norte,1101.000001,North_Coast,NC,NC,NC,NC,1,1,41.99152758,-124.1821062,530.5,1.363,186165.2031,-0.7615,0.271,1711.800049,0.1172,0.0604,1.228,23.527246,13.5,2.95,0.0562,7902.145,3.2378,Perennial,0.4336,0.0479,0.0306,1.8428,4.4998,5.1159,0,0,0,5.121869674,4.90375439,4.719546024,0,3,5,0,0,0,0,0,65,0.545454546,FALSE,TRUE,99.663,0.0331,0.0179,0.1543,11.4286,2349.0894,259.3929,128.5616,18,67.2466,0,0,0,100,0,55.18156,544,2,NA,NA,1.371571093,Not detected,0.545454546,20,75,226,226,Stressed,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,NC,Validation,StressVal
102PS0139,Siskiyou,1102.300102,North_Coast,NC,NC,NC,NC,78,78,41.99594814,-122.9597016,1114.689941,1.5466,101608.1016,-0.7774,0.1791,1183.400024,0.1545,0.0293,3.2189,37.812269,1144.310059,9.7105,0.1035,7306.6675,5.2636,Perennial,0,0,0,0.9408,2.7416,2.9345,0,0.1498,0.3546,1.630629253,2.122201611,2.179049013,0,1,1,0,0,1,1,0,NA,NA,FALSE,TRUE,88.8117,0.0312,0.0087,0.1205,13.0851,1295.314,212.7234,126.8462,17.735,153.6281,0,0,0,100,0,38.28728,2259,3,NA,NA,1.577632739,Not detected,0,20,92,249,249,Intermediate,Missing,Missing,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,NC,Other,Other
103FCA168,Del Norte,1103.500001,North_Coast,NC,NC,NC,NC,1,1,41.64961914,-124.0911796,639.9599991,1.365,199967.9063,-0.6753,0.211,1663.400024,0.1154,0.0589,1.173,16.063529,56.04000092,3.0047,0.0572,7502.186,3.3631,Perennial,0,0,0,9.4173,5.5851,5.8009,0,0,0,3.869171232,2.503227169,2.609638577,2,5,5,0,0,0,0,0,NA,NA,FALSE,TRUE,101.7499,0.0326,0.016,0.1479,9.8,2357.6758,242.1,119.6,16.44,78.451,0,15.02036106,0,84.97946069,0,46.1373,696,2,NA,NA,1.205840962,Not detected,0,17,68,220,220,Intermediate,Missing,Missing,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,NC,Other,Other
103RDCBCC,Del Norte,1103.120001,North_Coast,NC,NC,NC,NC,1,1,41.95480952,-124.0625024,700,1.368033333,205763.2031,-0.918666667,0.246733333,1685.300049,0.1033,0.046166667,1.261,33.77259915,82.93000031,10.96143333,0.080433333,7702.592433,2.7269,Perennial,0,0,0,0,1.2665,1.6154,0,0.1341,0.1839,1.465859773,0.878068923,1.026659951,0,0,0,0,0,1,1,0,NA,NA,FALSE,TRUE,99.43013333,0.0329,0.0329,0.150533333,10.31616667,2685.377767,257.3421667,126.2508,17.80106667,78.98796667,0,100,0,0,0,75.00259,783,3,NA,NA,1.528564485,Not detected,0,21,81,258,258,Intermediate,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,NC,Other,Other
103WE0585,Del Norte,1103.300503,North_Coast,NC,NC,NC,NC,78,78,41.85230431,-123.8977554,1735.470001,1.4326,224726.4063,-1.1451,0.2069,1728.599976,0.141,0.0358,1.8982,315.804281,171.5299988,10.3517,0.0754,7476.7437,3.1802,Perennial,0,0,0,6.6033,2.8369,4.0255,3.3281,0.9428,0.1872,1.281601727,0.615665799,0.905296261,0,4,31,0,0,0,3,0,NA,NA,FALSE,TRUE,120.7348,0.0323,0.0138,0.1397,10.592,2392.3157,281.2507,136.3242,18.4316,117.3947,0,63.86655023,0,36.133424,0,734.75947,1907,4,NA,NA,2.499418013,Not detected,0,26,92,244.7933333,244.7933333,Intermediate,Missing,Missing,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Other,Other
103WE0817,Del Norte,1103.110001,North_Coast,NC,NC,NC,NC,1,1,41.82598252,-124.1153448,1903.61,1.4169,183068.4063,-1.2332,0.2038,1610.199951,0.1205,0.028,1.7656,1703.787961,13.39000034,14.3173,0.0914,8527.7578,2.5204,Perennial,0,0.5844,0.0095,6.3028,6.1721,3.0318,0.3376,0.1169,0.1658,1.798454437,1.203230455,0.857783301,0,5,112,0,0,0,35,0,130.5,NA,FALSE,TRUE,114.2385,0.0325,0.0147,0.1432,14.2498,2806.0056,273.4314,137.7083,18.7329,103.219,0,49.81520116,0,50.18479527,0,3901.63773,1917,5,NA,NA,3.231415545,Detected,0,24,89,237.94,237.94,Intermediate,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,NC,Other,Other
103WE1072,Del Norte,1103.300501,North_Coast,NC,NC,NC,NC,78,78,41.84384886,-124.0027972,1826.589996,1.4163,205744.2969,-1.2718,0.2007,1705.099976,0.112,0.024,1.7009,759.120603,80.41000366,18.1701,0.0953,8574.0371,2.6875,Perennial,0,0,0,12.5745,5.5789,2.5603,3.1978,1.5514,0.2703,2.606969032,1.196323034,0.648219478,0,3,40,0,0,1,8,0,117.8,NA,FALSE,TRUE,114.6613,0.0326,0.0151,0.1444,14.2386,2787.6125,276.3562,139.4448,18.8631,106.4566,0,82.85741391,0,17.14258571,0,1755.50911,1907,5,NA,NA,2.880310779,Not detected,0,25,91,241.5672727,241.5672727,Intermediate,Missing,Pass,Pass,Fail,Pass,Fail,Fail,Pass,Pass,Pass,Fail,NC,Other,Other
105CE0029,Siskiyou,1105.501003,North_Coast,NC,NC,NC,NC,78,9,41.65976147,-122.4986153,3536.77002,1.3263,38511.60156,-0.1731,0.1868,2011.5,0.1957,0.1546,5.9678,1256.799856,764.2299805,6.1132,0.0475,4437.6143,4.919,Perennial,75.1773,43.6196,11.6751,0.9752,3.3439,1.8283,2.9255,1.9426,1.7119,1.299931689,1.549019972,1.596970136,0,0,107,2.373340266,0.060060061,4,20,0,451,1.5,FALSE,TRUE,103.2379,0.0309,0.0081,0.1181,11.1532,838.8226,283.4381,78.6375,10.6645,154.7215,0,15.16138779,0,7.52189774,77.31670997,378.46554,4301,4,NA,NA,3.099266122,Not detected,1.5,23,131.6987179,414.8816667,414.8816667,Stressed,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Fail,NC,Calibration,StressCal
105CE0073,Siskiyou,1105.500604,North_Coast,NC,NC,NC,NC,78,4,41.42618152,-122.3950916,2720.030029,1.2082,67298.70313,0.5685,0.162,1770.099976,0.1949,0.3648,8.1585,52.692589,1022.969971,2.1605,0.0578,4615.7036,3.908,Perennial,0,3.3177,1.5472,6.8326,5.5332,2.9202,37.9165,16.1418,7.5908,8.307105705,5.181427129,3.971092488,4,9,11,0,0,0,0,0,166,1.007595455,FALSE,TRUE,69.3316,0.0309,0.0083,0.1191,9.7385,1072.9354,269.3692,89.8841,11.8537,154.6548,0,1.280825275,0,0,98.7191953,38.36409,3743,1,NA,NA,1.721749538,Not detected,1.007595455,15,92.54166667,341.8523077,341.8523077,Stressed,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Pass,Pass,NC,Calibration,StressCal
105CE0141,Siskiyou,1105.360203,North_Coast,NC,NC,NC,NC,78,9,41.8919571,-122.4876622,1725.869995,1.401,41415.39844,-0.3838,0.2015,1877.199951,0.2517,0.0314,1.1822,150.886653,658.1300049,3.6575,0.0306,4157.2891,6.1189,Perennial,0,10.1045,11.0696,0,1.0001,0.3686,1.5873,1.1352,0.2404,4.314697278,1.591465821,1.011546125,1,8,20,0,0,0,0,0,704,0.36365,FALSE,TRUE,127.4189,0.031,0.0078,0.1176,17.1878,524.7097,304.2818,76.8987,10.5124,151.4704,0,0,0,0,100,84.7279,2384,3,NA,NA,2.178650825,Not detected,0.36365,31,163.4776786,597.2298077,597.2298077,Intermediate,Pass,Fail,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,NC,Other,Other
