"objectid","stationcode","pgroup1","pgroup2","pgroup3","pgroup4","pgroup5","pgroup6","pgroup7","pgroup8","pgroup9","pgroup10","pgroup11","lastupdatedate","processed_by","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project"
2,"207SUI260",0.0088,0.0065,0.1529,0.2522,8e-04,0.0037,0.0015,0.0818,0.0318,0.4501,0.0099,"","human","SMC","2018-09-05 00:00:00","false","{347C0036-C4C9-45ED-92D4-F692F371BD29}",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"902M20173",0,0,0,0.0014,0,1e-04,0,0.6477,0.0157,0.3297,0.0054,"2018-01-11 14:30:43.687","human","SMC","2018-09-05 00:00:00","true","{6E85139D-EB71-464A-AE3D-B16B6B66B99E}",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"405SGB003",0.0025,0.0047,0.0113,0.0618,9e-04,0.001,3e-04,0.0222,0.0234,0.2127,0.6592,"","human","SMC","2018-09-05 00:00:00","true","{5703816E-DC6A-4D17-B3AF-BF9F525CDAAC}",NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"105PS0097",0.0317,0.0158,0.024,0.7804,0.1329,6e-04,7e-04,0.0012,3e-04,0.0124,0,"","human","SMC","2018-09-05 00:00:00","false","{E479186D-5D54-4B17-8B8D-655CC3B06370}",NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"637SED053",0.0354,0.32,4e-04,0.0597,0.2753,0.1938,0.0318,0.0213,0.0201,0.0322,0.01,"","human","SMC","2018-09-05 00:00:00","false","{D95D16E4-ECBD-4446-A6C9-9FB36B158AF9}",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"535FCA061",2e-04,0.0322,0.0112,0.3019,0.0202,0.0028,3e-04,0.1386,0.0191,0.4508,0.0227,"","machine","SWAMP","","false","{B55DCF04-8B96-448D-9D87-2B633D15A277}",NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"801XXX118",1e-04,0.0017,0,0.0047,0,0,0,0.6504,0.0232,0.258,0.0619,"2017-04-04 15:53:38.2","human","SMC","2018-09-05 00:00:00","true","{4FEF4417-DB89-4684-83E0-88A3C5D771C1}",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"801M16873",0,8e-04,0.0075,0.0051,0,0.0092,0,0.3033,0.0296,0.5612,0.0833,"","human","SMC","2018-09-05 00:00:00","true","{67384C55-D6EE-4DE7-BE6C-2C761A77AEB4}",NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"106PS0115",0.0623,0.6878,0.0015,0.0021,0.0168,0.2049,0.0171,0.0057,7e-04,1e-04,0.001,"","human","SMC","2018-09-05 00:00:00","false","{1C9B2ED9-7AF4-4501-8A5C-FABB29B18ED6}",NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"403S14156",0,2e-04,0,0.0639,0.006,0,0,0.2933,0.0371,0.5514,0.0481,"","human","SMC","2018-09-05 00:00:00","true","{F23F0AB0-6AD4-4D5A-A901-174456A96C2E}",NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"801RB8601",0,0.0011,0,0.0034,0,0.003,0,0.1304,0.0171,0.8046,0.0404,"2017-04-04 15:53:38.183","human","SMC","2018-09-05 00:00:00","true","{4D18955A-4F99-454B-96A7-39A4587E60FE}",NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"911M24916",1e-04,0.0026,0.0094,0.0106,0,0.0013,0,0.3931,0.158,0.3689,0.056,"","human","SMC","2018-09-05 00:00:00","true","{9EEF3B27-31AF-443F-8616-083671DF4BAD}",NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"802S11394",0,9e-04,0,0.002,0,6e-04,0,0.7105,0.0643,0.1298,0.0919,"2017-04-04 15:53:38.217","human","SMC","2018-09-05 00:00:00","true","{2168041D-F9CD-4AE3-874F-AC0985999F3C}",NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"526PS0808",0.0344,0.1741,0.0025,0.2608,0.0746,0.0578,0.0039,0.2737,0.0374,0.0782,0.0026,"","machine","SWAMP","","false","{44FD3BDF-C846-4774-A988-CC6443631E6B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"801WE1032",0,9e-04,0.0075,0.0051,0,0.0081,0,0.3113,0.0544,0.5367,0.076,"","human","SMC","2018-09-05 00:00:00","true","{2EE519BE-9527-4859-A4AC-2598CA68F432}",NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"540CE0590",0.0141,0.0413,0.0739,0.2539,0.0384,0.0995,0.0639,0.1307,0.0082,0.2487,0.0274,"","human","SMC","2018-09-05 00:00:00","false","{B32DA4F3-1BFD-4057-9A56-A13047083F6D}",NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"114CE0567",0.0427,0.0426,0.3115,0.3589,0.0189,0.0097,7e-04,0.0677,0.0266,0.1062,0.0145,"","human","SMC","2018-09-05 00:00:00","false","{BFB9CE15-F0BA-416F-B688-9CEA5F6708C3}",NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"LALT500",0,0.007,0.001,0.0355,0.0025,0.0042,0,0.3633,0.0173,0.5392,0.03,"","human","SMC","2018-09-05 00:00:00","false","{81601753-AD63-4911-A368-A19C082DD4C9}",NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"204CE0602",0.0083,0.0097,0.1753,0.3657,0.0044,0.0125,0.0016,0.0622,0.3182,0.026,0.0161,"","human","SMC","2018-09-05 00:00:00","false","{41363A31-9E16-48C7-8BCF-33CFFDC7BAC7}",NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"520CC0354",8e-04,0.0119,0.0104,0.236,0.0062,0,3e-04,0.135,0.0145,0.5725,0.0124,"","human","SMC","2018-09-05 00:00:00","false","{7C774EDC-F43B-4FF4-9874-22BF5A2BDE00}",NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"506PS0062",0.0532,5e-04,0.2269,0.6628,0.0027,0.0172,0,0.0321,3e-04,0.002,0.0023,"","human","SMC","2018-09-05 00:00:00","false","{F5A2A2F6-64D7-4DF9-9FC9-B108159774C5}",NA,NA,NA,NA,NA,NA,NA,NA,NA
