"objectid","stationcode","sampleid","mmi_score","clinger_percenttaxa","clinger_percenttaxa_predicted","clinger_percenttaxa_score","coleoptera_percenttaxa","coleoptera_percenttaxa_predict","coleoptera_percenttaxa_score","taxonomic_richness","taxonomic_richness_predicted","taxonomic_richness_score","ept_percenttaxa","ept_percenttaxa_predicted","ept_percenttaxa_score","shredder_taxa","shredder_taxa_predicted","shredder_taxa_score","intolerant_percent","intolerant_percent_predicted","intolerant_percent_score","lastupdatedate","processed_by","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project"
7318,"602LWT001","602LWT001_06282006_BMI_TRC_1",1.04692011,0.61383893,0.58248519,0.76612718,0.13413864,0.04855048,0.99679684,29.45,29.61273333,0.66660411,0.44632705,0.53487077,0.58187804,2.8,3.11536667,0.50228321,0.1538,0.17896665,0.43120893,"","human","SMC","2018-09-05 00:00:00","false","{7791BD46-A198-4475-B204-D77EF3C4211B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
157,"309SAC","309SAC_06092006_BMI_RWB_MCM_1",0.54003846,0.3,0.52736722,0.34839888,0,0.08490124,0.20841415,13,33.37316667,0.12160934,0.38461538,0.42053673,0.6801006,0,1.5008,0.31384342,0.10420842,0.16540918,0.36255181,"","machine","SWAMP","2012-03-08 00:00:00","false","{CEA47BB7-E658-4C89-99D5-C0B7080A98D5}",NA,NA,NA,NA,NA,NA,NA,NA,NA
3569,"603CE0014","603CE0014_05132004_BMI_TRC_1",0.59643017,0.5,0.58908203,0.57167278,0.11764706,0.06318821,0.8528477,17,30.835,0.29791762,0.17647059,0.48603432,0.16933203,0,1.7827,0.26903181,0.01002004,0.21604876,0.08660581,"","machine","SWAMP","2013-12-04 00:00:00","false","{605FD2E8-69CF-4887-81BB-3FA1F66901CF}",NA,NA,NA,NA,NA,NA,NA,NA,NA
5647,"404SMB010","404SMB010_03042003_BMI_CSBP_Trans_1",0.99267436,0.33508812,0.37324527,0.65389558,0.13595745,0.08955473,0.81559424,22,26.69986667,0.54425572,0.38956736,0.39440998,0.73811075,2,2.2905,0.50623608,0.1529,0.15119809,0.48240257,"","human","SMC","2018-09-05 00:00:00","true","{2457CEB7-C93F-4013-A769-E604339A790B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
415,"105WE1000","105WE1000_07172002_BMI_RWB_1",0.50466123,0.35851648,0.58983022,0.34202687,0.08715415,0.12126627,0.4432749,22.95,37.47856667,0.27921489,0.21788538,0.50014387,0.22029876,1,3.16556667,0.20817025,0.1519,0.18891825,0.40862763,"","machine","SWAMP","2012-10-04 00:00:00","false","{D66F6A08-56B9-4A7F-ACC7-1FD623785A68}",NA,NA,NA,NA,NA,NA,NA,NA,NA
5135,"309GRN","309GRN_06142006_BMI_CSBP_Trans_1",0.57471594,0.31813492,0.49981711,0.42216147,0.04063187,0.10504947,0.30313526,13.45,31.2695,0.19047154,0.41188936,0.42815841,0.7167827,0,1.55296667,0.30555086,0.0254,0.1574897,0.22748453,"","human","SMC","2018-09-05 00:00:00","false","{78A34047-0F99-44DD-B84F-9086A63666D6}",NA,NA,NA,NA,NA,NA,NA,NA,NA
4161,"111WE0606","111WE0606_08232000_BMI_CSBP_Trans_1",0.86176679,0.65252808,0.58592097,0.82304693,0.12862812,0.12926348,0.59807923,38.05,40.54433333,0.60373016,0.46792374,0.51442704,0.6603488,3.1,4.2489,0.36978243,0.221,0.37159024,0.19223478,"","human","SMC","2018-09-05 00:00:00","false","{0B5BD334-F509-45CF-9603-17C22845083D}",NA,NA,NA,NA,NA,NA,NA,NA,NA
616,"111WER159","111WER159_05212009_BMI_RWB_1",0.83563653,0.65894788,0.60511754,0.80241766,0.11637408,0.1366052,0.50746389,43,46.7794,0.56907704,0.54571932,0.52456467,0.78663608,3.95,6.85963333,0.08989134,0.34942665,0.39450265,0.39327491,"","machine","SWAMP","2011-07-07 00:00:00","false","{2478A68C-50B9-4DE7-AFE5-0B9CF5FCFEF3}",NA,NA,NA,NA,NA,NA,NA,NA,NA
7862,"635MAR001","635MAR001_07262004_BMI_TRC_1",0.81977902,0.68203887,0.58674295,0.86936758,0.06532467,0.07474655,0.55744829,30.65,38.51126667,0.45900538,0.49074342,0.53757692,0.65973246,1.85,3.42223333,0.30248818,0.1442694,0.26928326,0.24096637,"","human","SMC","2018-09-05 00:00:00","false","{AD82A33A-C151-4BC0-B7D8-A2503FEA9269}",NA,NA,NA,NA,NA,NA,NA,NA,NA
8458,"903SLRRFR","903SLRRFR_05201998_BMI_CSBP_Trans_1",0.46375767,0.1682684,0.4384381,0.27929042,0,0.13859158,0,18.65,25.8659,0.47640834,0.18484346,0.43323203,0.28351885,0.9,0.9606,0.54278163,0,0.16462941,0.16548543,"","human","SMC","2018-09-05 00:00:00","true","{D5434D75-37E6-4238-9245-E680811682F2}",NA,NA,NA,NA,NA,NA,NA,NA,NA
3332,"207WE0867","207WE0867_07162003_BMI_TRC_1",0.28728603,0.375,0.47034199,0.56156551,0,0.10554052,0.11297331,14,37.52723333,0.03655674,0.21428571,0.47346591,0.26337567,0,3.4351,0.00636169,0,0.19811233,0.10168919,"","machine","SWAMP","2012-10-04 00:00:00","false","{7F236287-034A-48EB-9035-8E05F3EF759F}",NA,NA,NA,NA,NA,NA,NA,NA,NA
3292,"114WE0810","114WE0810_07262001_BMI_TRC_1",1.06663044,0.63894024,0.4843488,0.96510555,0.1930738,0.16687031,0.72218828,40.4,39.85866667,0.68558998,0.46536116,0.46610577,0.74575992,6.9,7.0584,0.52723507,0.2457,0.30126493,0.37328997,"","machine","SWAMP","2012-10-04 00:00:00","false","{4A53F2C6-6F69-4A66-9162-0D0145E7661B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
8328,"902RCWGRx","902RCWGRx_11091999_BMI_CSBP_Trans_1",0.76744695,0.27190848,0.25392252,0.74454368,0.05999018,0.15234214,0.17396025,28.25,26.58733333,0.71582787,0.19829162,0.39759421,0.3751405,2.6,1.6258,0.70727633,0,0.15960049,0.1750672,"","human","SMC","2018-09-05 00:00:00","true","{615321F7-65BF-4706-840B-FFCD2E32CB98}",NA,NA,NA,NA,NA,NA,NA,NA,NA
628,"113CE0001","113CE0001_06082004_BMI_RWB_1",0.80312133,0.44117647,0.54344565,0.55038093,0.1025641,0.12614319,0.49198209,39,38.6759,0.67973206,0.53846154,0.52583033,0.77072661,6,6.1195,0.53341872,0.13034623,0.40679101,0,"","machine","SWAMP","2013-12-04 00:00:00","false","{21B99C0A-7901-44F9-A875-439B8652685D}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1247,"402BA0287","402BA0287_06092008_BMI_RWB_2",0.93945355,0.30368181,0.44710534,0.48393353,0.08112681,0.10295018,0.50010094,34.5,30.76823333,0.77162324,0.45233469,0.45932166,0.73410821,2.8,2.20513333,0.64697644,0.0197,0.05956095,0.40321133,"","machine","SWAMP","2011-07-07 00:00:00","true","{581D728B-C84F-4836-869B-6A158F8CEAFC}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2799,"901DCCSMC","901DCCSMC_05162011_BMI_RWB_1",1.0919599,0.47917461,0.44782152,0.76612613,0.13082641,0.1530158,0.49840838,36.65,32.01416667,0.79600231,0.50770182,0.45141277,0.85221638,1.8,1.64833333,0.57652413,0.23179456,0.1550756,0.62533532,"","machine","SWAMP","2013-06-07 00:00:00","true","{D8568382-CCDB-425E-A687-1C85F4C8B330}",NA,NA,NA,NA,NA,NA,NA,NA,NA
7495,"603UOW009","603UOW009_08242005_BMI_SNARL_1",0.95054,0.68255219,0.55770338,0.91708338,0.07326363,0.04970916,0.70993862,29,30.57003333,0.62865484,0.45472505,0.48870824,0.68371827,1.6,2.5621,0.39947667,0.03659587,0.16061759,0.24285673,"","human","SMC","2018-09-05 00:00:00","false","{8AACD5BA-548A-489A-BDD8-6748B8F85C85}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1615,"511FC1357","511FC1357_07282014_BMI_RWB_1",0.11990126,0,0.4764135,0,0,0.10388885,0.12061102,3.8,36.7135,0,0,0.42452579,0,0,2.49816667,0.15529923,0,0.1591689,0.17588954,"","machine","SWAMP","2016-08-04 00:00:00","false","{C1863262-A1FC-4FFB-B1F5-9E794C0ACB43}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2931,"904S02201","904S02201_05192010_BMI_RWB_2",0.3756247,0.14666667,0.31465909,0.44426484,0,0.13234628,0,13.6,26.67416667,0.31843426,0,0.38273029,0.03276262,0.9,1.61196667,0.43923857,0.0019,0.15854906,0.18069067,"","machine","SWAMP","2011-07-07 00:00:00","true","{AEB71886-D25E-462F-82F7-AA08EA2C3C3E}",NA,NA,NA,NA,NA,NA,NA,NA,NA
7866,"635MAR004","635MAR004_07282004_BMI_TRC_1",0.67532804,0.5050449,0.5888963,0.5801181,0.16984321,0.0748959,1,29.2,37.85713333,0.43754403,0.28327056,0.53757176,0.27248259,2.6,5.00393333,0.17027882,0.10608142,0.31333127,0.08427914,"","human","SMC","2018-09-05 00:00:00","false","{3E095378-2E39-404E-9E70-9CB38B7E0A08}",NA,NA,NA,NA,NA,NA,NA,NA,NA
402,"105WE0630","105WE0630_05172004_BMI_RWB_1",0.79245509,0.63636364,0.68586334,0.635582,0.11627907,0.1248021,0.56160479,43,36.90916667,0.83523786,0.44186047,0.57004003,0.50789555,2,2.94986667,0.40142132,0.07708333,0.30531198,0.04430747,"","machine","SWAMP","2012-10-04 00:00:00","false","{5F696EF2-C29C-4E1E-9F28-EAC321F6BD8B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
3591,"637CE0143","637CE0143_09202005_BMI_TRC_1",0.84369119,0.6,0.68029721,0.58585666,0.16,0.09984634,0.87918182,25,34.04296667,0.42713964,0.44,0.50713684,0.62183516,1,1.75653333,0.43215413,0.02941176,0.15863596,0.23294427,"","machine","SWAMP","2013-12-04 00:00:00","false","{950517B0-D778-4088-AA84-DAC299EF745E}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1048,"305CAW161","305CAW161_05192003_BMI_RWB_1",0.34272784,0.14285714,0.50243163,0.13493833,0.05882353,0.13596282,0.24430722,17,34.5636,0.19737215,0.11764706,0.4143664,0.19330679,0,1.7906,0.267776,0,0.11831403,0.25373182,"","machine","SWAMP","2012-10-04 00:00:00","false","{CA4DD68B-963E-497F-A641-11F83853A76B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2703,"801SDC180","801SDC180_06202006_BMI_RWB_1",0.55702849,0.14285714,0.32437284,0.4224303,0.05263158,0.14995708,0.15096148,19,26.942,0.45682832,0.21052632,0.37998019,0.43085479,0,1.0152,0.39103575,0,0.12193761,0.24682767,"","machine","SWAMP","2016-10-06 00:00:00","true","{9A8A5C7D-06D9-47E7-BA1C-B634DE2E6EEA}",NA,NA,NA,NA,NA,NA,NA,NA,NA
3176,"105WE0857","105WE0857_08262003_BMI_TRC_1",1.16895975,0.67401961,0.66020305,0.73781181,0.11473543,0.11890997,0.58171323,42.7,37.37846667,0.81449291,0.58198147,0.58168559,0.74770205,4,4.13883333,0.53034544,0.6269,0.35737784,0.99269028,"","machine","SWAMP","2012-10-04 00:00:00","false","{A93607F1-1045-4D8C-A6C4-101ACD6C4B5D}",NA,NA,NA,NA,NA,NA,NA,NA,NA
328,"105FC1297","105FC1297_07222014_BMI_RWB_1",1.07730576,0.60606061,0.59611614,0.73155998,0.12240854,0.12771622,0.57647332,40.85,39.3302,0.71197532,0.56307927,0.59104277,0.69495435,7,5.66286667,0.76496922,0.40549181,0.35284895,0.57946224,"","machine","SWAMP","2016-08-04 00:00:00","false","{803FD460-D6C2-4A1A-BCEC-40802CDB0670}",NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"106PS0022","106PS0022_09302008_BMI_RWB_1",1.04575497,0.46527527,0.55889558,0.5643453,0.03621057,0.12873734,0.17315192,52.4,41.10856667,0.9754773,0.53547228,0.50662785,0.80098948,12.4,6.70126667,1,0.3688,0.39641502,0.42654395,"","machine","SWAMP","2011-07-07 00:00:00","false","{5B0EC1D4-F0B9-4F64-8DB2-E321F2F042A8}",NA,NA,NA,NA,NA,NA,NA,NA,NA
9049,"SGUR010","SGUR010_06272011_BMI_RWB_1",0.97291159,0.54166667,0.3484742,1,0,0.07275122,0.2645987,14.65,18.62606667,0.56377372,0.54309524,0.39037166,1,1,1.61273333,0.45501297,0.0347,0.08535687,0.38264148,"","human","SMC","2018-09-05 00:00:00","false","{94890742-4F14-4AB4-BE86-E6FD5F9EC9BE}",NA,NA,NA,NA,NA,NA,NA,NA,NA
7889,"635SQM002","635SQM002_08292000_BMI_SNARL_1",0.60688789,0.05974588,0.61249508,0,0.07592884,0.03283097,0.80031187,21,33.4201,0.33607182,0.44979171,0.60678729,0.45410888,3.75,3.33026667,0.61913676,0.06931186,0.28028547,0.07718413,"","human","SMC","2018-09-05 00:00:00","false","{6A42055B-BEB4-437B-BDCA-472F09A272EB}",NA,NA,NA,NA,NA,NA,NA,NA,NA
153,"309PS0040","309PS0040_06032008_BMI_RWB_MCM_1",0.60432204,0.19178571,0.48469013,0.24258318,0.04124671,0.1016962,0.32148473,23,31.82316667,0.43306677,0.33906456,0.43015457,0.57712525,0.8,1.55296667,0.43272109,0.0478,0.1574897,0.27016407,"","machine","SWAMP","2011-07-07 00:00:00","false","{8FC2AB31-7C6F-4671-B15C-2F0A1DA6A9B7}",NA,NA,NA,NA,NA,NA,NA,NA,NA
7702,"632SED035","632SED035_06302007_BMI_RWB_1",1.00439314,0.70342,0.65182921,0.79880171,0.06065727,0.08436982,0.49136491,33,37.2288,0.55695851,0.70291934,0.57273209,0.99015143,3,3.39903333,0.48898332,0.28719875,0.29809828,0.45839259,"","human","SMC","2018-09-05 00:00:00","false","{674219B9-C286-45FA-8526-A9E5A50E11D3}",NA,NA,NA,NA,NA,NA,NA,NA,NA
9141,"SMC00693","SMC00693_05312010_BMI_RWB_1",0.69259859,0.32611272,0.27885303,0.79180877,0.07124245,0.15012156,0.23626187,23.3,26.53643333,0.58371868,0.18851714,0.40498382,0.34310279,1.3,2.21406667,0.40711219,0.0119,0.13334014,0.24777553,"","human","SMC","2018-09-05 00:00:00","false","{69DAC84C-F445-43C8-909C-F497DE01E451}",NA,NA,NA,NA,NA,NA,NA,NA,NA
4685,"205LGA700","205LGA700_05132004_BMI_CSBP_Trans_1",1.02854176,0.63420407,0.46827434,0.98341224,0.15829405,0.14038555,0.68383038,37.3,37.62403333,0.66225449,0.52208532,0.47897719,0.82761345,2.55,4.0763,0.30978987,0.2202,0.2571559,0.40874644,"","human","SMC","2018-09-05 00:00:00","false","{327A0C36-89F5-479A-8BDA-9B6EDDD0C5CC}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1475,"412CE0104","412CE0104_07192005_BMI_RWB_1",0.47239027,0.16666667,0.38867139,0.35705712,0,0.09985068,0.13928445,14,26.58556667,0.33160985,0.14285714,0.34743747,0.36528933,0,1.04356667,0.38652651,0,0.14638567,0.20024589,"","machine","SWAMP","2013-12-04 00:00:00","true","{7EE96501-1A7F-4B05-A953-895A94657224}",NA,NA,NA,NA,NA,NA,NA,NA,NA
10150,"801MIC074","801MIC074_06252008_BMI_RWB_1",0.92554188,0.48611111,0.53786173,0.63194771,0.105,0.06045368,0.80700983,9.55,16.89953333,0.47280478,0.58,0.55560695,0.79268073,0.9,1.2314,0.49973451,0.0121,0.11486625,0.28335557,"2017-04-04 16:00:20.67","human","SMC","2018-09-05 00:00:00","true","{36679D89-EF99-42B6-80F3-6545B354CAA7}",NA,NA,NA,NA,NA,NA,NA,NA,NA
7868,"635MAR005","635MAR005_07282004_BMI_TRC_1",0.97395589,0.67518825,0.60973799,0.82117908,0.12816301,0.07803628,0.83281493,35.5,37.53163333,0.61620733,0.50544238,0.53417739,0.69351429,4.3,4.41653333,0.53389031,0.12521205,0.28623551,0.17235598,"","human","SMC","2018-09-05 00:00:00","false","{3BB1FF9C-77AC-4294-AB3F-4A2381659272}",NA,NA,NA,NA,NA,NA,NA,NA,NA
441,"106PS0051","106PS0051_09162008_BMI_RWB_1",0.76859302,0.52118175,0.66111397,0.48957057,0.11173818,0.08677682,0.71644438,41.6,37.4095,0.78399345,0.42318484,0.57385296,0.46591943,2,3.22976667,0.35692763,0.14467771,0.35245252,0.08327891,"","machine","SWAMP","2011-07-07 00:00:00","false","{CD53B5AF-1551-49C1-9C27-68D0685522AA}",NA,NA,NA,NA,NA,NA,NA,NA,NA
