"objectid","sampleid","stationcode","sampledate","samplemonth","sampleday","sampleyear","collectionmethodcode","fieldreplicate","databasecode","count","number_of_mmi_iterations","number_of_oe_iterations","pcnt_ambiguous_individuals","pcnt_ambiguous_taxa","e","mean_o","oovere","oovere_percentile","mmi","mmi_percentile","csci","csci_percentile","scoredate","scorenotes","cleaned","rand","processed_by","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project"
3439,"408WE0654_06132001_BMI_TRC_1","408WE0654","2001-06-13 00:00:00",6,13,2001,"BMI_TRC",1,"",497,1,20,2.01207243,5.55555556,7.51148843,4.9,0.65233409,0.03,0.39660074,0,0.52446742,0,"2018-09-03 07:50:41","Distinct set to NA","Yes",2,"machine","SWAMP","2012-10-04 00:00:00","true","{4E354C71-F1BC-485A-815A-1A614F1017F8}",NA,NA,NA,NA,NA,NA,NA,NA,NA
3369,"310CE0084_04282004_BMI_TRC_1","310CE0084","2004-04-28 00:00:00",4,28,2004,"BMI_TRC",1,"",508,20,20,0.19685039,2.85714286,9.74169711,6.75,0.69289775,0.05,0.46576923,0,0.57933349,0,"2018-09-03 07:50:41","Distinct set to NA","Yes",2,"machine","SWAMP","2013-12-04 00:00:00","false","{88899FE1-A80B-4F0A-B171-6CFD8DFFEB3B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
10052,"801RB8274_06172010_BMI_RWB_1","801RB8274","2010-06-17 00:00:00",6,17,2010,"BMI_RWB",1,"SWAMP",607,20,20,2.63591433,13.51351351,6.65771985,6.8,1.0213707,0.54,1.00831796,0.52,1.01484433,0.54,"2017-04-04 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","true","{277107B8-2638-48D4-9BA7-4EF145C6EB28}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2081,"527CE0093_07132004_BMI_RWB_1","527CE0093","2004-07-13 00:00:00",7,13,2004,"BMI_RWB",1,"",475,1,20,5.47368421,2.12765957,14.6434097,13.75,0.93898896,0.37,0.89292195,0.27,0.91595545,0.3,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2013-12-04 00:00:00","false","{5FD63FF1-0B89-491A-B68D-3EFD4ADF0FF7}",NA,NA,NA,NA,NA,NA,NA,NA,NA
10238,"801XXX046_06052008_BMI_RWB_1","801XXX046","2008-06-05 00:00:00",6,5,2008,"BMI_RWB",1,"SWAMP",194,1,1,1.03092784,7.14285714,11.93757221,8,0.67015301,0.04,0.56200618,0.01,0.6160796,0.01,"2017-04-04 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","true","{F368BC44-A239-40FD-B179-1FA65B00878E}",NA,NA,NA,NA,NA,NA,NA,NA,NA
10086,"801PCW171_06042008_BMI_RWB_2","801PCW171","2008-06-04 00:00:00",6,4,2008,"BMI_RWB",2,"SWAMP",597,20,20,0,0,8.94918656,3,0.335226,0,0.1993581,0,0.26729205,0,"2017-04-04 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","true","{ECC18415-A303-40CF-96DE-F97F2F86455B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
5377,"902TCI15x_09051998_BMI_CSBP_Trans_1","902TCI15x","1998-09-05 00:00:00",9,5,1998,"BMI_CSBP_Trans",1,"SWAMP",869,20,20,2.53164557,9.375,6.86686927,7.45,1.08491945,0.67,0.67184331,0.03,0.87838138,0.22,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","true","{1802A65F-9E80-43B7-B437-170CE528205A}",NA,NA,NA,NA,NA,NA,NA,NA,NA
6024,"635BRC001_09082005_BMI_TRC_1","635BRC001","2005-09-08 00:00:00",9,8,2005,"BMI_TRC",1,"SWAMP",525,20,20,0,0,12.67857567,13.35,1.05295739,0.61,0.89432912,0.28,0.97364326,0.43,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","false","{78F66F77-A4D3-4E2F-A3E4-9E730237BC48}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1482,"412PS0052_05202008_BMI_RWB_1","412PS0052","2008-05-20 00:00:00",5,20,2008,"BMI_RWB",1,"",589,20,20,0.16977929,9.09090909,8.28006647,3,0.36231593,0,0.33768222,0,0.34999908,0,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2011-07-07 00:00:00","true","{7171968C-0090-4A1E-BDAC-4D8C4A32CE46}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2419,"631PS0145_07022014_BMI_RWB_1","631PS0145","2014-07-02 00:00:00",7,2,2014,"BMI_RWB",1,"",551,20,20,1.08892922,3.63636364,14.36151554,14.95,1.04097649,0.59,1.18987899,0.86,1.11542774,0.76,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2016-08-04 00:00:00","false","{78093DE0-065A-4F37-A34A-DBDDA104568A}",NA,NA,NA,NA,NA,NA,NA,NA,NA
8113,"408CAL010_10302001_BMI_CSBP_Trans_1","408CAL010","2001-10-30 00:00:00",10,30,2001,"BMI_CSBP_Trans",1,"SWAMP",906,20,20,0.55248619,13.79310345,6.88316581,5.95,0.86442782,0.24,0.73730574,0.07,0.80086678,0.11,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","true","{CD932361-0424-4ECD-AF2E-A554B8BBE7CB}",NA,NA,NA,NA,NA,NA,NA,NA,NA
4815,"ME-VR2_06242013_BMI_RWB_1","ME-VR2","2013-06-24 00:00:00",6,24,2013,"BMI_RWB",1,"SMC",596,20,20,0.33557047,2.22222222,7.85882832,8,1.01796345,0.54,0.73665021,0.07,0.87730683,0.22,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","false","{6FBAD466-D4A6-4DAE-AD00-97984986E724}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2878,"903ACPCT1_05292012_BMI_RWB_1","903ACPCT1","2012-05-29 00:00:00",5,29,2012,"BMI_RWB",1,"",182,1,1,9.89010989,7.40740741,6.23307465,7,1.12304126,0.74,0.9904625,0.48,1.05675188,0.64,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2015-02-04 00:00:00","true","{F95BB9B2-7F9A-4AE0-9C3D-C7802A148D90}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2428,"632PS0014_08032009_BMI_RWB_1","632PS0014","2009-08-03 00:00:00",8,3,2009,"BMI_RWB",1,"",583,20,20,1.54373928,7.05882353,16.35862805,18.3,1.11867572,0.73,1.07090052,0.65,1.09478812,0.72,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2011-07-07 00:00:00","false","{7F025694-F771-46ED-AD91-8FF462D06B98}",NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"201ROD040_05182005_BMI_CSBP_Comp_1","201ROD040","2005-05-18 00:00:00",5,18,2005,"BMI_CSBP_Comp",1,"",490,1,20,13.26530612,3.57142857,14.19141997,10,0.70465112,0.06,0.62950542,0.02,0.66707827,0.02,"2018-09-02 06:52:35","Distinct set to NA","Yes",2,"machine","SWAMP","2012-04-12 00:00:00","false","{6785B888-FEB0-4ACA-887D-DA9B045593C5}",NA,NA,NA,NA,NA,NA,NA,NA,NA
4937,"403M01506_06172015_BMI_RWB_MCM_1","403M01506","2015-06-17 00:00:00",6,17,2015,"BMI_RWB_MCM",1,"SMC",569,20,20,0.17574692,3.33333333,7.87838385,7.25,0.9202395,0.34,0.60079121,0.01,0.76051535,0.07,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","true","{46499527-112E-440D-BFE0-CB1BE32A0D6A}",NA,NA,NA,NA,NA,NA,NA,NA,NA
8068,"507SED021_09172008_BMI_RWB_1","507SED021","2008-09-17 00:00:00",9,17,2008,"BMI_RWB",1,"SWAMP",587,20,20,0,0,14.56685809,20.35,1.39700681,0.98,1.02333329,0.55,1.21017005,0.91,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","false","{9CB4629D-058D-4A6E-ADD3-7BFEE6CD109C}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1307,"403S04868_06152011_BMI_RWB_1","403S04868","2011-06-15 00:00:00",6,15,2011,"BMI_RWB",1,"",603,20,20,0,0,7.92276198,7.95,1.00343794,0.51,1.01343751,0.53,1.00843773,0.52,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2012-07-12 00:00:00","true","{8C611D51-E842-46D5-AA34-267A75CDCEFF}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2993,"906LPRSC4_05072008_BMI_RWB_1","906LPRSC4","2008-05-07 00:00:00",5,7,2008,"BMI_RWB",1,"",580,20,20,0.34482759,7.40740741,7.07336618,5.85,0.82704611,0.18,0.48944504,0,0.65824558,0.02,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2011-07-07 00:00:00","true","{F596EE70-A68C-4306-B60A-CD7F1CDBD360}",NA,NA,NA,NA,NA,NA,NA,NA,NA
347,"105PS0043_09172008_BMI_RWB_1","105PS0043","2008-09-17 00:00:00",9,17,2008,"BMI_RWB",1,"",593,20,20,7.58853288,8.33333333,18.89190349,22.45,1.18833976,0.84,1.00647039,0.51,1.09740507,0.73,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2011-07-07 00:00:00","false","{040EA3C4-6CC2-417B-ACE8-5FBE96B4330F}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"520PS0455_06052013_BMI_RWB_2","520PS0455","2013-06-05 00:00:00",6,5,2013,"BMI_RWB",2,"",570,20,20,5.26315789,12.6984127,12.06909845,9.6,0.79541981,0.14,0.74242178,0.08,0.7689208,0.07,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2015-02-04 00:00:00","false","{B423A8F7-0673-48CA-A711-94BC0BB08377}",NA,NA,NA,NA,NA,NA,NA,NA,NA
5879,"636LTR001_08312000_BMI_SNARL_1","636LTR001","2000-08-31 00:00:00",8,31,2000,"BMI_SNARL",1,"SWAMP",3997,20,20,0.02501876,1.38888889,17.89825684,18.45,1.03082664,0.56,1.06458448,0.64,1.04770556,0.62,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","false","{3C972EA5-5C90-4573-A02E-E65AF57EA906}",NA,NA,NA,NA,NA,NA,NA,NA,NA
10159,"801RB8512_07192011_BMI_RWB_1","801RB8512","2011-07-19 00:00:00",7,19,2011,"BMI_RWB",1,"SWAMP",583,20,20,0.85763293,5.66037736,6.36567784,7,1.09964723,0.7,0.87159058,0.24,0.9856189,0.46,"2017-04-04 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","true","{3BEAF47A-DFF5-436C-A979-F0183B8C93BB}",NA,NA,NA,NA,NA,NA,NA,NA,NA
6267,"632PSN001_06142006_BMI_RWB_1","632PSN001","2006-06-14 00:00:00",6,14,2006,"BMI_RWB",1,"SWAMP",619,20,20,0,0,13.22962425,16.6,1.25475975,0.91,1.3452243,0.97,1.29999202,0.97,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","false","{98D03A36-6793-45A1-82B6-C5982DB13FF3}",NA,NA,NA,NA,NA,NA,NA,NA,NA
687,"113GAR112_07222014_BMI_RWB_1","113GAR112","2014-07-22 00:00:00",7,22,2014,"BMI_RWB",1,"",607,20,20,5.10708402,11.76470588,13.42346002,13.6,1.0131516,0.53,0.90514163,0.3,0.95914662,0.4,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2017-09-07 00:00:00","false","{0EAF202A-FD19-43A6-AD61-980B6DBC76F0}",NA,NA,NA,NA,NA,NA,NA,NA,NA
137,"201RDW060_09132005_BMI_RWB_MCM_1","201RDW060","2005-09-13 00:00:00",9,13,2005,"BMI_RWB_MCM",1,"",488,1,20,13.31967213,5.12820513,15.75920229,8,0.50763991,0,1.09019686,0.69,0.79891838,0.1,"2018-09-02 07:18:37","Distinct set to NA","Yes",2,"machine","SWAMP","2012-03-08 00:00:00","false","{16C58E67-C15C-4B9D-99DE-EAA7C6DE382A}",NA,NA,NA,NA,NA,NA,NA,NA,NA
