masterid,StationCode,bugcode,pgroup1,pgroup2,pgroup3,pgroup4,pgroup5,pgroup6,pgroup7,pgroup8,pgroup9,pgroup10,pgroup11
111WER047,111WER047,111WER047,0.0399,0.0084,0.8744,0.0546,0.0054,0.0066,1.00E-04,0.0089,0.0011,3.00E-04,3.00E-04
114AU7778,114AU7778,114AU7778,0.0651,0.0035,0.4828,0.2152,0.0248,0.0155,4.00E-04,0.1249,0.0096,0.0519,0.0063
202PES070,202PES070,202PES070,0.0234,0.0888,0.072,0.1993,0.1247,0.0033,0.0389,0.1759,0.0709,0.1339,0.0689
202PES080,202PES080,202PES080,0.0621,0.0394,0.2417,0.1359,0.0156,0.0243,0.0067,0.0681,0.3515,0.0198,0.0349
202PES095,202PES095,202PES095,0.0082,0.1317,0.1491,0.1628,0.1622,0.0061,0.0562,0.0937,0.0467,0.1414,0.0419
202PES100,202PES100,202PES100,0.0086,0.122,0.1515,0.1659,0.1632,0.0063,0.056,0.0913,0.0443,0.1491,0.0418
202PES120,202PES120,202PES120,0.0084,0.1689,0.104,0.2457,0.2123,0.03,0.0078,0.036,0.0292,0.1526,0.0051
202PES160,202PES160,202PES160,0.0202,0.1298,0.1023,0.2462,0.1308,0.025,0.0024,0.0297,0.0153,0.2943,0.004
202SGR010,202SGR010,202SGR010,0.0195,0.0895,0.0895,0.2002,0.1331,0.0027,0.0456,0.1425,0.0678,0.147,0.0626
202SGR040,202SGR040,202SGR040,0.0172,0.1882,0.1832,0.1741,0.1304,0.0199,0.0495,0.0542,0.0273,0.1274,0.0286
202SGR075,202SGR075,202SGR075,0.0257,0.1924,0.154,0.1981,0.1511,0.0474,0.0228,0.0462,0.0445,0.1017,0.0161
204ARH090,204ARH090,204ARH090,0.0085,0.0184,0.0196,0.4532,0.0402,0.004,0.0093,0.3127,0.0274,0.0846,0.0221
304BRA,304BRA,304BRA,0.063,0.2335,0.1521,0.1991,0.0495,0.0184,0.0114,0.0215,0.124,0.0595,0.068
305CLCSBR,305CLCSBR,305CLCSBR,0.0364,0.1169,0.0371,0.1421,0.0114,0.023,0.0057,0.0752,0.1501,0.2715,0.1306
309CAW009,309CAW009,309CAW009,2.00E-04,0.0075,0.0036,0.4321,0.0139,1.00E-04,0.0011,0.1211,0.0085,0.4052,0.0067
309LOR,309LOR,309LOR,2.00E-04,0.0133,0.0035,0.2882,0.0154,0.0014,8.00E-04,0.1593,0.012,0.4881,0.0178
309SED056,309SED056,309SED056,6.00E-04,0.0052,0.0116,0.4831,0.0301,0,0.0026,0.111,0.0037,0.3417,0.0104
402M00005,402M00005,402M00005,0.0013,0.0039,0.008,0.0522,0.0016,0.0016,8.00E-04,0.013,0.0152,0.8285,0.0739
403S01195,403S01195,403S01195,5.00E-04,0.0021,0.0029,0.0159,0.0106,4.00E-04,9.00E-04,0.6413,0.0074,0.3071,0.0109
403S05291,403S05291,403S05291,0.0024,0.0087,0.0019,0.0126,0.016,2.00E-04,0.0042,0.6032,0.0337,0.3086,0.0085
412LARSCO,412LARSCO,412LARSCO,0,0.005,2.00E-04,0.0247,2.00E-04,0.0032,0,0.2657,0.0147,0.653,0.0333
541OC0010,541OC0010,541OC0010,3.00E-04,0.0213,0.013,0.3088,0.011,0.0022,1.00E-04,0.1388,0.0192,0.4638,0.0215
631SED038,631SED038,631SED038,0.0087,0.1425,0,0.0079,0.0022,0.0046,0.7775,9.00E-04,0.0555,1.00E-04,1.00E-04
634CE0146,634CE0146,634CE0146,0.0206,0.3186,0,0.0152,0.0147,0.0991,0.4419,0.0165,0.0704,0.003,0
634PS0062,634PS0062,634PS0062,0.13,0.1461,0,0.0027,0.0105,0.1007,0.405,0.0183,0.1855,2.00E-04,0.001
634TRT004,634TRT004,634TRT004,0.0229,0.2597,0,0.0092,0.0126,0.1176,0.4812,0.0025,0.0929,0.0014,0
634TRT005,634TRT005,634TRT005,0.1077,0.2976,0,0.0056,0.0253,0.0994,0.3547,0.0078,0.1012,6.00E-04,1.00E-04
634UTRADC,634UTRADC,634UTRADC,0.0041,0.0277,0,0,0,0.1252,0.8354,1.00E-04,0.0075,0,0
634WRD029,634WRD029,634WRD029,0.0161,0.0319,0,1.00E-04,3.00E-04,0.0045,0.919,0.0113,0.0168,0,0
636SAG001,636SAG001,636SAG001,0.6489,0.2358,1.00E-04,8.00E-04,7.00E-04,0.0297,0.0529,0.0099,0.018,0,0.0032
636SHCWES,636SHCWES,636SHCWES,0.5435,0.2307,1.00E-04,8.00E-04,0.003,0.0421,0.0976,0.0246,0.0461,0,0.0115
801RB8549,801RB8549,801RB8549,4.00E-04,0.0187,0.0045,0.0234,6.00E-04,0.0013,0,0.3814,0.0526,0.4494,0.0677
801S01783,801S01783,801S01783,0,0.0019,2.00E-04,0.0056,0,0.0013,0,0.2224,0.0079,0.4685,0.2922
801S19399,801S19399,801S19399,0,0.0028,5.00E-04,0.0026,3.00E-04,2.00E-04,0,0.5691,0.0013,0.419,0.0042
801SDC178,801SDC178,SMCR8_178,0,0.0041,0.0023,0.0069,3.00E-04,2.00E-04,0,0.418,0.0107,0.5421,0.0154
SMC00766,SMC00766,SMC00766,0,0.0047,0.003,0.0087,1.00E-04,4.00E-04,0,0.4013,0.0164,0.5495,0.0159
