objectid,siteno,sitename,longdd,latdd,point_x,point_y,category,agency,cl_kpam9,cl_vei8,cl_kmean8,cl_kmeans7,kmeans7_al,kmed_7,geometry
1,11266500,MERCED R A POHONO BRIDGE NR YOSEMITE CA,-119.6662788,37.71687138,-119.6662788,37.71687138, , ,1,1,5,5,1,1,"c(-119.6662788, 37.71687138)"
2,11382000,THOMES C A PASKENTA CA,-122.5291655,39.88765496,-122.5291655,39.88765496, , ,4,4,8,3,5,6,"c(-122.5291655, 39.88765496)"
3,11383500,DEER C NR VINA CA,-121.9483181,40.01404745,-121.9483181,40.01404745, , ,3,3,2,4,2,3,"c(-121.9483181, 40.01404745)"
4,11384000,BIG CHICO C NR CHICO CA,-121.753866,39.7762726,-121.753866,39.7762726, , ,3,2,2,4,2,6,"c(-121.753866, 39.7762726)"
5,11401500,INDIAN C NR CRESCENT MILLS CA,-120.9280107,40.07794668,-120.9280107,40.07794668, , ,4,4,5,3,5,6,"c(-120.9280107, 40.07794668)"
6,11402000,SPANISH C AB BLACKHAWK C AT KEDDIE CA,-120.9543994,40.002947,-120.9543994,40.002947, , ,4,4,8,3,5,6,"c(-120.9543994, 40.002947)"
7,11403000,EB OF NF FEATHER R NR RICH BAR CA,-121.2185749,40.01044218,-121.2185749,40.01044218, , ,4,4,8,3,5,6,"c(-121.2185749, 40.01044218)"
8,11409300,OREGON C A CAMPTONVILLE CA,-121.046343,39.4460031,-121.046343,39.4460031, , ,4,4,8,3,5,6,"c(-121.046343, 39.4460031)"
9,11413000,N YUBA R BL GOODYEARS BAR CA,-120.9380068,39.5248937,-120.9380068,39.5248937, , ,5,4,8,3,5,6,"c(-120.9380068, 39.5248937)"
10,11414000,S YUBA R NR CISCO CA,-120.5643753,39.3212909,-120.5643753,39.3212909, , ,3,3,2,4,2,6,"c(-120.5643753, 39.3212909)"
11,11427000,NF AMERICAN R A NORTH FORK DAM CA,-121.023833,38.93600919,-121.023833,38.93600919, , ,5,4,8,3,5,3,"c(-121.023833, 38.93600919)"
