StationCode,County,CALWNUM,PSARegion,PSA9c_1987,PSA6c,PSA9c,PSA10c,Eco_III_1987,Eco_III_2010,New_Lat,New_Long,ELEV_RANGE,BDH_AVE,PPT_00_09,LPREM_mean,KFCT_AVE,TEMP_00_09,P_MEAN,N_MEAN,PRMH_AVE,AREA_SQKM,SITE_ELEV,MgO_Mean,S_Mean,SumAve_P,CaO_Mean,FlowStatus,Ag_2000_1K,Ag_2000_5K,Ag_2000_WS,CODE_21_2000_1K,CODE_21_2000_5K,CODE_21_2000_WS,URBAN_2000_1K,URBAN_2000_5K,URBAN_2000_WS,RoadDens_1K,RoadDens_5K,RoadDens_WS,PAVED_INT_1K,PAVED_INT_5K,PAVED_INT_WS,PerManMade_WS,InvDamDist,MINES_5K,MINES_WS,GravelMineDensL_R5K,MaxOfCOND,MaxOfW1_HALL,BPJ_Nonref,Active,UCS_Mean,AtmCa,AtmMg,AtmSO4,MINP_WS,MEANP_WS,TMAX_WS,XWD_WS,MAXWD_WS,LST32AVE,PCT_CENOZ,PCT_NOSED,PCT_QUART,PCT_SEDIM,PCT_VOLCNC,MAFLOWU,MAX_ELEV,NHD_SO,FinalCaty5,final_wgt5,LogWSA,Invasives,W1_Hall_screening,CondQR01,CondQR50,CondQR99,CondQR99c,SiteStatus,W1Hall.PF,Cond.PF,Ag.PF,Urb.PF,AgUrb.PF,Cd21.PF,RoadDens.PF,Intersections.PF,Dams.PF,ManMade.PF,Mines.PF,RegionalStrata,DevelopmentSet,SiteSet
103FS0404,Del Norte,1103.300503,North_Coast,NC,NC,NC,NC,78,78,41.85545639,-123.852148,899.8500061,1.3833,197466.0938,-1.4364,0.1936,1914.800049,0.0745,0.0015,1.359,7.902904,315.1499939,32.062,0.141,8407.6836,1.4683,Perennial,0,0,0,0,0.7055,0.7055,0,0,0,0,0.073315459,0.073315459,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,99.5166,0.0324,0.0143,0.1416,10.375,2534.4211,267.125,141.88,19.16,106.1538,0,100,0,0,0,21.00934,1215,2,NA,NA,0.897786706,Not detected,0,20,87,220,220,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Validation,RefVal
103FS0405,Del Norte,1103.110005,North_Coast,NC,NC,NC,NC,1,1,41.78889527,-124.0778375,441.7799988,1.3647,194059,-0.5997,0.211,1694.199951,0.1222,0.0497,1.173,4.610277,37.22000122,4.7082,0.1116,7215.1831,3.6608,Perennial,0,0,0,2.3155,1.4236,1.4236,0,0,0,0.60924717,0.394192121,0.394192121,1,1,1,0,0,0,0,0,NA,NA,FALSE,TRUE,93.5551,0.0327,0.0162,0.1485,9.8333,2473,252.8333,123.2857,17,75.6429,0,3.223233428,0,96.77508924,0,6.97382,479,1,NA,NA,0.66372702,Not detected,0,18.795,68,232,232,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
103FS0411,Del Norte,1105.110506,North_Coast,NC,NC,NC,NC,78,78,41.5317445,-123.8284506,1159.980011,1.4302,218500,-1.5312,0.202,1828.300049,0.0911,0.0208,2.107,28.328365,408.019989,19.1647,0.1145,10044.3828,1.0363,Perennial,0,0,0,1.0847,1.9913,2.6532,0,0,0,0,0.165892857,0.357742501,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,103.5713,0.0325,0.0136,0.1402,19.2286,3174.446,287.4286,142.1264,19.1839,112.5114,0,0,0,100,0,41.75309,1568,3,NA,NA,1.45222151,Not detected,0,23,89,248.6,248.6,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Validation,RefVal
103WER026,Del Norte,1103.300502,North_Coast,NC,NC,NC,NC,78,78,41.84998645,-124.0332179,366.699997,1.458,205588.5938,-0.767,0.22,1681.400024,0.2658,0.0139,1.645,1.509665,235.3000031,4.0155,0.0294,7309.7998,6.2065,Perennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,FALSE,TRUE,139.1237,0.0327,0.0162,0.1485,-1,2536,-1,117,17,80,0,100,0,0,0,4.8308,602,1,NA,NA,0.178880587,Not detected,0,10,66,790.37,790.37,Reference,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
103WER029,Del Norte,1103.110001,North_Coast,NC,NC,NC,NC,1,1,41.80976601,-124.1120887,238.7000008,1.3645,190371.4063,-0.6658,0.211,1651.599976,0.1154,0.0589,1.173,4.733672,46.29999924,2.9977,0.0574,6928.7534,3.3568,Perennial,0,0,0,1.918,0.4177,0.4177,0,0,0,0.164008295,0.035652446,0.035652446,1,1,1,0,0,0,0,0,68,0,FALSE,TRUE,101.4091,0.0328,0.0167,0.1502,8.8333,2121.8999,252.3333,119,17,70.6,0,0,0,100,0,NA,285,NA,NA,NA,0.675198162,Not detected,0,19.535,70,226,226,Reference,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
105CE0149,Del Norte,1105.110502,North_Coast,NC,NC,NC,NC,78,78,41.48313406,-123.7437815,931.2199707,1.4624,210743.2031,-1.4576,0.2084,1860.699951,0.1398,0.0383,2.6352,52.585223,651.7800293,2.0144,0.0694,7293.4238,1.7379,Perennial,0,0,0,1.1905,1.2132,1.4462,0,0,0.012,0.394501665,0.391540534,0.355562495,0,0,0,0,0,0,0,0,92,0,FALSE,TRUE,123.9384,0.0322,0.0127,0.1366,21.6667,3409.5547,290.3175,124.9136,17.7593,116.7407,0,0,0,100,0,82.48101,1583,3,NA,NA,1.72086372,Not detected,0,20,90,233.97,233.97,Reference,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
105CE0329,Siskiyou,1105.230201,North_Coast,NC,NC,NC,NC,78,78,41.30817529,-123.0339192,1067.430054,1.5019,116298.5,-0.9164,0.1558,1722.699951,0.0605,0.0136,3.1702,4.006708,1091.569946,2.6923,0.0449,5432.8667,5.429,Perennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,FALSE,TRUE,131.9273,0.0312,0.0098,0.1248,11,1378.4445,249.4,103.9167,15,155.7857,0,100,0,0,0,5.52392,2159,1,NA,NA,0.602787693,Not detected,0,11.10647059,79.75,213.752766,213.752766,Reference,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
105FCA116,Siskiyou,1105.230201,North_Coast,NC,NC,NC,NC,78,78,41.31781549,-123.048116,1540.049988,1.4466,99842,-0.7798,0.1588,1837.5,0.1924,0.0112,6.8711,47.2894,863.9500122,3.4469,0.0442,6294.2891,5.9046,Perennial,0,0,0,4.4474,2.2507,1.2425,0,0,0,0.773392413,0.328508419,0.368530029,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,180.6617,0.0312,0.0097,0.1242,11.8966,1425.2778,241.3621,99.8966,14.1379,157.8069,0,100,0,0,0,48.1621,2404,3,NA,NA,1.674763804,Not detected,0,10,51,202.5187302,202.5187302,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Validation,RefVal
105FS0415,Siskiyou,1105.310102,North_Coast,NC,NC,NC,NC,78,78,41.61202148,-123.2922522,1128.219971,1.4709,167678.5938,-0.8082,0.1725,1678.300049,0.2223,0.0088,7.0039,9.580132,948.7800293,3.3746,0.0462,6315.229,5.7836,Perennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,196.5145,0.0314,0.0099,0.1249,9.1818,2471.8999,261.8182,118.4,17.5667,146.0345,0,80.78490249,0,0,19.21476729,13.68466,2077,1,NA,NA,0.981371493,Not detected,0,10,50,207.0466667,207.0466667,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
105FS0418,Siskiyou,1105.310506,North_Coast,NC,NC,NC,NC,78,78,41.5728015,-123.5446885,1567,1.4471,143983.2969,-1.0255,0.1731,2075.699951,0.1591,0.0199,4.5845,189.125786,244,7.6534,0.0693,6946.626,3.7351,Perennial,0,0,0,0.4292,1.5823,1.2054,0,0.0206,0.0224,0.378144952,0.096839803,0.13727005,0,0,5,0,0,0,1,0,121,0.14,FALSE,TRUE,150.5628,0.032,0.0121,0.1338,15.5683,2780.2031,294.696,121.4839,16.9508,117.3373,0,0.722535002,0,99.27741969,0,265.4263,1811,4,NA,NA,2.276750746,Not detected,0.14,18.65333333,78,232,232,Reference,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
105FS0423,Siskiyou,1105.310306,North_Coast,NC,NC,NC,NC,78,78,41.7369287,-123.548724,1411.950012,1.2541,171676.7969,-0.9122,0.1411,1749.400024,0.1144,0.005,4.7216,40.547444,459.0499878,22.8814,0.101,6396.8818,4.5775,Perennial,0,0,0,0,0,0.0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,139.436,0.0319,0.0116,0.1317,10.1837,2382.6526,289.7755,113.7107,15.9752,124.3306,0,99.61293673,0,0.38720073,0,57.79993,1871,3,NA,NA,1.607963483,Not detected,0,21,87,257.4955556,257.4955556,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
105FS0424,Siskiyou,1105.310304,North_Coast,NC,NC,NC,NC,78,78,41.73447257,-123.5482576,1749.890015,1.3196,171676.7969,-0.6265,0.1503,1749.400024,0.1364,0.0062,5.5389,159.598563,456.1099854,17.6642,0.0846,7875.4712,4.8136,Perennial,0,0,0,0,0,0.2695,0,0,0,0,0,0.03893171,0,0,0,0,0,0,2,0,NA,NA,FALSE,TRUE,148.1364,0.032,0.0121,0.1339,18.1392,2959.3452,275.299,123.2555,17.2294,125.4069,0,88.64296613,0,11.35705715,0,225.31577,2206,4,NA,NA,2.203028977,Not detected,0,15,77.88255034,209.960566,209.960566,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Validation,RefVal
105FS0425,Siskiyou,1105.230103,North_Coast,NC,NC,NC,NC,78,78,41.35826851,-123.0745063,1477.659973,1.496466667,107109.5,-0.427366667,0.155233333,1845.199951,0.188133333,0.021533333,3.608933333,147.210189,861.3400269,4.924066667,0.031933333,5120.9427,7.255133333,Perennial,0,0,0,2.5205,0.1573,0.0281,0,0,0,0.069696555,0.058846139,0.102048819,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,161.7357,0.0312,0.023966667,0.123733333,9.6228,1345.528633,285.3749,98.4218,14.34703333,145.6772,0,1.885598907,0,98.74293655,0,136.42421,2339,3,NA,NA,2.16793787,Not detected,0,23,111,357.3309677,357.3309677,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
105FS0428,Siskiyou,1105.220202,North_Coast,NC,NC,NC,NC,78,78,41.4410528,-123.3582948,1655.540009,1.494066667,162172,-0.809,0.197833333,1938.199951,0.2223,0.0088,5.8547,40.400047,407.4599915,3.3695,0.0462,5113.714167,5.780966667,Perennial,0,0,0,0,1.022,0.3565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,196.0416,0.0315,0.0245,0.127633333,8.090266667,1918.847533,313.2986,107.8238333,15.26043333,130.2168,0,98.89758238,0,0,1.653568884,40.41838,2063,2,NA,NA,1.60638187,Not detected,0,23,94,343.0338889,343.0338889,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
105PS0043,Siskiyou,1105.330204,North_Coast,NC,NC,NC,NC,78,78,41.72939189,-123.2367063,1251.789978,1.3913,172651,-0.7149,0.1423,1649.800049,0.0813,0.0106,4.5446,50.744324,886.210022,11.021,0.0662,6413.3979,5.3628,Perennial,0,0,0,1.0957,3.0399,1.9088,0,0,0,1.352269577,0.726252942,0.404353402,0,0,0,0,0,0,0,0,204.5,0,FALSE,TRUE,133.2706,0.0312,0.0095,0.123,9.0345,2137.9646,259.7242,120.5253,18.1899,146.1761,0,0,0,0,100,42.72291,2138,3,NA,NA,1.705387471,Not detected,0,10,72,209.4239474,209.4239474,Reference,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
105PS0083,Siskiyou,1105.230403,North_Coast,NC,NC,NC,NC,78,78,41.36469401,-123.1871691,1105.73999,1.4842,107680.1016,-0.7995,0.1886,1832.300049,0.143,0.0106,6.488,2.346182,916.2600098,3.3284,0.0463,5216.2666,5.9895,Perennial,0,0,0,2.2699,0.6899,0.6899,0,0,0,1.294859338,0.394286055,0.394286055,0,0,0,0,0,0,0,0,100.9,0,FALSE,TRUE,168.471,0.0314,0.0102,0.1263,10,1333.6666,297,97.75,14,140,0,0,0,100,0,1.02808,2022,1,NA,NA,0.370361699,Not detected,0,20,80,292,292,Reference,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
105PS0090,Siskiyou,1105.240103,North_Coast,NC,NC,NC,NC,78,78,41.07846793,-123.031717,1771.25,1.4711,94830.5,-0.8618,0.1549,1826.800049,0.1089,0.0604,4.5282,95.942772,927.75,3.8993,0.0468,6993,5.1794,Perennial,0,0,0,0,0,0.2992,0,0,0,0,0,0.090521097,0,0,0,0,0,0,0,0,111.9,0.0985,FALSE,TRUE,137.9978,0.0317,0.0117,0.1332,3.4333,1727.9498,235.7833,114.0963,15.9668,144.1906,0,99.07478987,0,0.925134827,0,91.94754,2699,3,NA,NA,1.982012262,Not detected,0.0985,10,56,227.79125,227.79125,Reference,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
105PS0097,Siskiyou,1105.310109,North_Coast,NC,NC,NC,NC,78,78,41.74157187,-123.355488,1852.429993,1.473,140475.2031,-0.855,0.1645,2041.5,0.1111,0.0113,4.6878,233.895186,403.5700073,5.0236,0.0513,5600.2397,5.5843,Perennial,0,0,0,5.3409,4.6761,2.2025,0,0,0,1.070535851,0.622519255,0.536859146,0,4,6,0,0,0,0,0,172,0.54,FALSE,TRUE,149.8205,0.0314,0.0099,0.1248,8.847,2038.566,284.2313,121.4545,17.7916,141.0819,0,17.27658472,0,20.73569823,61.98768018,331.79541,2256,4,NA,NA,2.369021283,Not detected,0.54,20,77.90958904,213.8124138,213.8124138,Reference,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
105PS0154,Siskiyou,1105.240202,North_Coast,NC,NC,NC,NC,78,78,41.09812487,-123.0733997,1866,1.491833333,103541.8984,-0.8452,0.1578,1813.099976,0.160366667,0.020833333,3.7943,157.7700109,835.9799805,3.323933333,0.0461,5576.784833,5.548933333,Perennial,0,0,0,4.0163,0.9482,0.3816,0,0,0,1.268889781,0.07629913,0.072035655,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,167.0153667,0.0317,0.0317,0.1323,1.025866667,1365.5234,280.2404,106.1536667,14.3463,149.0302,0,79.24163016,0,20.75836984,0,153.9114,2702,3,NA,NA,2.198024456,Not detected,0,23,138,364.5125,364.5125,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
105PS0540,Siskiyou,1105.820201,Deserts_Modoc,DM,DM,DM,DMmo,4,4,41.62001951,-122.0692366,1116.280029,1.2137,55259.69922,-0.3659,0.125,1515.300049,0.2229,0.2038,13.515,136.620243,1478.719971,2.7076,0.026,5812.0991,4.8497,Perennial,0,0,0,0,0,0,0,0,0,0.52772286,1.411316597,1.262246437,0,0,5,0,0,0,0,0,NA,NA,FALSE,TRUE,97.7842,0.0311,0.0082,0.1196,12.7654,967.3876,249.963,88.2632,12.4761,158.4296,0,0,0,0,100,119.77474,2595,3,NA,NA,2.135515053,Not detected,0,9.36452381,57.08695652,202.9228571,202.9228571,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,DMmo,Calibration,RefCal
105PS0660,Modoc,1105.940404,Deserts_Modoc,DM,DM,DM,DMmo,9,9,41.91564526,-120.8885914,478.5899658,1.3209,36868.39844,-0.281,0.1872,1513.400024,0.2527,0.052,2.4641,230.329585,1455.410034,3.4489,0.0286,4627.7505,5.7022,Perennial,0,0,0,0,0,0,0,0,0,1.019844361,0.181652884,1.530101479,0,0,4,0,0,0,0,0,NA,NA,FALSE,TRUE,119.2461,0.0422,0.0111,0.1644,9.0896,532.6346,267.1864,85.3581,11.0275,171.2185,12.30692964,0,0,12.30692964,87.69307675,34.99596,1934,4,NA,NA,2.362349725,Not detected,0,31,140,359.532,359.532,Reference,Missing,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,DMmo,Validation,RefVal
105WE0583,Siskiyou,1105.410203,North_Coast,NC,NC,NC,NC,78,78,41.7084139,-123.132001,868.6099854,1.5001,72705.29688,-0.7843,0.157,1646.300049,0.1401,0.0089,2.98,4.302742,1094.390015,8.1486,0.0597,6171.4668,5.3191,Perennial,0,0,0,0,1.9698,1.9698,0,0,0,0,0.798244782,0.798244782,0,0,0,0,0,0,0,0,203,0,FALSE,TRUE,160.9702,0.0311,0.0091,0.1217,10.1667,1086.4,268.8333,84,11.8571,141,0,0,0,0,100,2.95445,1963,1,NA,NA,0.633745306,Not detected,0,21,116.3333333,354.0909091,354.0909091,Reference,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
105WE0592,Siskiyou,1105.500605,North_Coast,NC,NC,NC,NC,78,78,41.36252018,-122.5200748,651.5500488,1.2057,84432.70313,-0.3636,0.1249,1531.300049,0.0611,0.0015,4.6632,4.534937,1753.449951,29.951,0.1057,4457.2998,5.051,Perennial,0,0,0,0,0,0,0,0,0,0.166872137,0.83230356,0.83230356,0,0,0,0,0,0,0,0,210,0,FALSE,TRUE,119.0074,0.0309,0.0086,0.1196,8.4,1033.8,220.4,90.1667,12.25,152.6923,0,100,0,0,0,16.47123,2405,1,NA,NA,0.656571258,Not detected,0,10,68,259,259,Reference,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NC,Calibration,RefCal
