list_id,comid,gage_id,ID,NHDV1_COMID,NHDV2_COMID,STATION_NAME,LATITUDE,LONGITUDE,FLOW_YRS_POST_1950,FLOW_YRS_PRE_1975,FINAL_REFERENCE,REF_BEGIN_YEAR,REF_END_YEAR,CEFF_type,geometry,date_begin,date_end,ward
10250800,20216276,10250800,T10250800,20216276,20216276,DARWIN C NR DARWIN CA,36.32049645,-117.5239547,27,12,N,NA,NA,ALT,"c(-117.5239547, 36.32049645)",1962-10-01,1989-09-30,2
10251300,20247268,10251300,T10251300,20247268,20247268,"AMARGOSA RIVER AT TECOPA, CA",35.848577,-116.2300238,40,12,N,NA,NA,ALT,"c(-116.2300238, 35.848577)",1961-10-01,2019-12-26,2
10254050,22599679,10254050,T10254050,22599679,22599679,SALT C NR MECCA,33.44697395,-115.8433289,35,12,N,NA,NA,ALT,"c(-115.8433289, 33.44697395)",1961-02-01,2019-12-25,6
10254670,22599625,10254670,T10254670,22599625,22599625,ALAMO R AT DROP 3 NR CALIPATRIA CA,33.10444444,-115.5441667,24,0,NA,NA,NA,ALT,"c(-115.5441667, 33.10444444)",1979-07-01,2003-09-29,10
10254730,22598685,10254730,T10254730,22598685,22598685,ALAMO R NR NILAND CA,33.19892768,-115.5969343,54,14,NA,NA,NA,ALT,"c(-115.5969343, 33.19892768)",1960-10-01,2019-12-26,10
10254970,22603541,10254970,T10254970,22603541,22603541,NEW R AT INTERNATIONAL BOUNDARY AT CALEXICO CA,32.6658925,-115.5030501,35,0,NA,NA,NA,ALT,"c(-115.5030501, 32.6658925)",1979-10-01,2019-12-26,10
10255700,22597605,10255700,T10255700,22597605,22597605,SAN FELIPE C NR JULIAN CA,33.11865416,-116.4352927,25,16,N,NA,NA,ALT,"c(-116.4352927, 33.11865416)",1958-08-01,1983-09-29,6
10256500,22593463,10256500,T10256500,22593463,22593463,SNOW C NR WHITE WATER CA,33.8705722,-116.681127,55,15,N,NA,NA,ALT,"c(-116.681127, 33.8705722)",1921-07-21,2019-12-26,6
10257548,948100389,10257548,T10257548,22593725,948100389,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.89890453,-116.6211256,16,0,N,NA,NA,ALT,"c(-116.6211256, 33.89890453)",1998-10-01,2019-12-25,4
10257550,948100389,10257550,T10257550,22593725,948100389,WHITEWATER R A WINDY PT NR WHITEWATER CA,33.8989045,-116.6211256,28,0,N,NA,NA,ALT,"c(-116.6211256, 33.8989045)",1984-10-01,2019-12-25,4
10257710,22591957,10257710,T10257710,22591957,22591957,CHINO CYN C NR PALM SPRINGS CA,33.8391845,-116.6133486,10,0,NA,NA,NA,ALT,"c(-116.6133486, 33.8391845)",1974-10-01,1985-07-18,6
10257720,22591957,10257720,T10257720,22591957,22591957,CHINO CYN C BL TRAMWAY NR PALM SPRINGS CA,33.8441843,-116.6052929,28,0,N,NA,NA,ALT,"c(-116.6052929, 33.8441843)",1986-10-01,2019-12-26,6
