StationCode,longitude,latitude,geometry
000CAT148,-119.89953,39.07525,"c(-119.89953, 39.07525)"
000CAT228,-119.92006,39.07317,"c(-119.92006, 39.07317)"
103CDCHHR,-124.07766,41.78887,"c(-124.07766, 41.78887)"
103FC1106,-124.1084,41.93373,"c(-124.1084, 41.93373)"
103KLCMSR,-123.85239,41.85532,"c(-123.85239, 41.85532)"
103PS0217,-124.08349,41.68708,"c(-124.08349, 41.68708)"
105BVCAGC,-123.29221,41.61201,"c(-123.29221, 41.61201)"
105CLCATC,-123.54822,41.7349,"c(-123.54822, 41.7349)"
105CR0901,-123.5227,41.3226,"c(-123.5227, 41.3226)"
105CR0913,-122.8934,41.844,"c(-122.8934, 41.844)"
105DLCDCC,-123.54353,41.57269,"c(-123.54353, 41.57269)"
105FLH087,-120.79008,41.8124,"c(-120.79008, 41.8124)"
105PS0149,-123.65545,41.241,"c(-123.65545, 41.241)"
105PS0211,-122.9217,41.42697,"c(-122.9217, 41.42697)"
105PS0231,-122.45671,41.60865,"c(-122.45671, 41.60865)"
105PS1148,-122.4641,41.8659,"c(-122.4641, 41.8659)"
105PS1404,-122.38887,41.92433,"c(-122.38887, 41.92433)"
105SED077,-122.06463,41.62417,"c(-122.06463, 41.62417)"
105TMCACC,-123.54855,41.73691,"c(-123.54855, 41.73691)"
106FC1183,-122.7465,40.63704,"c(-122.7465, 40.63704)"
106FC1313,-122.80039,40.87032,"c(-122.80039, 40.87032)"
106HLCACC,-123.59623,41.01605,"c(-123.59623, 41.01605)"
106MNCAHC,-123.321,40.638,"c(-123.321, 40.638)"
106PS0186,-123.1213,40.3062,"c(-123.1213, 40.3062)"
106PTCAHC,-123.03502,40.49615,"c(-123.03502, 40.49615)"
106WER062,-122.80333,41.13472,"c(-122.80333, 41.13472)"
107GWCAPC,-124.02434,41.36788,"c(-124.02434, 41.36788)"
107LLM101,-124.02387,41.32697,"c(-124.02387, 41.32697)"
108PS0197,-124.0853,41.176,"c(-124.0853, 41.176)"
111CBCAER,-122.84832,39.52904,"c(-122.84832, 39.52904)"
111ERATRC,-122.8613,39.5525,"c(-122.8613, 39.5525)"
111FC1098,-123.72484,39.75738,"c(-123.72484, 39.75738)"
111PS0178,-123.95064,40.67994,"c(-123.95064, 40.67994)"
111PS0237,-123.46499,40.33346,"c(-123.46499, 40.33346)"
111TGCAER,-122.86543,39.39523,"c(-122.86543, 39.39523)"
111WE0813,-123.43736,39.95969,"c(-123.43736, 39.95969)"
113MLCTMR,-123.72528,39.54722,"c(-123.72528, 39.54722)"
113PS0076,-123.5005,38.9363,"c(-123.5005, 38.9363)"
113PS0196,-123.6553,39.5439,"c(-123.6553, 39.5439)"
113PS0216,-123.24221,38.51536,"c(-123.24221, 38.51536)"
113PS0232,-123.30996,38.66785,"c(-123.30996, 38.66785)"
113PS0268,-123.4593,39.15598,"c(-123.4593, 39.15598)"
113RG8046,-123.15189,38.47575,"c(-123.15189, 38.47575)"
114AU7778,-123.11811,38.58703,"c(-123.11811, 38.58703)"
114CR0903,-123.01119,38.81627,"c(-123.01119, 38.81627)"
114DCURxx,-123.14825,38.95381,"c(-123.14825, 38.95381)"
114DLCMRx,-123.22369,39.12817,"c(-123.22369, 39.12817)"
114EACR6x,-123.0627,38.5923,"c(-123.0627, 38.5923)"
114FCASCx,-122.91117,38.82916,"c(-122.91117, 38.82916)"
114FCR2xx,-122.88258,38.58139,"c(-122.88258, 38.58139)"
114FCR3xx,-122.88276,38.581,"c(-122.88276, 38.581)"
114FCR4xx,-122.88326,38.58085,"c(-122.88326, 38.58085)"
114GCR2xx,-120.02822,39.37343,"c(-120.02822, 39.37343)"
114JVCLRx,-122.86244,38.40108,"c(-122.86244, 38.40108)"
114MA2364,-122.76788,38.63048,"c(-122.76788, 38.63048)"
114MCR1xx,-122.87572,38.58492,"c(-122.87572, 38.58492)"
114MCR2xx,-122.88736,38.584,"c(-122.88736, 38.584)"
114MCR3xx,-122.91599,38.59473,"c(-122.91599, 38.59473)"
114MCR8xx,-122.91674,38.59434,"c(-122.91674, 38.59434)"
114MRCMRx,-123.12056,39.06608,"c(-123.12056, 39.06608)"
114PS0149,-122.67608,38.43414,"c(-122.67608, 38.43414)"
114PS0229,-122.78391,38.61538,"c(-122.78391, 38.61538)"
