metric,status_code,status,alteration_type,median_in_iqr,comid,gage_id
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,22597421,10255800
DS_Tim,1,likely_unaltered,none_found,TRUE,22597421,10255800
DS_Mag_50,1,likely_unaltered,none_found,TRUE,22597421,10255800
DS_Mag_90,1,likely_unaltered,none_found,TRUE,22597421,10255800
FA_Dur,1,likely_unaltered,none_found,TRUE,22597421,10255800
FA_Mag,1,likely_unaltered,none_found,TRUE,22597421,10255800
FA_Tim,1,likely_unaltered,none_found,TRUE,22597421,10255800
Wet_Tim,1,likely_unaltered,none_found,TRUE,22597421,10255800
SP_ROC,0,indeterminate,high,FALSE,22597421,10255800
SP_Dur,0,indeterminate,low,FALSE,22597421,10255800
SP_Mag,1,likely_unaltered,none_found,TRUE,22597421,10255800
SP_Tim,-1,likely_altered,late,FALSE,22597421,10255800
Wet_BFL_Dur,0,indeterminate,low,FALSE,22597421,10255800
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,22597421,10255800
Wet_BFL_Mag_50,1,likely_unaltered,none_found,TRUE,22597421,10255800
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,22597421,10255800
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,22597421,10255800
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,22597421,10255800
Peak_10,0,indeterminate,unknown,TRUE,22597421,10255800
Peak_2,1,likely_unaltered,none_found,TRUE,22597421,10255800
Peak_5,0,indeterminate,unknown,TRUE,22597421,10255800
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,22597421,10255800
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,22597421,10255800
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,22597421,10255800
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,22591931,10257500
DS_Tim,1,likely_unaltered,none_found,TRUE,22591931,10257500
DS_Mag_50,1,likely_unaltered,none_found,TRUE,22591931,10257500
DS_Mag_90,1,likely_unaltered,none_found,TRUE,22591931,10257500
FA_Dur,1,likely_unaltered,none_found,TRUE,22591931,10257500
FA_Mag,1,likely_unaltered,none_found,TRUE,22591931,10257500
FA_Tim,1,likely_unaltered,none_found,FALSE,22591931,10257500
Wet_Tim,1,likely_unaltered,none_found,TRUE,22591931,10257500
SP_ROC,1,likely_unaltered,none_found,FALSE,22591931,10257500
SP_Dur,1,likely_unaltered,none_found,TRUE,22591931,10257500
SP_Mag,1,likely_unaltered,none_found,TRUE,22591931,10257500
SP_Tim,1,likely_unaltered,none_found,TRUE,22591931,10257500
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,22591931,10257500
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,22591931,10257500
Wet_BFL_Mag_50,1,likely_unaltered,none_found,FALSE,22591931,10257500
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,22591931,10257500
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,22591931,10257500
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,22591931,10257500
Peak_10,-1,likely_altered,high,FALSE,22591931,10257500
Peak_2,-1,likely_altered,low,FALSE,22591931,10257500
Peak_5,-1,likely_altered,high,FALSE,22591931,10257500
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,22591931,10257500
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,22591931,10257500
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,22591931,10257500
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,22590267,10257600
DS_Tim,1,likely_unaltered,none_found,TRUE,22590267,10257600
DS_Mag_50,1,likely_unaltered,none_found,TRUE,22590267,10257600
DS_Mag_90,1,likely_unaltered,none_found,TRUE,22590267,10257600
FA_Dur,1,likely_unaltered,none_found,TRUE,22590267,10257600
FA_Mag,1,likely_unaltered,none_found,TRUE,22590267,10257600
FA_Tim,1,likely_unaltered,none_found,FALSE,22590267,10257600
Wet_Tim,1,likely_unaltered,none_found,FALSE,22590267,10257600
SP_ROC,1,likely_unaltered,none_found,TRUE,22590267,10257600
SP_Dur,1,likely_unaltered,none_found,TRUE,22590267,10257600
SP_Mag,1,likely_unaltered,none_found,TRUE,22590267,10257600
SP_Tim,1,likely_unaltered,none_found,TRUE,22590267,10257600
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,22590267,10257600
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,22590267,10257600
Wet_BFL_Mag_50,1,likely_unaltered,none_found,TRUE,22590267,10257600
Peak_Dur_10,1,likely_unaltered,none_found,FALSE,22590267,10257600
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,22590267,10257600
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,22590267,10257600
Peak_10,-1,likely_altered,high,FALSE,22590267,10257600
Peak_2,-1,likely_altered,low,FALSE,22590267,10257600
Peak_5,-1,likely_altered,high,FALSE,22590267,10257600
Peak_Fre_10,1,likely_unaltered,none_found,FALSE,22590267,10257600
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,22590267,10257600
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,22590267,10257600
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,22592131,10259000
DS_Tim,1,likely_unaltered,none_found,TRUE,22592131,10259000
DS_Mag_50,1,likely_unaltered,none_found,TRUE,22592131,10259000
DS_Mag_90,1,likely_unaltered,none_found,TRUE,22592131,10259000
FA_Dur,1,likely_unaltered,none_found,TRUE,22592131,10259000
FA_Mag,1,likely_unaltered,none_found,TRUE,22592131,10259000
FA_Tim,1,likely_unaltered,none_found,TRUE,22592131,10259000
Wet_Tim,1,likely_unaltered,none_found,TRUE,22592131,10259000
SP_ROC,1,likely_unaltered,none_found,TRUE,22592131,10259000
SP_Dur,1,likely_unaltered,none_found,TRUE,22592131,10259000
SP_Mag,1,likely_unaltered,none_found,TRUE,22592131,10259000
SP_Tim,0,indeterminate,unknown,TRUE,22592131,10259000
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,22592131,10259000
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,22592131,10259000
Wet_BFL_Mag_50,0,indeterminate,high,FALSE,22592131,10259000
Peak_Dur_10,1,likely_unaltered,none_found,FALSE,22592131,10259000
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,22592131,10259000
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,22592131,10259000
Peak_10,-1,likely_altered,high,FALSE,22592131,10259000
Peak_2,-1,likely_altered,low,FALSE,22592131,10259000
Peak_5,-1,likely_altered,high,FALSE,22592131,10259000
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,22592131,10259000
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,22592131,10259000
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,22592131,10259000
DS_Dur_WS,NA,not_enough_data,undeterminable,NA,22594433,10259600
DS_Tim,NA,not_enough_data,undeterminable,NA,22594433,10259600
DS_Mag_50,NA,not_enough_data,undeterminable,NA,22594433,10259600
DS_Mag_90,NA,not_enough_data,undeterminable,NA,22594433,10259600
FA_Mag,NA,not_enough_data,undeterminable,NA,22594433,10259600
FA_Tim,NA,not_enough_data,undeterminable,NA,22594433,10259600
Wet_Tim,NA,not_enough_data,undeterminable,NA,22594433,10259600
SP_Dur,NA,not_enough_data,undeterminable,NA,22594433,10259600
SP_Mag,NA,not_enough_data,undeterminable,NA,22594433,10259600
SP_Tim,NA,not_enough_data,undeterminable,NA,22594433,10259600
Wet_BFL_Dur,NA,not_enough_data,undeterminable,NA,22594433,10259600
Wet_BFL_Mag_10,NA,not_enough_data,undeterminable,NA,22594433,10259600
Wet_BFL_Mag_50,NA,not_enough_data,undeterminable,NA,22594433,10259600
Peak_10,NA,not_enough_data,undeterminable,NA,22594433,10259600
Peak_2,NA,not_enough_data,undeterminable,NA,22594433,10259600
Peak_5,NA,not_enough_data,undeterminable,NA,22594433,10259600
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,22684930,10263500
DS_Tim,1,likely_unaltered,none_found,TRUE,22684930,10263500
DS_Mag_50,0,indeterminate,unknown,TRUE,22684930,10263500
DS_Mag_90,0,indeterminate,unknown,TRUE,22684930,10263500
FA_Dur,1,likely_unaltered,none_found,TRUE,22684930,10263500
FA_Mag,1,likely_unaltered,none_found,FALSE,22684930,10263500
FA_Tim,1,likely_unaltered,none_found,FALSE,22684930,10263500
Wet_Tim,1,likely_unaltered,none_found,TRUE,22684930,10263500
SP_ROC,1,likely_unaltered,none_found,TRUE,22684930,10263500
SP_Dur,1,likely_unaltered,none_found,TRUE,22684930,10263500
SP_Mag,0,indeterminate,unknown,TRUE,22684930,10263500
SP_Tim,1,likely_unaltered,none_found,TRUE,22684930,10263500
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,22684930,10263500
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,22684930,10263500
Wet_BFL_Mag_50,0,indeterminate,unknown,TRUE,22684930,10263500
Peak_Dur_10,1,likely_unaltered,none_found,FALSE,22684930,10263500
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,22684930,10263500
