StationCode,longitude,latitude,HUC_12,gageID,lon,lat,comid,SiteStatus
106WE0812,-122.93228,40.68862,180102110705,11525750,-122.9339144,40.6857006,8245846,Stressed
111WE0825,-123.61268,40.49018,180101050703,11477400,-123.5875363,40.48375316,2705433,Stressed
114CE0695,-122.72888,38.43611,180101100703,11466200,-122.7247096,38.4365787,8273645,Stressed
114MA2364,-122.76788,38.63048,180101100604,11463900,-122.7638792,38.6410198,8272313,NA
114PS0149,-122.67608,38.43414,180101100702,11466065,-122.6802637,38.45491127,948010117,NA
201LAG050,-122.78969,38.04181,180500050104,11460600,-122.7844348,38.08019988,5329833,NA
201LAG140,-122.77051,38.07034,180500050104,11460600,-122.7844348,38.08019988,5329511,NA
201LAG175,-122.750729,38.04473,180500050103,11460400,-122.736377,38.0268673,5329831,NA
201LAGCPT,-122.729,38.01923,180500050103,11460400,-122.736377,38.0268673,5329621,NA
201WLK098,-122.864597,38.215233,180500050203,11460750,-122.8183254,38.1757531,5329315,NA
201WLK150,-122.838774,38.184404,180500050203,11460750,-122.8183254,38.1757531,5329343,NA
201WLK178,-122.783144,38.163658,180500050203,11460750,-122.8183254,38.1757531,5329365,NA
204AMO070,-121.81452,37.67672,180500040302,11176090,-121.8143992,37.67687486,2806391,NA
204AMO100,-121.75031,37.66747,180500040302,11176090,-121.8143992,37.67687486,2808535,NA
204AMO160,-121.70485,37.62683,180500040301,11176000,-121.7046734,37.62632039,2806597,NA
204AMO180,-121.66948,37.60316,180500040301,11176000,-121.7046734,37.62632039,2808559,NA
204AMO200,-121.5324,37.48213,180500040301,11176000,-121.7046734,37.62632039,2809733,NA
204SMA020,-122.31861,37.57028,180500040903,11162720,-122.4263613,37.65382296,2804607,NA
204SMA060,-122.32884,37.56213,180500040901,11162753,-122.3583333,37.52944444,2804607,Stressed
204SMA080,-122.34194,37.55722,180500040901,11162753,-122.3583333,37.52944444,2804607,Stressed
204SMA120,-122.35121,37.53258,180500040901,11162753,-122.3583333,37.52944444,2804621,NA
205PS0138,-122.1384,37.41012,180500030407,11166000,-122.1355193,37.4216062,17693219,Stressed
206NVCPNP,-122.58879,38.11385,180500020603,11459500,-122.5799815,38.10769775,1669845,NA
304ACSDFx,-121.91361,37.08333,180600150303,11160000,-121.9557933,36.9913389,17683290,NA
304SCEF,-121.91361,37.08333,180600150303,11160000,-121.9557933,36.9913389,17683290,NA
304SCEFLx,-121.91361,37.08333,180600150303,11160000,-121.9557933,36.9913389,17683290,NA
304SCSDFx,-121.91361,37.08333,180600150303,11160000,-121.9557933,36.9913389,17683290,NA
304SLB,-122.0709615,37.0443104,180600150203,11160500,-122.072464,37.0443931,17682474,NA
305BRI,-121.21056,36.61423,180600020703,11156500,-121.2029797,36.60940609,17665645,NA
305COR,-121.74372,36.91275,180600020805,11159000,-121.5977215,36.9002307,17663255,NA
305COR2,-121.80135,36.98905,180600020802,11159200,-121.7705065,36.9393968,17663061,NA
305FRA,-121.49082,36.96342,180600020801,11153650,-121.5271622,36.98744858,17662891,NA
309SEC,-121.32153,36.28052,180600051309,11152000,-121.3227063,36.28052076,8205291,NA
309SED057,-121.32254,36.28053,180600051309,11152000,-121.3227063,36.28052076,8205291,NA
312HUA,-120.36816,35.08665,180600070505,11137900,-120.3718267,35.07775398,17633096,NA
403M05795,-118.77961,34.60898,180701020602,11109525,-118.7645362,34.64165299,17569679,NA
403R4S193,-118.78927,34.41722,180701020604,11109800,-118.7520361,34.4602723,17574677,NA
403S00772,-118.9322,34.40976,180701020706,11113000,-118.9273212,34.4416618,948070356,NA
403S01272,-118.6905,34.40303,180701020403,11108000,-118.5867537,34.42610707,17574691,NA
403S01784,-118.7471,34.40228,180701020403,11108000,-118.5867537,34.42610707,17575785,NA
403S03832,-118.78471,34.40211,180701020604,11109800,-118.7520361,34.4602723,17574677,NA
403S04600,-118.7105,34.39728,180701020403,11108000,-118.5867537,34.42610707,17574717,NA
403S06904,-118.78769,34.41964,180701020604,11109800,-118.7520361,34.4602723,17574677,NA
403S11084,-118.56081,34.42487,180701020403,11108000,-118.5867537,34.42610707,17574547,NA
403S14156,-118.582,34.42523,180701020403,11108000,-118.5867537,34.42610707,17574541,NA
403S15608,-118.70052,34.4019,180701020403,11108000,-118.5867537,34.42610707,17574697,NA
403S16332,-118.75812,34.5317,180701020603,11109600,-118.7570362,34.52304728,17570169,NA
403S16493,-118.84546,34.6867,180701020508,11109375,-118.8242608,34.6660963,17569237,NA
403S16978,-118.76771,34.42319,180701020604,11109800,-118.7520361,34.4602723,17574539,NA
403S18093,-118.85658,34.69441,180701020508,11109375,-118.8242608,34.6660963,17569203,NA
