metric,status_code,status,alteration_type,median_in_iqr,comid,gage_id
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,22515822,11098000
DS_Tim,1,likely_unaltered,none_found,TRUE,22515822,11098000
DS_Mag_50,1,likely_unaltered,none_found,TRUE,22515822,11098000
DS_Mag_90,1,likely_unaltered,none_found,TRUE,22515822,11098000
FA_Dur,1,likely_unaltered,none_found,TRUE,22515822,11098000
FA_Mag,1,likely_unaltered,none_found,FALSE,22515822,11098000
FA_Tim,1,likely_unaltered,none_found,TRUE,22515822,11098000
Wet_Tim,1,likely_unaltered,none_found,TRUE,22515822,11098000
SP_ROC,1,likely_unaltered,none_found,TRUE,22515822,11098000
SP_Mag,1,likely_unaltered,none_found,TRUE,22515822,11098000
SP_Tim,1,likely_unaltered,none_found,TRUE,22515822,11098000
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,22515822,11098000
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,22515822,11098000
Wet_BFL_Mag_50,1,likely_unaltered,none_found,TRUE,22515822,11098000
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,22515822,11098000
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,22515822,11098000
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,22515822,11098000
Peak_10,1,likely_unaltered,none_found,FALSE,22515822,11098000
Peak_2,1,likely_unaltered,none_found,TRUE,22515822,11098000
Peak_5,1,likely_unaltered,none_found,TRUE,22515822,11098000
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,22515822,11098000
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,22515822,11098000
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,22515822,11098000
DS_Dur_WS,-1,likely_altered,low,FALSE,948070272,11107860
DS_Tim,0,indeterminate,unknown,TRUE,948070272,11107860
DS_Mag_50,-1,likely_altered,high,FALSE,948070272,11107860
DS_Mag_90,-1,likely_altered,high,FALSE,948070272,11107860
FA_Dur,-1,likely_altered,high,FALSE,948070272,11107860
FA_Mag,1,likely_unaltered,none_found,TRUE,948070272,11107860
FA_Tim,1,likely_unaltered,none_found,TRUE,948070272,11107860
Wet_Tim,1,likely_unaltered,none_found,FALSE,948070272,11107860
SP_ROC,-1,likely_altered,high,FALSE,948070272,11107860
SP_Mag,1,likely_unaltered,none_found,TRUE,948070272,11107860
SP_Tim,1,likely_unaltered,none_found,TRUE,948070272,11107860
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,948070272,11107860
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,948070272,11107860
Wet_BFL_Mag_50,-1,likely_altered,high,FALSE,948070272,11107860
Peak_Dur_10,NA,not_enough_data,undeterminable,NA,948070272,11107860
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,948070272,11107860
Peak_Dur_5,NA,not_enough_data,undeterminable,NA,948070272,11107860
Peak_10,1,likely_unaltered,none_found,FALSE,948070272,11107860
Peak_2,1,likely_unaltered,none_found,TRUE,948070272,11107860
Peak_5,1,likely_unaltered,none_found,FALSE,948070272,11107860
Peak_Fre_10,NA,not_enough_data,undeterminable,NA,948070272,11107860
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,948070272,11107860
Peak_Fre_5,NA,not_enough_data,undeterminable,NA,948070272,11107860
DS_Dur_WS,1,likely_unaltered,none_found,FALSE,17572225,11109395
DS_Tim,1,likely_unaltered,none_found,TRUE,17572225,11109395
DS_Mag_50,-1,likely_altered,high,FALSE,17572225,11109395
DS_Mag_90,1,likely_unaltered,none_found,FALSE,17572225,11109395
FA_Dur,1,likely_unaltered,none_found,FALSE,17572225,11109395
FA_Mag,1,likely_unaltered,none_found,TRUE,17572225,11109395
FA_Tim,1,likely_unaltered,none_found,TRUE,17572225,11109395
Wet_Tim,1,likely_unaltered,none_found,TRUE,17572225,11109395
SP_ROC,1,likely_unaltered,none_found,TRUE,17572225,11109395
SP_Mag,1,likely_unaltered,none_found,TRUE,17572225,11109395
SP_Tim,1,likely_unaltered,none_found,FALSE,17572225,11109395
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,17572225,11109395
Wet_BFL_Mag_10,1,likely_unaltered,none_found,FALSE,17572225,11109395
Wet_BFL_Mag_50,1,likely_unaltered,none_found,TRUE,17572225,11109395
Peak_Dur_10,1,likely_unaltered,none_found,FALSE,17572225,11109395
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,17572225,11109395
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,17572225,11109395
Peak_10,1,likely_unaltered,none_found,TRUE,17572225,11109395
Peak_2,1,likely_unaltered,none_found,TRUE,17572225,11109395
Peak_5,1,likely_unaltered,none_found,TRUE,17572225,11109395
Peak_Fre_10,1,likely_unaltered,none_found,FALSE,17572225,11109395
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,17572225,11109395
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,17572225,11109395
DS_Dur_WS,1,likely_unaltered,none_found,FALSE,17569679,11109550
DS_Tim,0,indeterminate,unknown,TRUE,17569679,11109550
DS_Mag_50,1,likely_unaltered,none_found,FALSE,17569679,11109550
DS_Mag_90,1,likely_unaltered,none_found,TRUE,17569679,11109550
FA_Dur,NA,not_enough_data,undeterminable,NA,17569679,11109550
FA_Mag,NA,not_enough_data,undeterminable,NA,17569679,11109550
FA_Tim,NA,not_enough_data,undeterminable,NA,17569679,11109550
Wet_Tim,1,likely_unaltered,none_found,TRUE,17569679,11109550
SP_ROC,1,likely_unaltered,none_found,TRUE,17569679,11109550
SP_Mag,-1,likely_altered,high,FALSE,17569679,11109550
SP_Tim,1,likely_unaltered,none_found,FALSE,17569679,11109550
Wet_BFL_Dur,1,likely_unaltered,none_found,FALSE,17569679,11109550
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,17569679,11109550
Wet_BFL_Mag_50,0,indeterminate,high,FALSE,17569679,11109550
Peak_Dur_10,NA,not_enough_data,undeterminable,NA,17569679,11109550
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,17569679,11109550
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,17569679,11109550
Peak_10,1,likely_unaltered,none_found,TRUE,17569679,11109550
Peak_2,1,likely_unaltered,none_found,TRUE,17569679,11109550
Peak_5,1,likely_unaltered,none_found,TRUE,17569679,11109550
Peak_Fre_10,NA,not_enough_data,undeterminable,NA,17569679,11109550
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,17569679,11109550
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,17569679,11109550
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,17567929,11111500
DS_Tim,1,likely_unaltered,none_found,TRUE,17567929,11111500
DS_Mag_50,1,likely_unaltered,none_found,TRUE,17567929,11111500
DS_Mag_90,1,likely_unaltered,none_found,TRUE,17567929,11111500
FA_Dur,1,likely_unaltered,none_found,TRUE,17567929,11111500
FA_Mag,1,likely_unaltered,none_found,FALSE,17567929,11111500
FA_Tim,1,likely_unaltered,none_found,TRUE,17567929,11111500
Wet_Tim,1,likely_unaltered,none_found,TRUE,17567929,11111500
SP_ROC,1,likely_unaltered,none_found,TRUE,17567929,11111500
SP_Mag,0,indeterminate,unknown,TRUE,17567929,11111500
SP_Tim,1,likely_unaltered,none_found,TRUE,17567929,11111500
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,17567929,11111500
Wet_BFL_Mag_10,1,likely_unaltered,none_found,FALSE,17567929,11111500
Wet_BFL_Mag_50,0,indeterminate,low,FALSE,17567929,11111500
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,17567929,11111500
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,17567929,11111500
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,17567929,11111500
Peak_10,-1,likely_altered,low,FALSE,17567929,11111500
Peak_2,-1,likely_altered,low,FALSE,17567929,11111500
Peak_5,-1,likely_altered,low,FALSE,17567929,11111500
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,17567929,11111500
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,17567929,11111500
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,17567929,11111500
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,17585758,11114495
DS_Tim,0,indeterminate,early,FALSE,17585758,11114495
DS_Mag_50,1,likely_unaltered,none_found,TRUE,17585758,11114495
DS_Mag_90,0,indeterminate,high,FALSE,17585758,11114495
FA_Dur,1,likely_unaltered,none_found,TRUE,17585758,11114495
FA_Mag,1,likely_unaltered,none_found,FALSE,17585758,11114495
FA_Tim,1,likely_unaltered,none_found,FALSE,17585758,11114495
Wet_Tim,1,likely_unaltered,none_found,TRUE,17585758,11114495
SP_ROC,1,likely_unaltered,none_found,TRUE,17585758,11114495
SP_Mag,0,indeterminate,unknown,TRUE,17585758,11114495
SP_Tim,1,likely_unaltered,none_found,FALSE,17585758,11114495
Wet_BFL_Dur,1,likely_unaltered,none_found,FALSE,17585758,11114495
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,17585758,11114495
Wet_BFL_Mag_50,1,likely_unaltered,none_found,TRUE,17585758,11114495
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,17585758,11114495
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,17585758,11114495
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,17585758,11114495
Peak_10,1,likely_unaltered,none_found,FALSE,17585758,11114495
Peak_2,1,likely_unaltered,none_found,FALSE,17585758,11114495
Peak_5,-1,likely_altered,high,FALSE,17585758,11114495
Peak_Fre_10,1,likely_unaltered,none_found,FALSE,17585758,11114495
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,17585758,11114495
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,17585758,11114495
DS_Dur_WS,-1,likely_altered,low,FALSE,17587720,11118400
DS_Tim,-1,likely_altered,late,FALSE,17587720,11118400
DS_Mag_50,1,likely_unaltered,none_found,TRUE,17587720,11118400
DS_Mag_90,1,likely_unaltered,none_found,TRUE,17587720,11118400
FA_Dur,-1,likely_altered,low,FALSE,17587720,11118400
FA_Mag,1,likely_unaltered,none_found,FALSE,17587720,11118400
FA_Tim,-1,likely_altered,early,FALSE,17587720,11118400
Wet_Tim,0,indeterminate,unknown,TRUE,17587720,11118400
SP_ROC,0,indeterminate,unknown,TRUE,17587720,11118400
SP_Mag,-1,likely_altered,low,FALSE,17587720,11118400
SP_Tim,-1,likely_altered,late,FALSE,17587720,11118400
Wet_BFL_Dur,-1,likely_altered,high,FALSE,17587720,11118400
Wet_BFL_Mag_10,1,likely_unaltered,none_found,FALSE,17587720,11118400
Wet_BFL_Mag_50,-1,likely_altered,low,FALSE,17587720,11118400
Peak_Dur_10,1,likely_unaltered,none_found,FALSE,17587720,11118400
Peak_Dur_2,-1,likely_altered,high,FALSE,17587720,11118400
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,17587720,11118400
Peak_10,-1,likely_altered,low,FALSE,17587720,11118400
Peak_2,-1,likely_altered,low,FALSE,17587720,11118400
Peak_5,-1,likely_altered,low,FALSE,17587720,11118400
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,17587720,11118400
Peak_Fre_2,-1,likely_altered,high,FALSE,17587720,11118400
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,17587720,11118400
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,17587720,11118500
DS_Tim,1,likely_unaltered,none_found,TRUE,17587720,11118500
DS_Mag_50,1,likely_unaltered,none_found,TRUE,17587720,11118500
DS_Mag_90,1,likely_unaltered,none_found,TRUE,17587720,11118500
FA_Dur,1,likely_unaltered,none_found,TRUE,17587720,11118500
FA_Mag,1,likely_unaltered,none_found,TRUE,17587720,11118500
FA_Tim,1,likely_unaltered,none_found,TRUE,17587720,11118500
Wet_Tim,1,likely_unaltered,none_found,TRUE,17587720,11118500
SP_ROC,1,likely_unaltered,none_found,TRUE,17587720,11118500
SP_Mag,0,indeterminate,unknown,TRUE,17587720,11118500
SP_Tim,0,indeterminate,late,FALSE,17587720,11118500
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,17587720,11118500
Wet_BFL_Mag_10,0,indeterminate,low,FALSE,17587720,11118500
Wet_BFL_Mag_50,0,indeterminate,unknown,TRUE,17587720,11118500
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,17587720,11118500
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,17587720,11118500
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,17587720,11118500
Peak_10,1,likely_unaltered,none_found,FALSE,17587720,11118500
Peak_2,1,likely_unaltered,none_found,TRUE,17587720,11118500
Peak_5,1,likely_unaltered,none_found,TRUE,17587720,11118500
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,17587720,11118500
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,17587720,11118500
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,17587720,11118500
