comid,gageid,refgage
10017314,09423350,Non-Ref
10017314,09423350,Ref
21439475,09424150,Non-Ref
21439475,09424150,Ref
9998136,09427520,Non-Ref
9998136,09427520,Ref
10010646,09429100,Non-Ref
10010646,09429100,Ref
945030171,09429160,Non-Ref
945030171,09429160,Ref
10010658,09429170,Non-Ref
10010658,09429170,Ref
10003808,09429180,Non-Ref
10003808,09429180,Ref
10003830,09429190,Non-Ref
10003830,09429190,Ref
10002408,09429230,Non-Ref
10002408,09429230,Ref
10005008,09429490,Non-Ref
10005008,09429490,Ref
21412675,09429600,Non-Ref
21412675,09429600,Ref
21411847,09529600,Non-Ref
21411847,09529600,Ref
21411963,09529700,Non-Ref
21411963,09529700,Ref
21412601,09529800,Non-Ref
21412601,09529800,Ref
21412059,09529900,Non-Ref
21412059,09529900,Ref
21412135,09530000,Non-Ref
21412135,09530000,Ref
20247268,10251300,Non-Ref
20247386,10251330,Non-Ref
22599679,10254050,Non-Ref
22599625,10254670,Ref
22599625,10254670,Non-Ref
22598685,10254730,Ref
22598685,10254730,Non-Ref
22603541,10254970,Ref
22603541,10254970,Non-Ref
22599619,10255550,Ref
22599619,10255550,Non-Ref
22598811,10255885,Ref
22598811,10255885,Non-Ref
22593463,10256500,Non-Ref
22593463,10256501,Non-Ref
22593463,10256550,Non-Ref
22591931,10257499,Non-Ref
22591931,10257501,Non-Ref
22591891,10257548,Non-Ref
22591891,10257549,Non-Ref
22591891,10257550,Non-Ref
22591957,10257720,Non-Ref
948100388,10259050,Non-Ref
22593529,10259100,Non-Ref
22593695,10259300,Non-Ref
22592737,10259540,Non-Ref
22658309,10260500,Non-Ref
22658543,10260550,Non-Ref
22660237,10260620,Non-Ref
22660237,10260620,Ref
22660237,10260630,Non-Ref
22660237,10260630,Ref
22660087,10260650,Non-Ref
22660087,10260650,Ref
22658611,10260700,Non-Ref
948090874,10260776,Non-Ref
948090847,10260780,Non-Ref
22660067,10260820,Non-Ref
22660067,10260822,Non-Ref
22660257,10260950,Non-Ref
22660039,10261100,Non-Ref
948090919,10261500,Non-Ref
948090919,10261500,Ref
948090834,10262000,Non-Ref
948090834,10262000,Ref
22656105,10262500,Non-Ref
22656105,10262500,Ref
948091323,10263000,Non-Ref
948091323,10263000,Ref
20273931,10265150,Non-Ref
20273931,10265150,Ref
20278001,10270680,Non-Ref
20277159,10270800,Non-Ref
20277797,10270830,Non-Ref
20277013,10270872,Non-Ref
20277941,10270877,Non-Ref
20277787,10270900,Non-Ref
20277787,10270900,Ref
20277761,10271060,Non-Ref
20277761,10271200,Non-Ref
20277761,10271210,Non-Ref
20286400,10287069,Non-Ref
20286400,10287070,Non-Ref
20286396,10287145,Non-Ref
20286396,10287145,Ref
20286396,10287195,Non-Ref
20286396,10287195,Ref
20287684,10287281,Non-Ref
20287432,10287289,Non-Ref
20287432,10287290,Non-Ref
20287600,10287300,Non-Ref
20287270,10287655,Non-Ref
20287584,10287762,Non-Ref
20287584,10287770,Non-Ref
8915935,10290500,Non-Ref
8915935,10290500,Ref
8915857,10293000,Non-Ref
8915857,10293000,Ref
10744424,10296000,Non-Ref
10744424,10296000,Ref
946050152,10296500,Non-Ref
946050152,10296500,Ref
8922761,103087885,Non-Ref
8922761,103087885,Ref
8922717,103087889,Non-Ref
8922717,103087889,Ref
8922743,103087891,Non-Ref
8922743,103087891,Ref
8922727,103087892,Non-Ref
8922727,103087892,Ref
8922717,10308789,Non-Ref
8922717,10308789,Ref
8922665,10308792,Non-Ref
8922665,10308792,Ref
8922665,10308794,Non-Ref
8922665,10308794,Ref
8922335,10310300,Non-Ref
8922335,10310300,Ref
8943677,103366092,Non-Ref
8943677,103366092,Ref
8944439,10336610,Non-Ref
8944439,10336610,Ref
8943577,10336626,Non-Ref
8943577,10336626,Ref
8941685,10336674,Non-Ref
8941685,10336674,Ref
8944479,10336775,Non-Ref
8944479,10336775,Ref
8934074,10337500,Non-Ref
8934074,10337500,Ref
8933958,10338000,Non-Ref
8933958,10338000,Ref
8933876,10338500,Non-Ref
8933876,10338500,Ref
8933890,10338700,Non-Ref
8933890,10338700,Ref
8933376,10343000,Non-Ref
8933376,10343000,Ref
8933494,10344400,Non-Ref
8933494,10344400,Ref
8933684,10344500,Non-Ref
8933684,10344500,Ref
8933706,10344505,Non-Ref
8933706,10344505,Ref
8933532,10346000,Non-Ref
8933532,10346000,Ref
20296767,10356500,Non-Ref
20296737,10358500,Non-Ref
20326433,11012000,Non-Ref
20326431,11012500,Ref
20326431,11012500,Non-Ref
20326435,11013000,Ref
20326435,11013000,Non-Ref
20334508,11014000,Non-Ref
20334440,11015000,Non-Ref
948070230,11016200,Non-Ref
20332986,11022200,Non-Ref
20331402,11022480,Non-Ref
20331516,11023000,Non-Ref
20331178,11023330,Non-Ref
20331196,11023340,Non-Ref
20330878,11025500,Non-Ref
20330872,11027000,Non-Ref
20330908,11028500,Non-Ref
20342539,11042000,Non-Ref
22549471,11042400,Non-Ref
22549093,11042631,Non-Ref
22545337,11042700,Non-Ref
22547091,11042800,Non-Ref
948070502,11042900,Non-Ref
948070502,11042900,Ref
22549073,11043000,Non-Ref
22549075,11044000,Non-Ref
22548475,11044250,Non-Ref
22548457,11044300,Non-Ref
22548429,11044350,Non-Ref
22548441,11044800,Non-Ref
22549115,11045300,Non-Ref
22548547,11045600,Non-Ref
22549117,11045700,Non-Ref
22548559,11046000,Non-Ref
20351081,11046090,Non-Ref
20351631,11046100,Non-Ref
20351625,11046250,Non-Ref
20350869,11046360,Non-Ref
20348919,11046530,Non-Ref
20350681,11047300,Non-Ref
20355400,11048200,Non-Ref
20355400,11048200,Ref
20357218,11048400,Non-Ref
20357218,11048400,Ref
20355520,11048600,Non-Ref
22555498,11049250,Non-Ref
22558244,11049500,Non-Ref
22558244,11049590,Non-Ref
22558244,11051499,Non-Ref
22558244,11051500,Non-Ref
22558244,11051501,Non-Ref
22558244,11051502,Non-Ref
22556090,11053000,Non-Ref
22555914,11055350,Non-Ref
22555914,11055350,Ref
22555860,11055400,Non-Ref
22555860,11055500,Non-Ref
22555860,11055501,Non-Ref
22555756,11055700,Non-Ref
22555756,11055800,Non-Ref
22555756,11055801,Non-Ref
22557960,11057500,Non-Ref
22555146,11058500,Non-Ref
24843752,11059300,Non-Ref
22557922,11060400,Non-Ref
24843814,11060900,Non-Ref
24843814,11061000,Non-Ref
22554826,11062000,Non-Ref
22554826,11062001,Non-Ref
24843814,11062300,Non-Ref
24843814,11062399,Non-Ref
24843814,11062400,Non-Ref
24843814,11062402,Non-Ref
24843814,11062450,Non-Ref
22555654,11062700,Non-Ref
22555654,11062800,Non-Ref
22555654,11062820,Non-Ref
22557742,11063500,Non-Ref
22557744,11063510,Non-Ref
22554872,11063680,Non-Ref
22558116,11063682,Non-Ref
22557922,11065000,Non-Ref
22563032,11066460,Non-Ref
22535256,11069500,Non-Ref
22535256,11069501,Non-Ref
22536218,11070020,Non-Ref
22534640,11070210,Non-Ref
22534638,11070270,Non-Ref
22532938,11070365,Non-Ref
22532978,11070465,Non-Ref
22534666,11070500,Non-Ref
22560716,11072100,Non-Ref
22557914,11073300,Non-Ref
22556372,11073360,Non-Ref
22556262,11073493,Non-Ref
22556262,11073493,Ref
22563070,11073495,Non-Ref
22563116,11074000,Non-Ref
22527369,11075720,Non-Ref
22563272,11075800,Non-Ref
22563210,11077500,Non-Ref
22563212,11078000,Non-Ref
22524845,11085000,Non-Ref
22521721,11087020,Non-Ref
22527375,11088500,Non-Ref
22527373,11089500,Non-Ref
22515812,11092450,Non-Ref
22515762,11097000,Non-Ref
22515826,11101250,Non-Ref
22515830,11102300,Non-Ref
17562626,11106550,Non-Ref
17572447,11108134,Non-Ref
17574705,11108500,Non-Ref
17575785,11109000,Non-Ref
17569367,11109375,Non-Ref
17572225,11109395,Non-Ref
17176094,11109396,Non-Ref
17569497,11109525,Non-Ref
17572335,11109600,Non-Ref
17575859,11109800,Non-Ref
17574345,11113001,Non-Ref
17573647,11113500,Non-Ref
17573685,11114000,Non-Ref
17585808,11114495,Non-Ref
17587720,11118400,Non-Ref
948070372,11118500,Non-Ref
948070372,11118501,Non-Ref
17596159,11119500,Non-Ref
17595453,11119745,Non-Ref
17595453,11119750,Non-Ref
17596153,11119780,Non-Ref
17596111,11119940,Non-Ref
17595429,11120000,Non-Ref
17612503,11121000,Non-Ref
17612503,11121010,Non-Ref
17610919,11121900,Non-Ref
17610919,11122010,Non-Ref
17610919,11123000,Non-Ref
17611449,11123500,Non-Ref
17607945,11128250,Non-Ref
17609015,11128500,Non-Ref
17607773,11129800,Non-Ref
948060325,11133000,Non-Ref
17608959,11134000,Non-Ref
17620166,11135800,Non-Ref
17620568,11136100,Non-Ref
17636636,11136600,Non-Ref
17632490,11136800,Non-Ref
17632398,11137900,Non-Ref
17625349,11140000,Non-Ref
17625465,11140585,Non-Ref
17624441,11141050,Non-Ref
17600477,11143200,Non-Ref
17599295,11143250,Non-Ref
8212151,11147070,Non-Ref
8212843,11147500,Non-Ref
17647991,11148500,Non-Ref
8212787,11149400,Non-Ref
8210533,11149900,Non-Ref
8211251,11150500,Non-Ref
948060170,11151700,Non-Ref
8205291,11152000,Non-Ref
