StationCode,lat,lon
000CAT148,39.07525,-119.89953
000CAT228,39.07317,-119.92006
103CDCHHR,41.78887,-124.07766
103FC1106,41.93373,-124.1084
103KLCMSR,41.85532,-123.85239
103PS0217,41.68708,-124.08349
105BVCAGC,41.61201,-123.29221
105CLCATC,41.7349,-123.54822
105CR0901,41.3226,-123.5227
105CR0913,41.844,-122.8934
105DLCDCC,41.57269,-123.54353
105FLH087,41.8124,-120.79008
105PS0149,41.241,-123.65545
105PS0211,41.42697,-122.9217
105PS0231,41.60865,-122.45671
105PS1148,41.8659,-122.4641
105PS1404,41.92433,-122.38887
105SED077,41.62417,-122.06463
105TMCACC,41.73691,-123.54855
106FC1183,40.63704,-122.7465
106FC1313,40.87032,-122.80039
106HLCACC,41.01605,-123.59623
106MNCAHC,40.638,-123.321
106PS0186,40.3062,-123.1213
106PTCAHC,40.49615,-123.03502
106WER062,41.13472,-122.80333
107GWCAPC,41.36788,-124.02434
107LLM101,41.32697,-124.02387
108PS0197,41.176,-124.0853
111CBCAER,39.52904,-122.84832
111ERATRC,39.5525,-122.8613
111FC1098,39.75738,-123.72484
111PS0178,40.67994,-123.95064
111PS0237,40.33346,-123.46499
111TGCAER,39.39523,-122.86543
111WE0813,39.95969,-123.43736
113MLCTMR,39.54722,-123.72528
113PS0076,38.9363,-123.5005
113PS0196,39.5439,-123.6553
113PS0216,38.51536,-123.24221
113PS0232,38.66785,-123.30996
113PS0268,39.15598,-123.4593
113RG8046,38.47575,-123.15189
114AU7778,38.58703,-123.11811
114CR0903,38.81627,-123.01119
114DCURxx,38.95381,-123.14825
114DLCMRx,39.12817,-123.22369
114EACR6x,38.5923,-123.0627
114FCASCx,38.82916,-122.91117
114FCR2xx,38.58139,-122.88258
114FCR3xx,38.581,-122.88276
114FCR4xx,38.58085,-122.88326
114GCR2xx,39.37343,-120.02822
114JVCLRx,38.40108,-122.86244
114MA2364,38.63048,-122.76788
114MCR1xx,38.58492,-122.87572
114MCR2xx,38.584,-122.88736
114MCR3xx,38.59473,-122.91599
114MCR8xx,38.59434,-122.91674
114MRCMRx,39.06608,-123.12056
114PS0149,38.43414,-122.67608
114PS0229,38.61538,-122.78391
114WLCR1x,38.59883,-122.91925
115SALG01,38.34327,-122.95891
201AHO350,37.94495,-122.74306
201AUD020,37.93081,-122.68037
201CHE300,38.03977,-122.74191
201EAS020,37.89844,-122.64174
201EAS050,37.90023,-122.63733
201HAL100,38.07074,-122.68896
201LAG050,38.04181,-122.78969
201LAG140,38.07034,-122.77051
201LAG150,38.06669,-122.70264
201LAG160,38.06156,-122.69958
201LAG175,38.04473,-122.750729
201LAG280,38.013003,-122.660755
201LAG300,38.01275,-122.64689
201LAG330,37.99194,-122.66972
201LAGCPT,38.01923,-122.729
201PNG010,37.91971,-122.69181
201PNG050,37.95451,-122.718
201RDW040,37.86306,-122.57202
201ROD040,37.83904,-122.51644
201ROD050,37.83291,-122.51613
201TVY030,37.84857,-122.54224
201WLK030,38.24111,-122.90431
201WLK050,38.24353,-122.89806
201WLK098,38.215233,-122.864597
201WLK100,38.2145,-122.85794
201WLK120,38.20764,-122.79456
201WLK130,38.20639,-122.76975
201WLK150,38.184404,-122.838774
201WLK170,38.16445,-122.81136
201WLK178,38.163658,-122.783144
201WLK230,38.14342,-122.72472
201WLK240,38.13589,-122.70914
202BUT010,37.25003,-122.39553
202BUT480,37.21363,-122.31411
202BUT600,37.2159,-122.30727
202BUT850,37.22664,-122.2412
202DRY010,37.35917,-122.39124
202LAH950,37.38878,-122.28429
202MIC150,37.45232,-122.39242
202PES080,37.252,-122.3698
202PES168,37.26166,-122.24082
202PS0134,37.46526,-122.42819
202PS0246,37.46248,-122.3746
202SGR110,37.34591,-122.27425
202TUN600,37.39083,-122.36826
203BAX030,37.91828,-122.32587
203BAX050,37.93151,-122.32097
203CER020,37.89821,-122.3039
203COD020,37.88188,-122.30692
203COD080,37.88242,-122.28475
203COD120,37.88437,-122.26879
203LOB020,37.78827,-122.48393
203STW010,37.8679,-122.2869
203STW030,37.87051,-122.26495
203TEM060,37.84671,-122.24824
203TEM090,37.84359,-122.22686
204ALA525,37.49664,-121.76043
204ALP100,37.70739,-121.75325
204ALP110,37.70528,-121.75417
204ALP140,37.72175,-121.69658
204AMO070,37.67672,-121.81452
204AMO100,37.66747,-121.75031
204AMO160,37.62683,-121.70485
204AMO180,37.60316,-121.66948
204AMO200,37.48213,-121.5324
204ARH090,37.45116,-121.75463
204AVJ130,37.75314,-122.14926
204IND200,37.56223,-121.7982
204INDSAR,37.56394,-121.7993
204ISL050,37.74169,-122.44293
204LACSAC,37.56583,-121.78083
204LIO080,37.78223,-122.18021
204LIO130,37.79185,-122.17948
204LME100,37.81726,-122.26107
204PRL020,37.7781,-122.21812
204PRL080,37.80263,-122.19499
204PS0294,37.68094,-122.14463
204SIN300,37.64035,-121.92492
204SLE030,37.72556,-122.18361
204SLE165,37.79072,-122.08718
204SLE170,37.80028,-122.14472
204SLE180,37.80111,-122.14472
204SLE220,37.81833,-122.14583
204SMA020,37.57028,-122.31861
204SMA110,37.53233,-122.35088
204SMA120,37.53258,-122.35121
204SMA180,37.4878,-122.34309
204SMC600,37.32471,-121.67017
204VAL400,37.47092,-121.66639
205AAG075,37.39043,-121.78352
205AAG375,37.36018,-121.73719
205AAG400,37.37189,-121.73289
205COY585,37.09003,-121.46985
205COY610,37.1177,-121.48111
205COY615,37.12125,-121.48027
205COY850,37.18217,-121.5066
205COY853,37.17774,-121.49712
205COY900,37.17551,-121.47741
205COY930,37.18975,-121.46888
