StationCode,SampleID,latitude,longitude,YYYY,MM,DD
000CAT148,000CAT148_10082010_BMI_RWB_1,39.07525,-119.89953,2010,10,8
000CAT228,000CAT228_10082010_BMI_RWB_1,39.07317,-119.92006,2010,10,8
101WE1111,101WE1111_06082002_BMI_RWB_1,41.99178,-124.18097,2002,6,8
101WE1111,101WE1111_06082002_BMI_TRC_1,41.99178,-124.18097,2002,6,8
102PS0139,102PS0139_09082010_BMI_RWB_1,41.99596,-122.95979,2010,9,8
102PS0177,102PS0177_08282012_BMI_RWB_1,41.92939,-123.57254,2012,8,28
102PS0177,102PS0177_08282012_BMI_RWB_2,41.92939,-123.57254,2012,8,28
103CDCHHR,103CDCHHR_09142010_BMI_RWB_1,41.78887,-124.07766,2010,9,14
103CDCHHR,103CDCHHR_09142010_BMI_RWB_2,41.78887,-124.07766,2010,9,14
103FC1106,103FC1106_07152014_BMI_RWB_1,41.93373,-124.1084,2014,7,15
103FCA168,103FCA168_08182009_BMI_RWB_1,41.65021,-124.09143,2009,8,18
103FCA168,103FCA168_07242013_BMI_RWB_1,41.65021,-124.09143,2013,7,24
103KLCMSR,103KLCMSR_09142010_BMI_RWB_1,41.85532,-123.85239,2010,9,14
103PS0217,103PS0217_10092013_BMI_RWB_1,41.68708,-124.08349,2013,10,9
103RDCBCC,103RDCBCC_07212011_BMI_RWB_1,41.9548,-124.06245,2011,7,21
103STCNSR,103STCNSR_09082011_BMI_RWB_1,41.8621,-123.96064,2011,9,8
103WE0585,103WE0585_09152000_BMI_RWB_1,41.85242,-123.89641,2000,9,15
103WE0817,103WE0817_03082004_BMI_RWB_1,41.82633,-124.11418,2004,3,8
103WE0817,103WE0817_06142001_BMI_RWB_1,41.82633,-124.11418,2001,6,14
103WE0817,103WE0817_05192004_BMI_RWB_1,41.82633,-124.11418,2004,5,19
103WE0817,103WE0817_07222003_BMI_RWB_1,41.82633,-124.11418,2003,7,22
103WE0817,103WE0817_07312003_BMI_RWB_1,41.82633,-124.11418,2003,7,31
103WE1072,103WE1072_07232003_BMI_RWB_1,41.84402,-124.00182,2003,7,23
103WE1072,103WE1072_05242002_BMI_RWB_1,41.84402,-124.00182,2002,5,24
103WER026,103WER026_08152012_BMI_RWB_1,41.84611,-124.0275,2012,8,15
103WER026,103WER026_08152012_BMI_RWB_2,41.84611,-124.0275,2012,8,15
103WER026,103WER026_07292003_BMI_RWB_1,41.84611,-124.0275,2003,7,29
103WER026,103WER026_07292003_BMI_TRC_1,41.84611,-124.0275,2003,7,29
103WER029,103WER029_06132016_BMI_RWB_1,41.80827,-124.11215,2016,6,13
103WER029,103WER029_07162014_BMI_RWB_1,41.80827,-124.11215,2014,7,16
103WER029,103WER029_06202017_BMI_RWB_1,41.80827,-124.11215,2017,6,20
103WER029,103WER029_07212015_BMI_RWB_1,41.80827,-124.11215,2015,7,21
103WER029,103WER029_07302003_BMI_RWB_1,41.80827,-124.11215,2003,7,30
103WER029,103WER029_07302003_BMI_TRC_1,41.80827,-124.11215,2003,7,30
103WER030,103WER030_10082011_BMI_RWB_1,41.85675,-123.91167,2011,10,8
103WER030,103WER030_07312003_BMI_RWB_1,41.85675,-123.91167,2003,7,31
103WER030,103WER030_07312003_BMI_TRC_1,41.85675,-123.91167,2003,7,31
105BVCAGC,105BVCAGC_09212010_BMI_RWB_1,41.61201,-123.29221,2010,9,21
105CE0029,105CE0029_08172004_BMI_RWB_1,41.66083,-122.49833,2004,8,17
105CE0073,105CE0073_07132004_BMI_RWB_1,41.42694,-122.39555,2004,7,13
105CE0073,105CE0073_07132004_BMI_TRC_1,41.42694,-122.39555,2004,7,13
105CE0141,105CE0141_12072005_BMI_RWB_1,41.89194,-122.48694,2005,12,7
105CE0141,105CE0141_12072005_BMI_TRC_1,41.89194,-122.48694,2005,12,7
105CE0149,105CE0149_09272005_BMI_RWB_1,41.48333,-123.74194,2005,9,27
105CE0149,105CE0149_09272005_BMI_TRC_1,41.48333,-123.74194,2005,9,27
105CE0173,105CE0173_12072005_BMI_RWB_1,41.73972,-122.62972,2005,12,7
105CE0173,105CE0173_12072005_BMI_TRC_1,41.73972,-122.62972,2005,12,7
105CE0205,105CE0205_06192006_BMI_RWB_1,41.70111,-122.6425,2006,6,19
105CE0205,105CE0205_06192006_BMI_TRC_1,41.70111,-122.6425,2006,6,19
105CE0269,105CE0269_06092006_BMI_RWB_1,41.78232,-122.47448,2006,6,9
105CE0329,105CE0329_07172007_BMI_RWB_1,41.3075,-123.03361,2007,7,17
105CE0329,105CE0329_07172007_BMI_TRC_1,41.3075,-123.03361,2007,7,17
105CE0329,105CE0329_07232014_BMI_RWB_1,41.3075,-123.03361,2014,7,23
105CE0381,105CE0381_07162007_BMI_RWB_1,41.71694,-122.35111,2007,7,16
105CE0381,105CE0381_07162007_BMI_TRC_1,41.71694,-122.35111,2007,7,16
105CE0489,105CE0489_07132005_BMI_RWB_1,41.47694,-122.84972,2005,7,13
105CE0489,105CE0489_07132005_BMI_TRC_1,41.47694,-122.84972,2005,7,13
105CE0525,105CE0525_08092005_BMI_RWB_1,41.73671,-122.55309,2005,8,9
105CE0525,105CE0525_08092005_BMI_TRC_1,41.73671,-122.55309,2005,8,9
105CE0557,105CE0557_07092005_BMI_RWB_1,41.53945,-122.84279,2005,7,9
105CE0557,105CE0557_07092005_BMI_TRC_1,41.53945,-122.84279,2005,7,9
105CE0685,105CE0685_07182007_BMI_RWB_1,41.77138,-122.605,2007,7,18
105CE0685,105CE0685_07182007_BMI_TRC_1,41.77138,-122.605,2007,7,18
105CE0765,105CE0765_12072004_BMI_RWB_1,41.46138,-122.43888,2004,12,7
105CE0765,105CE0765_12072004_BMI_TRC_1,41.46138,-122.43888,2004,12,7
105CLCATC,105CLCATC_10082010_BMI_RWB_1,41.7349,-123.54822,2010,10,8
105CR0901,105CR0901_11082014_BMI_RWB_1,41.3226,-123.5227,2014,11,8
105CR0901,105CR0901_07232014_BMI_RWB_1,41.3226,-123.5227,2014,7,23
105CR0913,105CR0913_12082014_BMI_RWB_1,41.844,-122.8934,2014,12,8
105DLCDCC,105DLCDCC_05082009_BMI_RWB_1,41.57269,-123.54353,2009,5,8
