metric,status_code,status,alteration_type,median_in_iqr,comid,gageid
DS_Dur_WS,1,likely_unaltered,none_found,FALSE,10017314,09423350
DS_Tim,1,likely_unaltered,none_found,TRUE,10017314,09423350
DS_Mag_50,-1,likely_altered,low,FALSE,10017314,09423350
DS_Mag_90,-1,likely_altered,low,FALSE,10017314,09423350
FA_Mag,1,likely_unaltered,none_found,TRUE,10017314,09423350
FA_Tim,1,likely_unaltered,none_found,TRUE,10017314,09423350
SP_Dur,1,likely_unaltered,none_found,TRUE,10017314,09423350
SP_Mag,1,likely_unaltered,none_found,TRUE,10017314,09423350
SP_Tim,1,likely_unaltered,none_found,TRUE,10017314,09423350
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,10017314,09423350
Wet_BFL_Mag_10,-1,likely_altered,low,FALSE,10017314,09423350
Wet_BFL_Mag_50,1,likely_unaltered,none_found,FALSE,10017314,09423350
Wet_Tim,1,likely_unaltered,none_found,TRUE,10017314,09423350
Peak_10,1,likely_unaltered,none_found,FALSE,10017314,09423350
Peak_2,1,likely_unaltered,none_found,TRUE,10017314,09423350
Peak_5,1,likely_unaltered,none_found,TRUE,10017314,09423350
DS_Dur_WS,1,likely_unaltered,none_found,FALSE,21439475,09424150
DS_Tim,0,indeterminate,late,FALSE,21439475,09424150
DS_Mag_50,1,likely_unaltered,none_found,FALSE,21439475,09424150
DS_Mag_90,-1,likely_altered,low,FALSE,21439475,09424150
FA_Mag,-1,likely_altered,low,FALSE,21439475,09424150
FA_Tim,1,likely_unaltered,none_found,TRUE,21439475,09424150
SP_Dur,0,indeterminate,unknown,TRUE,21439475,09424150
SP_Mag,-1,likely_altered,low,FALSE,21439475,09424150
SP_Tim,1,likely_unaltered,none_found,FALSE,21439475,09424150
Wet_BFL_Dur,-1,likely_altered,high,FALSE,21439475,09424150
Wet_BFL_Mag_10,-1,likely_altered,low,FALSE,21439475,09424150
Wet_BFL_Mag_50,-1,likely_altered,low,FALSE,21439475,09424150
Wet_Tim,1,likely_unaltered,none_found,FALSE,21439475,09424150
Peak_10,-1,likely_altered,low,FALSE,21439475,09424150
Peak_2,-1,likely_altered,low,FALSE,21439475,09424150
Peak_5,-1,likely_altered,low,FALSE,21439475,09424150
DS_Dur_WS,1,likely_unaltered,none_found,FALSE,9998136,09427520
DS_Tim,-1,likely_altered,late,FALSE,9998136,09427520
DS_Mag_50,1,likely_unaltered,none_found,TRUE,9998136,09427520
DS_Mag_90,1,likely_unaltered,none_found,TRUE,9998136,09427520
FA_Mag,1,likely_unaltered,none_found,FALSE,9998136,09427520
FA_Tim,1,likely_unaltered,none_found,TRUE,9998136,09427520
SP_Dur,1,likely_unaltered,none_found,TRUE,9998136,09427520
SP_Mag,-1,likely_altered,low,FALSE,9998136,09427520
SP_Tim,1,likely_unaltered,none_found,FALSE,9998136,09427520
Wet_BFL_Dur,-1,likely_altered,high,FALSE,9998136,09427520
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,9998136,09427520
Wet_BFL_Mag_50,1,likely_unaltered,none_found,TRUE,9998136,09427520
Wet_Tim,1,likely_unaltered,none_found,TRUE,9998136,09427520
Peak_10,-1,likely_altered,low,FALSE,9998136,09427520
Peak_2,-1,likely_altered,low,FALSE,9998136,09427520
Peak_5,-1,likely_altered,low,FALSE,9998136,09427520
DS_Dur_WS,1,likely_unaltered,none_found,FALSE,10010646,09429100
