agency_cd,site_id,station_nm,site_tp_cd,lat,lon,coord_acy_cd,datum,elev_m,alt_acy_va,alt_datum_cd,huc8,interval,parm_cd,stat_cd,ts_id,date_begin,date_end,count_nu,geometry,total_yrs,total_post1980
USGS,09423350,CARUTHERS C NR IVANPAH CA,ST,35.24498915,-115.2988759,F,NAD83, 5640, 20,NGVD29,15030102,dv,00060,00003,7194,1963-10-01,2020-11-17,20656,"c(-115.2988759, 35.24498915)",57,40
USGS,09424150,"COLORADO RIVER AQUEDUCT NEAR PARKER DAM, AZ-CA",ST,34.31612564,-114.1571702,T,NAD83, 452,4.3,NAVD88,15030101,dv,00060,00003,217314,1981-10-01,2020-10-31,14276,"c(-114.1571702, 34.31612564)",39,40
USGS,09427520,"COLORADO RIVER BELOW PARKER DAM, AZ-CA",ST,34.29557035,-114.140225,T,NAD83, 300.54, 20,NGVD29,15030104,dv,00060,00003,5403,1934-11-16,2020-11-17,31372,"c(-114.140225, 34.29557035)",86,40
USGS,09429010,"COLORADO RIVER AT PALO VERDE DAM, CA-AZ",ST,33.7319659,-114.5118999,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5416,1969-04-01,1991-07-09,7776,"c(-114.5118999, 33.7319659)",22,11
USGS,09429100,"COLORADO RIVER BELOW PALO VERDE DAM, AZ-CA",ST,33.71946626,-114.4980105,T,NAD83, 260.,4.3,NAVD88,15030104,dv,00060,00003,5420,1956-03-24,2020-11-17,16514,"c(-114.4980105, 33.71946626)",64,40
USGS,09429160,"PVID D-10-11-2 SPILL NR BLYTHE, CA",ST,33.53502644,-114.5605103,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5423,1979-10-01,2020-10-31,14642,"c(-114.5605103, 33.53502644)",41,40
USGS,09429170,"PVID D-10-11-5 SPILL NR BLYTHE, CA",ST,33.50919375,-114.5774549,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5424,1979-10-01,2020-10-31,14642,"c(-114.5774549, 33.50919375)",41,40
USGS,09429180,"PVID D23 SPILL NEAR BLYTHE, CA",ST,33.4916942,-114.6035666,T,NAD83, 230, 20,NAVD88,15030104,dv,00060,00003,5425,1968-01-01,2020-11-17,18950,"c(-114.6035666, 33.4916942)",52,40
USGS,09429190,"P.V.I.D. D-23-1 NEAR BLYTHE, CA",ST,33.43391809,-114.6294005,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5426,1979-10-01,2020-10-31,14642,"c(-114.6294005, 33.43391809)",41,40
USGS,09429210,"P.V.I.D. C-28 UPPER SPILL NEAR BLYTHE, CA",ST,33.39697468,-114.72357,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5428,1979-10-01,2017-05-31,13393,"c(-114.72357, 33.39697468)",38,37
USGS,09429230,"PVID C28 LOWER SPILL NEAR BLYTHE, CA.",ST,33.3511427,-114.7141253,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5431,1967-08-01,2020-10-31,19086,"c(-114.7141253, 33.3511427)",53,40
USGS,09429490,"COLORADO RIVER ABOVE IMPERIAL DAM, AZ-CA",ST,32.8849361,-114.468111,5,NAD83,NA,NA,NA,15030104,dv,00060,00003,213326,1976-10-01,2020-11-17,16119,"c(-114.468111, 32.8849361)",44,40
USGS,09429500,"COLORADO RIVER BELOW IMPERIAL DAM, AZ-CA",ST,32.86758333,-114.472111,T,NAD83, 130.,  1,NGVD29,15030107,dv,00060,00003,213060,1960-10-01,2018-11-30,21245,"c(-114.472111, 32.86758333)",58,38
USGS,09429600,"COLORADO RIVER BELOW LAGUNA DAM, AZ-CA",ST,32.8122666,-114.5149494,T,NAD83, 120.81, 20,NGVD29,15030107,dv,00060,00003,5438,1971-12-16,2020-11-17,17870,"c(-114.5149494, 32.8122666)",49,40
USGS,09521100,"COLORADO R BLW YUMA MAIN CANAL WW AT YUMA, AZ",ST,32.73171354,-114.6327306,T,NAD83, 101.99, 20,NGVD29,15030107,dv,00060,00003,5814,1963-10-01,2020-11-17,20868,"c(-114.6327306, 32.73171354)",57,40
USGS,09527000,"PILOT KNOB POWERPLANT AND WASTEWAY NR P.K., CA",ST,32.737547,-114.7163443,T,NAD83, 150., 20,NGVD29,15030107,dv,00060,00003,5858,1939-04-26,2020-09-30,28648,"c(-114.7163443, 32.737547)",81,40
USGS,09527594,"COACHELLA CANAL NEAR NILAND, CA",ST,33.2562222,-115.4511667,5,NAD83, 91., 4.,NAVD88,18100204,dv,00060,00003,5861,2009-10-17,2020-11-17,4050,"c(-115.4511667, 33.2562222)",11,40
USGS,09527597,"COACHELLA CANAL NEAR DESERT BEACH, CA",ST,33.53808109,-115.9186083,S,NAD83, 70,  5,NGVD29,18100204,dv,00060,00003,5862,2009-10-24,2020-11-17,4043,"c(-115.9186083, 33.53808109)",11,40
USGS,09529600,"RESERVATION DRAIN NO. 7 NR BARD, CA",ST,32.81559999,-114.5477283,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5891,1979-10-01,2017-09-30,13394,"c(-114.5477283, 32.81559999)",38,37
USGS,09529700,"RESERVATION DRAIN NO. 6 NR. BARD, CA",ST,32.80421147,-114.5763403,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5892,1979-10-01,2017-09-30,13394,"c(-114.5763403, 32.80421147)",38,37
USGS,09529800,"RESERVATION DRAIN NO. 2 NR BARD, CA",ST,32.79643395,-114.5985632,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5893,1979-10-01,2017-09-30,13394,"c(-114.5985632, 32.79643395)",38,37
USGS,09529900,"RESERVATION DRAIN NO. 3 NR BARD, CA",ST,32.7747679,-114.6335642,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5894,1979-10-01,2017-09-30,13394,"c(-114.6335642, 32.7747679)",38,37
USGS,09530000,"RESERVATION MAIN DRAIN NO. 4 NEAR YUMA, AZ",ST,32.73726888,-114.621897,T,NAD83, 127.,2.5,NGVD29,15030107,dv,00060,00003,5895,1966-10-01,2020-11-17,19407,"c(-114.621897, 32.73726888)",54,40
