agency_cd,site_id,station_nm,site_tp_cd,lat,lon,coord_acy_cd,datum,elev_m,alt_acy_va,alt_datum_cd,huc8,interval,parm_cd,stat_cd,ts_id,date_begin,date_end,count_nu,geometry,total_yrs,total_post1980
USGS,09423350,CARUTHERS C NR IVANPAH CA,ST,35.24498915,-115.2988759,F,NAD83, 5640, 20,NGVD29,15030102,dv,00060,00003,7194,1963-10-01,2020-11-17,20656,"c(-115.2988759, 35.24498915)",57,40
USGS,09424050,CHEMEHUEVI WASH TRIB NR NEEDLES CA,ST,34.5083432,-114.6035739,F,NAD83, 1600, 20,NGVD29,15030101,dv,00060,00003,7195,1959-12-01,1968-09-29,2129,"c(-114.6035739, 34.5083432)",9,-12
USGS,09424150,"COLORADO RIVER AQUEDUCT NEAR PARKER DAM, AZ-CA",ST,34.31612564,-114.1571702,T,NAD83, 452,4.3,NAVD88,15030101,dv,00060,00003,217314,1981-10-01,2020-10-31,14276,"c(-114.1571702, 34.31612564)",39,40
USGS,09424170,GENE WASH BL GENE WASH RES N PARKER DAM AZ-CAL,ST,34.30001466,-114.1632813,T,NAD83,NA,NA,NA,15030101,dv,00060,00003,5388,1965-10-01,1973-09-29,2921,"c(-114.1632813, 34.30001466)",8,-7
USGS,09427520,"COLORADO RIVER BELOW PARKER DAM, AZ-CA",ST,34.29557035,-114.140225,T,NAD83, 300.54, 20,NGVD29,15030104,dv,00060,00003,5403,1934-11-16,2020-11-17,31372,"c(-114.140225, 34.29557035)",86,40
USGS,09427600,DESILT WASH NEAR PARKER DAM-ARIZ.-CALIF,ST,34.2916814,-114.1577255,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5404,1965-10-01,1973-11-12,2876,"c(-114.1577255, 34.2916814)",8,-7
USGS,09427800,"EUREKA WASH NEAR PARKER DAM, AZ-CA",ST,34.27918159,-114.1480029,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5405,1965-10-01,1973-09-29,2886,"c(-114.1480029, 34.27918159)",8,-7
USGS,09428200,"COPPER BASIN WASH BELOW COPPER BASIN RESERVOIR,",ST,34.25418165,-114.1980043,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5406,1965-10-01,1973-11-12,2965,"c(-114.1980043, 34.25418165)",8,-7
USGS,09428530,ARCH C NR EARP CA,ST,34.1652933,-114.3730098,F,NAD83, 600, 20,NGVD29,15030104,dv,00060,00003,7196,1960-10-01,1971-09-29,4016,"c(-114.3730098, 34.1652933)",11,-9
USGS,09429010,"COLORADO RIVER AT PALO VERDE DAM, CA-AZ",ST,33.7319659,-114.5118999,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5416,1969-04-01,1991-07-09,7776,"c(-114.5118999, 33.7319659)",22,11
USGS,09429100,"COLORADO RIVER BELOW PALO VERDE DAM, AZ-CA",ST,33.71946626,-114.4980105,T,NAD83, 260.,4.3,NAVD88,15030104,dv,00060,00003,5420,1956-03-24,2020-11-17,16514,"c(-114.4980105, 33.71946626)",64,40
USGS,09429160,"PVID D-10-11-2 SPILL NR BLYTHE, CA",ST,33.53502644,-114.5605103,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5423,1979-10-01,2020-10-31,14642,"c(-114.5605103, 33.53502644)",41,40
USGS,09429170,"PVID D-10-11-5 SPILL NR BLYTHE, CA",ST,33.50919375,-114.5774549,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5424,1979-10-01,2020-10-31,14642,"c(-114.5774549, 33.50919375)",41,40
USGS,09429180,"PVID D23 SPILL NEAR BLYTHE, CA",ST,33.4916942,-114.6035666,T,NAD83, 230, 20,NAVD88,15030104,dv,00060,00003,5425,1968-01-01,2020-11-17,18950,"c(-114.6035666, 33.4916942)",52,40
USGS,09429190,"P.V.I.D. D-23-1 NEAR BLYTHE, CA",ST,33.43391809,-114.6294005,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5426,1979-10-01,2020-10-31,14642,"c(-114.6294005, 33.43391809)",41,40
USGS,09429210,"P.V.I.D. C-28 UPPER SPILL NEAR BLYTHE, CA",ST,33.39697468,-114.72357,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5428,1979-10-01,2017-05-31,13393,"c(-114.72357, 33.39697468)",38,37
USGS,09429210,"P.V.I.D. C-28 UPPER SPILL NEAR BLYTHE, CA",ST,33.39697468,-114.72357,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,217607,2017-06-01,2020-10-31,1249,"c(-114.72357, 33.39697468)",3,40
USGS,09429225,"PVID ANDERSON DRAIN NR PALO VERDE, CA.",ST,33.3564203,-114.7185698,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5430,1980-10-01,1984-05-31,1339,"c(-114.7185698, 33.3564203)",4,4
USGS,09429230,"PVID C28 LOWER SPILL NEAR BLYTHE, CA.",ST,33.3511427,-114.7141253,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5431,1967-08-01,2020-10-31,19086,"c(-114.7141253, 33.3511427)",53,40
USGS,09429490,"COLORADO RIVER ABOVE IMPERIAL DAM, AZ-CA",ST,32.8849361,-114.468111,5,NAD83,NA,NA,NA,15030104,dv,00060,00003,213326,1976-10-01,2020-11-17,16119,"c(-114.468111, 32.8849361)",44,40
USGS,09429500,"COLORADO RIVER BELOW IMPERIAL DAM, AZ-CA",ST,32.86758333,-114.472111,T,NAD83, 130.,  1,NGVD29,15030107,dv,00060,00003,213060,1960-10-01,2018-11-30,21245,"c(-114.472111, 32.86758333)",58,38
USGS,09429500,"COLORADO RIVER BELOW IMPERIAL DAM, AZ-CA",ST,32.86758333,-114.472111,T,NAD83, 130.,  1,NGVD29,15030107,dv,00060,00003,244106,2018-11-29,2020-11-17,720,"c(-114.472111, 32.86758333)",2,40
USGS,09429600,"COLORADO RIVER BELOW LAGUNA DAM, AZ-CA",ST,32.8122666,-114.5149494,T,NAD83, 120.81, 20,NGVD29,15030107,dv,00060,00003,5438,1971-12-16,2020-11-17,17870,"c(-114.5149494, 32.8122666)",49,40
USGS,09521100,"COLORADO R BLW YUMA MAIN CANAL WW AT YUMA, AZ",ST,32.73171354,-114.6327306,T,NAD83, 101.99, 20,NGVD29,15030107,dv,00060,00003,5814,1963-10-01,2020-11-17,20868,"c(-114.6327306, 32.73171354)",57,40
USGS,09527000,"PILOT KNOB POWERPLANT AND WASTEWAY NR P.K., CA",ST,32.737547,-114.7163443,T,NAD83, 150., 20,NGVD29,15030107,dv,00060,00003,5858,1939-04-26,2020-09-30,28648,"c(-114.7163443, 32.737547)",81,40
USGS,09527594,"COACHELLA CANAL NEAR NILAND, CA",ST,33.2562222,-115.4511667,5,NAD83, 91., 4.,NAVD88,18100204,dv,00060,00003,5861,2009-10-17,2020-11-17,4050,"c(-115.4511667, 33.2562222)",11,40
USGS,09527597,"COACHELLA CANAL NEAR DESERT BEACH, CA",ST,33.53808109,-115.9186083,S,NAD83, 70,  5,NGVD29,18100204,dv,00060,00003,5862,2009-10-24,2020-11-17,4043,"c(-115.9186083, 33.53808109)",11,40
USGS,09527600,ALL-AMERICAN CNL BLW DR0P 1 POWERPLANT NR CALEXICO,ST,32.70532655,-114.968023,S,NAD83, 150, 10,NGVD29,18100204,dv,00060,00003,5863,2006-09-22,2011-09-29,1834,"c(-114.968023, 32.70532655)",5,31
USGS,09529600,"RESERVATION DRAIN NO. 7 NR BARD, CA",ST,32.81559999,-114.5477283,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5891,1979-10-01,2017-09-30,13394,"c(-114.5477283, 32.81559999)",38,37
USGS,09529700,"RESERVATION DRAIN NO. 6 NR. BARD, CA",ST,32.80421147,-114.5763403,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5892,1979-10-01,2017-09-30,13394,"c(-114.5763403, 32.80421147)",38,37
USGS,09529800,"RESERVATION DRAIN NO. 2 NR BARD, CA",ST,32.79643395,-114.5985632,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5893,1979-10-01,2017-09-30,13394,"c(-114.5985632, 32.79643395)",38,37
USGS,09529900,"RESERVATION DRAIN NO. 3 NR BARD, CA",ST,32.7747679,-114.6335642,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5894,1979-10-01,2017-09-30,13394,"c(-114.6335642, 32.7747679)",38,37
USGS,09530000,"RESERVATION MAIN DRAIN NO. 4 NEAR YUMA, AZ",ST,32.73726888,-114.621897,T,NAD83, 127.,2.5,NGVD29,15030107,dv,00060,00003,5895,1966-10-01,2020-11-17,19407,"c(-114.621897, 32.73726888)",54,40
USGS,09530400,"RESERVATION DRAIN NO. 11 NR WINTERHAVEN, CA",ST,32.7564352,-114.6860657,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5899,1979-10-01,2017-09-30,13394,"c(-114.6860657, 32.7564352)",38,37
USGS,09530500,"DRAIN 8-B NEAR WINTERHAVEN, CA",ST,32.74615776,-114.6943992,T,NAD83, 118.,2.5,NGVD29,15030107,dv,00060,00003,5900,1979-10-01,2020-11-17,14659,"c(-114.6943992, 32.74615776)",41,40
USGS,10250600,WILDROSE C NR WILDROSE STATION CA,ST,36.26494685,-117.1786704,F,NAD83,NA,NA,NA,18090204,dv,00060,00003,7197,1960-10-01,1975-09-29,5477,"c(-117.1786704, 36.26494685)",15,-5
USGS,10250800,DARWIN WASH NR DARWIN CA,ST,36.3207222,-117.5225278,F,NAD83, 2706,4.3,NAVD88,18090204,dv,00060,00003,7198,1962-10-01,1989-09-30,9862,"c(-117.5225278, 36.3207222)",27,9
USGS,10251000,BIG DIP C NR STOVEPIPE WELLS CA,ST,36.9179936,-117.2939587,F,NAD83,NA,NA,NA,18090203,dv,00060,00003,7199,1963-04-01,1969-09-29,2374,"c(-117.2939587, 36.9179936)",6,-11
USGS,10251100,SALT C NR STOVEPIPE WELLS CA,ST,36.5993918,-117.0136699,F,NAD83,NA,NA,NA,18090203,dv,00060,00003,204627,1974-02-13,1988-09-29,5343,"c(-117.0136699, 36.5993918)",14,8
USGS,10251259,AMARGOSA RV AT HWY 127 NR CA-NV STATE LINE,ST,36.3866218,-116.4236549,S,NAD83, 2060., 20,NGVD29,18090202,dv,00060,00003,102470,1993-09-01,1995-09-30,760,"c(-116.4236549, 36.3866218)",2,15
USGS,10251290,"BOREHOLE SPG CHANNEL NR TECOPA HOT SPGS, CA",ST,35.88569444,-116.23425,1,NAD83, 1345,4.3,NAVD88,18090202,dv,00060,00003,102472,2013-04-28,2020-11-17,2761,"c(-116.23425, 35.88569444)",7,40
USGS,10251300,"AMARGOSA RV AT TECOPA, CA",ST,35.84944444,-116.2308333,D,NAD83, 1292.76,.33,NAVD88,18090202,dv,00060,00003,102473,1961-10-01,2020-11-17,11576,"c(-116.2308333, 35.84944444)",59,40
USGS,10251330,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",ST,35.79052778,-116.2076389,1,NAD83, 1042.49,.33,NAVD88,18090202,dv,00060,00003,102474,2006-06-13,2020-11-17,5272,"c(-116.2076389, 35.79052778)",14,40
USGS,10251335,"WILLOW CK AT CHINA RANCH, CA",ST,35.80094444,-116.1944167,1,NAD83, 1239,5.4,NAVD88,18090202,dv,00060,00003,236244,2013-02-20,2020-11-17,2647,"c(-116.1944167, 35.80094444)",7,40
USGS,10251350,HORSETHIEF C NR TECOPA CA,ST,35.7810833,-115.898069,F,NAD83,NA,NA,NA,18090202,dv,00060,00003,7201,1960-10-01,1970-09-29,3651,"c(-115.898069, 35.7810833)",10,-10
USGS,10251375,"AMARGOSA RV AT DUMONT DUNES NR DEATH VALLEY, CA",ST,35.6958028,-116.2514107,S,NAD83, 660.,  1,NGVD29,18090203,dv,00060,00003,102476,1999-02-12,2001-09-29,961,"c(-116.2514107, 35.6958028)",2,21
USGS,10252300,CHINA SPRING C NR MOUNTAIN PASS CA,ST,35.46803824,-115.5091629,F,NAD83,NA,NA,NA,16060015,dv,00060,00003,7202,1960-10-01,1972-09-29,4382,"c(-115.5091629, 35.46803824)",12,-8
USGS,10252330,WHEATON WASH NR MOUNTAIN PASS CA,ST,35.46664968,-115.4869399,F,NAD83,NA,NA,NA,16060015,dv,00060,00003,7203,1964-10-01,1968-09-29,1460,"c(-115.4869399, 35.46664968)",4,-12
USGS,10253080,SUNFLOWER WASH NR ESSEX CA,ST,34.55000359,-115.1077524,F,NAD83,NA,NA,NA,18100100,dv,00060,00003,7204,1962-10-01,1970-09-29,2921,"c(-115.1077524, 34.55000359)",8,-10
USGS,10253320,QUAIL WASH NR JOSHUA TREE CA,ST,34.11778404,-116.3083436,F,NAD83,NA,NA,NA,18100100,dv,00060,00003,7205,1964-04-01,1971-09-29,2738,"c(-116.3083436, 34.11778404)",7,-9
USGS,10253350,FORTYNINE PALMS C NR TWENTYNINE PALMS CA,ST,34.12000347,-116.0961148,F,NAD83, 2315, 20,NGVD29,18100100,dv,00060,00003,7206,1962-10-01,1971-09-29,3286,"c(-116.0961148, 34.12000347)",9,-9
USGS,10253540,CORN SPRINGS WASH NR DESERT CENTER CA,ST,33.62502237,-115.3230362,F,NAD83,NA,NA,NA,18100100,dv,00060,00003,7207,1963-10-01,1971-09-29,2921,"c(-115.3230362, 33.62502237)",8,-9
USGS,10253600,EAGLE C A EAGLE MOUNTAIN CA,ST,33.862791,-115.5102636,F,NAD83, 1430, 20,NGVD29,18100100,dv,00060,00003,7208,1960-10-01,1966-09-29,2190,"c(-115.5102636, 33.862791)",6,-14
USGS,10254050,SALT C NR MECCA,ST,33.44697395,-115.8433289,F,NAD83,NA,NA,NA,18100204,dv,00060,00003,7210,1961-02-01,2020-11-17,21364,"c(-115.8433289, 33.44697395)",59,40
USGS,10254670,ALAMO R AT DROP 3 NR CALIPATRIA CA,ST,33.10444444,-115.5441667,F,NAD83, -190, 20,NGVD29,18100204,dv,00060,00003,7213,1979-07-01,2003-09-29,8848,"c(-115.5441667, 33.10444444)",24,23
USGS,10254730,ALAMO R NR NILAND CA,ST,33.19892768,-115.5969343,F,NAD83,NA,NA,NA,18100204,dv,00060,00003,7216,1960-10-01,2020-11-17,21963,"c(-115.5969343, 33.19892768)",60,40
USGS,10254970,NEW R AT INTERNATIONAL BOUNDARY AT CALEXICO CA,ST,32.6658925,-115.5030501,F,NAD83, -30,2.5,NGVD29,18100204,dv,00060,00003,7219,1979-10-01,2020-11-17,15024,"c(-115.5030501, 32.6658925)",41,40
USGS,10255200,MYER C TRIB NR JACUMBA CA,ST,32.6736725,-116.0814039,F,NAD83, 1880, 20,NGVD29,18100204,dv,00060,00003,7222,1966-02-01,1970-09-29,1702,"c(-116.0814039, 32.6736725)",4,-10
USGS,10255550,NEW R NR WESTMORLAND CA,ST,33.10476565,-115.6644382,F,NAD83, -217,1.6,NAVD88,18100204,dv,00060,00003,7223,1943-01-01,2020-11-17,28431,"c(-115.6644382, 33.10476565)",77,40
USGS,10255700,SAN FELIPE C NR JULIAN CA,ST,33.11865416,-116.4352927,F,NAD83,NA,NA,NA,18100203,dv,00060,00003,7224,1958-08-01,1983-09-29,9191,"c(-116.4352927, 33.11865416)",25,3
USGS,10255805,COYOTE C BL BOX CANYON NR BORREGO SPRINGS CA,ST,33.36503449,-116.41668,F,NAD83, 1100, 20,NGVD29,18100203,dv,00060,00003,7226,1983-10-01,1993-08-26,3331,"c(-116.41668, 33.36503449)",10,13
USGS,10255820,YAQUI PASS WASH NR BORREGO CA,ST,33.1472647,-116.3508454,F,NAD83, 1720, 20,NGVD29,18100203,dv,00060,00003,7228,1965-03-01,1969-09-29,1674,"c(-116.3508454, 33.1472647)",4,-11
USGS,10255850,VALLECITO C NR JULIAN CA,ST,32.9861588,-116.4202931,F,NAD83, 1860, 40,NGVD29,18100202,dv,00060,00003,7229,1963-10-01,1983-09-29,7304,"c(-116.4202931, 32.9861588)",20,3
USGS,10255885,SAN FELIPE C NR WESTMORLAND CA,ST,33.1239345,-115.8530559,F,NAD83, -180, 10,NGVD29,18100203,dv,00060,00003,7230,1960-12-01,1991-09-29,11260,"c(-115.8530559, 33.1239345)",31,11
USGS,10255890,EF WHITEWATER R DIV NR BANNING CA,ST,34.0628333,-116.808361,M,NAD83, 7160, 20,NGVD29,18100201,dv,00060,00003,7231,2015-10-01,2020-11-17,1254,"c(-116.808361, 34.0628333)",5,40
USGS,10255895,SF WHITEWATER R NR BANNING CA,ST,34.0623333,-116.819111,M,NAD83, 7125, 20,NGVD29,18100201,dv,00060,00003,214080,2016-12-14,2020-11-17,981,"c(-116.819111, 34.0623333)",4,40
USGS,10255897,SF WHITEWATER R DIV NR BANNING CA,ST,34.06194444,-116.818861,M,NAD83, 7115, 20,NGVD29,18100201,dv,00060,00003,7232,2015-10-02,2020-11-04,1231,"c(-116.818861, 34.06194444)",5,40
USGS,10255900,BLACK WHEEL C DIV NR BANNING CA,ST,34.0607833,-116.8190167,M,NAD83, 7130, 20,NGVD29,18100201,dv,00060,00003,7233,2015-10-08,2017-10-24,582,"c(-116.8190167, 34.0607833)",2,37
USGS,10256000,WHITEWATER R A WHITE WATER CA,ST,33.9466806,-116.6408473,S,NAD83, 1610, 20,NGVD29,18100201,dv,00060,00003,7234,1948-10-01,1979-09-30,11322,"c(-116.6408473, 33.9466806)",31,-1
USGS,10256050,WHITEWATER MWC DIV A WHITE WATER CA,ST,33.94556955,-116.6411251,F,NAD83,NA,NA,NA,18100201,dv,00060,00003,7237,1966-10-01,1981-10-02,4682,"c(-116.6411251, 33.94556955)",15,1
USGS,10256060,WHITEWATER R A WHITEWATER CUT A WHITE WATER CA,ST,33.92529248,-116.6361254,F,NAD83, 1360, 20,NGVD29,18100201,dv,00060,00003,7238,1985-10-01,1990-09-30,1459,"c(-116.6361254, 33.92529248)",5,10
USGS,10256200,SAN GORGONIO R NR BANNING CA,ST,33.9983474,-116.9089118,F,NAD83,NA,NA,NA,18100201,dv,00060,00003,7239,1975-10-01,1977-09-29,730,"c(-116.9089118, 33.9983474)",2,-3
USGS,10256300,SAN GORGONIO R A BANNING CA,ST,33.93112638,-116.827797,F,NAD83,NA,NA,NA,18100201,dv,00060,00003,7240,1981-02-04,1981-09-30,239,"c(-116.827797, 33.93112638)",0,1
USGS,10256400,SAN GORGONIO R NR WHITE WATER CA,ST,33.91888889,-116.6977778,F,NAD83, 1320, 20,NGVD29,18100201,dv,00060,00003,7241,1966-03-01,1978-09-29,4596,"c(-116.6977778, 33.91888889)",12,-2
USGS,10256500,SNOW C NR WHITE WATER CA,ST,33.8705722,-116.681127,F,NAD83, 2000, 40,NGVD29,18100201,dv,00060,00003,7242,1921-07-21,2020-11-17,25170,"c(-116.681127, 33.8705722)",99,40
USGS,10256501,SNOW C AND DIV COMBINED CA,ST,33.8705722,-116.681127,F,NAD83,NA,NA,NA,18100201,dv,00060,00003,222409,1959-10-01,2020-10-31,22312,"c(-116.681127, 33.8705722)",61,40
USGS,10256550,SNOW C DIV NR WHITE WATER CA,ST,33.8705722,-116.681127,F,NAD83,NA,NA,NA,18100201,dv,00060,00003,224997,1978-10-01,2020-10-31,14641,"c(-116.681127, 33.8705722)",42,40
USGS,10257499,FALLS C DIV NR WHITE WATER CA,ST,33.86946114,-116.6716824,S,NAD83, 1940, 40,NGVD29,18100201,dv,00060,00003,224913,1994-10-01,2020-10-31,9528,"c(-116.6716824, 33.86946114)",26,40
USGS,10257501,COMBINED FLOW FALLS C NR WHITE WATER + DIV CA,ST,33.86946114,-116.6716824,F,NAD83, 1940, 40,NGVD29,18100201,dv,00060,00003,222410,1994-10-01,2020-10-31,9521,"c(-116.6716824, 33.86946114)",26,40
USGS,10257548,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,ST,33.8989045,-116.6211256,S,NAD83, 1040, 10,NGVD29,18100201,dv,00060,00003,7248,1998-10-01,2020-11-17,8037,"c(-116.6211256, 33.8989045)",22,40
USGS,10257549,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,ST,33.8989045,-116.6211256,S,NAD83, 1040, 10,NGVD29,18100201,dv,00060,00003,7249,1998-10-01,2020-11-17,8082,"c(-116.6211256, 33.8989045)",22,40
USGS,10257550,WHITEWATER R A WINDY PT NR WHITE WATER CA,ST,33.8989045,-116.6211256,F,NAD83, 1040, 10,NGVD29,18100201,dv,00060,00003,224906,1984-10-01,2020-11-17,12784,"c(-116.6211256, 33.8989045)",36,40
USGS,10257710,CHINO CYN C NR PALM SPRINGS CA,ST,33.8391845,-116.6133486,F,NAD83, 2260, 20,NGVD29,18100201,dv,00060,00003,7252,1974-10-01,1985-07-18,3944,"c(-116.6133486, 33.8391845)",11,5
USGS,10257720,CHINO CYN C BL TRAMWAY NR PALM SPRINGS CA,ST,33.8441843,-116.6052929,F,NAD83, 2100, 20,NGVD29,18100201,dv,00060,00003,7253,1986-10-01,2020-11-17,12467,"c(-116.6052929, 33.8441843)",34,40
USGS,10257800,LONG C NR DESERT HOT SPRINGS CA,ST,33.9647345,-116.4438997,F,NAD83, 1560, 20,NGVD29,18100201,dv,00060,00003,7254,1963-05-01,1971-09-29,3074,"c(-116.4438997, 33.9647345)",8,-9
USGS,10258030,TAHQUITZ C A PALM SPRINGS CA,ST,33.81085244,-116.5436257,F,NAD83, 440, 20,NGVD29,18100201,dv,00060,00003,7256,1982-10-01,1983-02-28,151,"c(-116.5436257, 33.81085244)",1,3
USGS,10258100,PALM CYN C TRIB NR ANZA CA,ST,33.5689166,-116.5127935,F,NAD83,NA,NA,NA,18100201,dv,00060,00003,7257,1967-02-16,1973-09-29,2418,"c(-116.5127935, 33.5689166)",6,-7
USGS,10258700,MURRAY CYN C NR PALM SPRINGS CA,ST,33.75277778,-116.5444444,S,NAD83, 760, 20,NGVD29,18100201,dv,00060,00003,186471,2016-11-04,2020-11-17,1475,"c(-116.5444444, 33.75277778)",4,40
USGS,10259050,PALM CYN WASH NR CATHEDRAL CITY CA,ST,33.79724196,-116.481958,F,NAD83, 330, 10,NGVD29,18100201,dv,00060,00003,7260,1987-10-01,2020-11-17,12087,"c(-116.481958, 33.79724196)",33,40
USGS,10259100,WHITEWATER R A RANCHO MIRAGE CA,ST,33.749466,-116.4227903,F,NAD83,NA,NA,NA,18100201,dv,00060,00003,7261,1989-03-30,2020-11-17,11556,"c(-116.4227903, 33.749466)",31,40
USGS,10259300,WHITEWATER R A INDIO CA,ST,33.7372434,-116.236118,F,NAD83, 0,  5,NGVD29,18100201,dv,00060,00003,7263,1966-03-01,2020-11-17,19982,"c(-116.236118, 33.7372434)",54,40
USGS,10259540,WHITEWATER R NR MECCA,ST,33.52474915,-116.0775023,F,NAD83,NA,NA,NA,18100201,dv,00060,00003,7264,1960-10-01,2020-11-17,21902,"c(-116.0775023, 33.52474915)",60,40
