shrinkage,interaction.depth,n.minobsinnode,bag.fraction,dev_explained
0.001,2,5,0.75,0.46922517910280176
0.005,2,5,0.75,0.4857420581640152
0.001,3,5,0.75,0.49100892220272235
0.005,3,5,0.75,0.4921780354225788
0.001,4,5,0.75,0.48967943065713965
0.005,4,5,0.75,0.4935502651516709
0.001,2,10,0.75,0.4559143765280535
0.005,2,10,0.75,0.4872484142335609
0.001,3,10,0.75,0.47668517280168027
0.005,3,10,0.75,0.489153435308441
0.001,4,10,0.75,0.48238468802363943
0.005,4,10,0.75,0.4873477469223042
0.001,2,5,0.8,0.4731203335540877
0.005,2,5,0.8,0.48862016560990057
0.001,3,5,0.8,0.4935660041961491
0.005,3,5,0.8,0.49453879382636867
0.001,4,5,0.8,0.493771583910656
0.005,4,5,0.8,0.49358820316208424
0.001,2,10,0.8,0.4570435249928118
0.005,2,10,0.8,0.49007867215315387
0.001,3,10,0.8,0.47972534431309527
0.005,3,10,0.8,0.4934072333730926
0.001,4,10,0.8,0.48426778799821485
0.005,4,10,0.8,0.4890000081912972
