shrinkage,interaction.depth,n.minobsinnode,bag.fraction,dev_explained
0.001,2,5,0.75,0.4383935101653512
0.005,2,5,0.75,0.4542017674750054
0.001,3,5,0.75,0.4589472645798159
0.005,3,5,0.75,0.4633362675149426
0.001,4,5,0.75,0.46720316856503247
0.005,4,5,0.75,0.470888185685967
0.001,2,10,0.75,0.42692187057597025
0.005,2,10,0.75,0.4538221830329175
0.001,3,10,0.75,0.4563338885870408
0.005,3,10,0.75,0.4657692366776564
0.001,4,10,0.75,0.46816052006336445
0.005,4,10,0.75,0.470955450658136
0.001,2,5,0.8,0.44034169548062185
0.005,2,5,0.8,0.45620081046184796
0.001,3,5,0.8,0.45933252671062735
0.005,3,5,0.8,0.46359477411021577
0.001,4,5,0.8,0.468392729071983
0.005,4,5,0.8,0.47099431080269066
0.001,2,10,0.8,0.42779230377757693
0.005,2,10,0.8,0.45466173616154737
0.001,3,10,0.8,0.45534300169964637
0.005,3,10,0.8,0.46426106156071567
0.001,4,10,0.8,0.46761197571303864
0.005,4,10,0.8,0.47125427939336745
