shrinkage,interaction.depth,n.minobsinnode,bag.fraction,dev_explained
0.001,2,5,0.75,0.3663198269277951
0.005,2,5,0.75,0.3681968440053158
0.001,3,5,0.75,0.36554002352103926
0.005,3,5,0.75,0.3656878005978988
0.001,4,5,0.75,0.36517309738270265
0.005,4,5,0.75,0.36614455011307917
0.001,2,10,0.75,0.3666072137412269
0.005,2,10,0.75,0.3688701657490856
0.001,3,10,0.75,0.3655872941955705
0.005,3,10,0.75,0.3665086436005273
0.001,4,10,0.75,0.3648304022451671
0.005,4,10,0.75,0.365419207361169
0.001,2,5,0.8,0.36656338237586605
0.005,2,5,0.8,0.36718749510342535
0.001,3,5,0.8,0.3653126851792502
0.005,3,5,0.8,0.36720016659102866
0.001,4,5,0.8,0.3655130149645357
0.005,4,5,0.8,0.365259623769874
0.001,2,10,0.8,0.36673152504068196
0.005,2,10,0.8,0.3681475356715621
0.001,3,10,0.8,0.36515181816515935
0.005,3,10,0.8,0.36710152630594467
0.001,4,10,0.8,0.3654565168989827
0.005,4,10,0.8,0.365290487103844
