shrinkage,interaction.depth,n.minobsinnode,bag.fraction,dev_explained
0.001,2,5,0.75,0.5086662687462663
0.005,2,5,0.75,0.5180154412889582
0.001,3,5,0.75,0.516958636613393
0.005,3,5,0.75,0.5176500534490323
0.001,4,5,0.75,0.5193911182362139
0.005,4,5,0.75,0.5201492199374269
0.001,2,10,0.75,0.5032332191742527
0.005,2,10,0.75,0.5189879740893462
0.001,3,10,0.75,0.5174858306258003
0.005,3,10,0.75,0.5278206875222852
0.001,4,10,0.75,0.522544910947781
0.005,4,10,0.75,0.5318870624485569
0.001,2,5,0.8,0.5111609925132823
0.005,2,5,0.8,0.5206406438123388
0.001,3,5,0.8,0.5187151732988622
0.005,3,5,0.8,0.5191646183317176
0.001,4,5,0.8,0.5215845431691285
0.005,4,5,0.8,0.5204768577599861
0.001,2,10,0.8,0.508369060090986
0.005,2,10,0.8,0.526003646061095
0.001,3,10,0.8,0.5206070249798247
0.005,3,10,0.8,0.5236239411963918
0.001,4,10,0.8,0.5251958905338173
0.005,4,10,0.8,0.5251189173123865
