shrinkage,interaction.depth,n.minobsinnode,bag.fraction,dev_explained
0.001,2,5,0.75,0.5332271568821578
0.005,2,5,0.75,0.5403300303398247
0.001,3,5,0.75,0.5324976864867068
0.005,3,5,0.75,0.5325823138442762
0.001,4,5,0.75,0.5342521402975553
0.005,4,5,0.75,0.5320358867936906
0.001,2,10,0.75,0.5327122039707906
0.005,2,10,0.75,0.5351031782278235
0.001,3,10,0.75,0.537446015106203
0.005,3,10,0.75,0.5390354934019044
0.001,4,10,0.75,0.541533487659837
0.005,4,10,0.75,0.5412738645014123
0.001,2,5,0.8,0.5302656923669097
0.005,2,5,0.8,0.537356431308281
0.001,3,5,0.8,0.5291931712722466
0.005,3,5,0.8,0.5334817890207126
0.001,4,5,0.8,0.530499868441721
0.005,4,5,0.8,0.5345655581662295
0.001,2,10,0.8,0.5273600685650891
0.005,2,10,0.8,0.5316855190483836
0.001,3,10,0.8,0.53376721251057
0.005,3,10,0.8,0.5373074996885232
0.001,4,10,0.8,0.5389238852149688
0.005,4,10,0.8,0.538014603441243
