shrinkage,interaction.depth,n.minobsinnode,bag.fraction,dev_explained
0.001,2,5,0.75,0.3887587265191097
0.005,2,5,0.75,0.3865716305554484
0.001,3,5,0.75,0.3806368610151836
0.005,3,5,0.75,0.3815722346378456
0.001,4,5,0.75,0.3764665674264238
0.005,4,5,0.75,0.37818297569809745
0.001,2,10,0.75,0.3857567514014288
0.005,2,10,0.75,0.3859795104278684
0.001,3,10,0.75,0.3787440710887615
0.005,3,10,0.75,0.3785380027562283
0.001,4,10,0.75,0.3753397654263067
0.005,4,10,0.75,0.3750760004680435
0.001,2,5,0.8,0.3891353053365529
0.005,2,5,0.8,0.3864310391591947
0.001,3,5,0.8,0.3832849589059188
0.005,3,5,0.8,0.384396536326146
0.001,4,5,0.8,0.3781702597832549
0.005,4,5,0.8,0.37998618762506076
0.001,2,10,0.8,0.38565592938440524
0.005,2,10,0.8,0.3851454112914921
0.001,3,10,0.8,0.3787461233003895
0.005,3,10,0.8,0.3795288457224855
0.001,4,10,0.8,0.37629076027357533
0.005,4,10,0.8,0.37600667051807574
