shrinkage,interaction.depth,n.minobsinnode,bag.fraction,dev_explained
0.001,2,5,0.75,0.487685929907302
0.005,2,5,0.75,0.568197706182652
0.001,3,5,0.75,0.5455413248263706
0.005,3,5,0.75,0.5794558374778651
0.001,4,5,0.75,0.5650344373910202
0.005,4,5,0.75,0.5828414501748905
0.001,2,10,0.75,0.45879653962211187
0.005,2,10,0.75,0.5746204014520092
0.001,3,10,0.75,0.5064736548879262
0.005,3,10,0.75,0.5826209802202579
0.001,4,10,0.75,0.5223387507947806
0.005,4,10,0.75,0.5743151884672656
0.001,2,5,0.8,0.48823573905533196
0.005,2,5,0.8,0.5686270350769047
0.001,3,5,0.8,0.5467676716133788
0.005,3,5,0.8,0.5817027136906077
0.001,4,5,0.8,0.5675828530397835
0.005,4,5,0.8,0.5837088878944973
0.001,2,10,0.8,0.4613509223011701
0.005,2,10,0.8,0.5819377983607101
0.001,3,10,0.8,0.5095888845535204
0.005,3,10,0.8,0.5874875895922653
0.001,4,10,0.8,0.5250700942954547
0.005,4,10,0.8,0.5857265537452327
