shrinkage,interaction.depth,n.minobsinnode,bag.fraction,dev_explained
0.005,2,5,0.75,0.5119319804726078
0.01,2,5,0.75,0.5097441023718751
0.005,3,5,0.75,0.5226169281776611
0.01,3,5,0.75,0.5260041952643126
0.005,4,5,0.75,0.5305373367542854
0.01,4,5,0.75,0.5252097939179183
0.005,2,10,0.75,0.49953369492916816
0.01,2,10,0.75,0.4981849094888278
0.005,3,10,0.75,0.5146267248194971
0.01,3,10,0.75,0.5172789488834221
0.005,4,10,0.75,0.5177440549445176
0.01,4,10,0.75,0.5210343716443702
0.005,2,5,0.8,0.5112757559147878
0.01,2,5,0.8,0.5118175570302711
0.005,3,5,0.8,0.5216493548038682
0.01,3,5,0.8,0.5185813599476
0.005,4,5,0.8,0.5275797292204504
0.01,4,5,0.8,0.5254884078161406
0.005,2,10,0.8,0.4979934694993947
0.01,2,10,0.8,0.49299370772082945
0.005,3,10,0.8,0.5117381836086526
0.01,3,10,0.8,0.5107709688135184
0.005,4,10,0.8,0.5209156085911918
0.01,4,10,0.8,0.5249207478296667
