shrinkage,interaction.depth,n.minobsinnode,bag.fraction,dev_explained
0.001,2,5,0.75,0.2604989320863717
0.005,2,5,0.75,0.25896604972644366
0.001,3,5,0.75,0.259216622250517
0.005,3,5,0.75,0.2578283880530442
0.001,4,5,0.75,0.2582074766268009
0.005,4,5,0.75,0.25871207592642237
0.001,2,10,0.75,0.26050034731371646
0.005,2,10,0.75,0.2600648792122152
0.001,3,10,0.75,0.2592519102169758
0.005,3,10,0.75,0.2589008776622543
0.001,4,10,0.75,0.25760646702435247
0.005,4,10,0.75,0.25748096761397754
0.001,2,5,0.8,0.2616368919548014
0.005,2,5,0.8,0.2626711475074617
0.001,3,5,0.8,0.26065748855986853
0.005,3,5,0.8,0.2602179584354003
0.001,4,5,0.8,0.25966217168227135
0.005,4,5,0.8,0.26060190241827763
0.001,2,10,0.8,0.26117607180141494
0.005,2,10,0.8,0.2616153859151263
0.001,3,10,0.8,0.2601754935468763
0.005,3,10,0.8,0.26036272790018467
0.001,4,10,0.8,0.2588255550373995
0.005,4,10,0.8,0.2583224746505804
