StationCode,SampleID,latitude,longitude,YYYY,MM,DD
000CAT148,000CAT148_20101008_BMI_RWB_1,39.07525,-119.89953,2010,10,8
000CAT228,000CAT228_20101008_BMI_RWB_1,39.07317,-119.92006,2010,10,8
101WE1111,101WE1111_20020608_BMI_RWB_1,41.99178,-124.18097,2002,6,8
101WE1111,101WE1111_20020608_BMI_TRC_1,41.99178,-124.18097,2002,6,8
102PS0139,102PS0139_20100908_BMI_RWB_1,41.99596,-122.95979,2010,9,8
102PS0177,102PS0177_20120828_BMI_RWB_1,41.92939,-123.57254,2012,8,28
102PS0177,102PS0177_20120828_BMI_RWB_2,41.92939,-123.57254,2012,8,28
103CDCHHR,103CDCHHR_20100914_BMI_RWB_1,41.78887,-124.07766,2010,9,14
103CDCHHR,103CDCHHR_20100914_BMI_RWB_2,41.78887,-124.07766,2010,9,14
103FC1106,103FC1106_20140715_BMI_RWB_1,41.93373,-124.1084,2014,7,15
103FCA168,103FCA168_20090818_BMI_RWB_1,41.65021,-124.09143,2009,8,18
103FCA168,103FCA168_20130724_BMI_RWB_1,41.65021,-124.09143,2013,7,24
103KLCMSR,103KLCMSR_20100914_BMI_RWB_1,41.85532,-123.85239,2010,9,14
103PS0217,103PS0217_20131009_BMI_RWB_1,41.68708,-124.08349,2013,10,9
103RDCBCC,103RDCBCC_20110721_BMI_RWB_1,41.9548,-124.06245,2011,7,21
103STCNSR,103STCNSR_20110908_BMI_RWB_1,41.8621,-123.96064,2011,9,8
103WE0585,103WE0585_20000915_BMI_RWB_1,41.85242,-123.89641,2000,9,15
103WE0817,103WE0817_20040308_BMI_RWB_1,41.82633,-124.11418,2004,3,8
103WE0817,103WE0817_20010614_BMI_RWB_1,41.82633,-124.11418,2001,6,14
103WE0817,103WE0817_20040519_BMI_RWB_1,41.82633,-124.11418,2004,5,19
103WE0817,103WE0817_20030722_BMI_RWB_1,41.82633,-124.11418,2003,7,22
103WE0817,103WE0817_20030731_BMI_RWB_1,41.82633,-124.11418,2003,7,31
103WE1072,103WE1072_20030723_BMI_RWB_1,41.84402,-124.00182,2003,7,23
103WE1072,103WE1072_20020524_BMI_RWB_1,41.84402,-124.00182,2002,5,24
103WER026,103WER026_20120815_BMI_RWB_1,41.84611,-124.0275,2012,8,15
103WER026,103WER026_20120815_BMI_RWB_2,41.84611,-124.0275,2012,8,15
103WER026,103WER026_20030729_BMI_RWB_1,41.84611,-124.0275,2003,7,29
103WER026,103WER026_20030729_BMI_TRC_1,41.84611,-124.0275,2003,7,29
103WER029,103WER029_20160613_BMI_RWB_1,41.80827,-124.11215,2016,6,13
103WER029,103WER029_20140716_BMI_RWB_1,41.80827,-124.11215,2014,7,16
103WER029,103WER029_20170620_BMI_RWB_1,41.80827,-124.11215,2017,6,20
103WER029,103WER029_20150721_BMI_RWB_1,41.80827,-124.11215,2015,7,21
103WER029,103WER029_20030730_BMI_RWB_1,41.80827,-124.11215,2003,7,30
103WER029,103WER029_20030730_BMI_TRC_1,41.80827,-124.11215,2003,7,30
103WER030,103WER030_20111008_BMI_RWB_1,41.85675,-123.91167,2011,10,8
103WER030,103WER030_20030731_BMI_RWB_1,41.85675,-123.91167,2003,7,31
103WER030,103WER030_20030731_BMI_TRC_1,41.85675,-123.91167,2003,7,31
105BVCAGC,105BVCAGC_20100921_BMI_RWB_1,41.61201,-123.29221,2010,9,21
105CE0029,105CE0029_20040817_BMI_RWB_1,41.66083,-122.49833,2004,8,17
105CE0073,105CE0073_20040713_BMI_RWB_1,41.42694,-122.39555,2004,7,13
105CE0073,105CE0073_20040713_BMI_TRC_1,41.42694,-122.39555,2004,7,13
105CE0141,105CE0141_20051207_BMI_RWB_1,41.89194,-122.48694,2005,12,7
105CE0141,105CE0141_20051207_BMI_TRC_1,41.89194,-122.48694,2005,12,7
105CE0149,105CE0149_20050927_BMI_RWB_1,41.48333,-123.74194,2005,9,27
