StationCode,lat,lon,SiteStatus,County,PSARegion,Eco_III_2010,HUC_12,h12_area_sqkm,ID,comid,geometry
111WER047,39.72965635,-123.6323576,Reference,Mendocino,North_Coast,1,180101060103,153.883259792,T11475560,8287590,"c(-123.6323576, 39.72965635)"
204AHOACR,37.46158312,-121.7690186,Reference,Santa Clara,Coastal_Chaparral,6,180500040103,97.7642365113,T11173200,2809859,"c(-121.7690186, 37.46158312)"
204AMCADD,37.4973661038,-121.773603568,Reference,NA,NA,NA,180500040602,160.74484626499998,T11172945,2809681,"c(-121.773603568, 37.4973661038)"
308BSU,36.24559854,-121.773391,Reference,Monterey,Coastal_Chaparral,6,180600060301,151.267291176,T11143000,8189809,"c(-121.773391, 36.24559854)"
314SCCNSY,34.5963760105,-119.908421147,Reference,NA,NA,NA,180600100304,57.587179633299996,T11124500,17611425,"c(-119.908421147, 34.5963760105)"
402MJCMHS,34.5023972713,-119.357323311,Reference,NA,NA,NA,180701010101,141.30447511000003,T11114495,17585808,"c(-119.357323311, 34.5023972713)"
402S05407,34.50125108,-119.3504389,Reference,Ventura,SMC,8,180701010101,141.30447511000003,T11114495,17585818,"c(-119.3504389, 34.50125108)"
626BRCNVY,34.4208398899,-117.839307236,Reference,NA,NA,NA,180902061002,89.06788646960001,T10263500,22684930,"c(-117.839307236, 34.4208398899)"
630BUC001,38.27562088,-119.2584217,Reference,Mono,Central_Lahontan,13,160503010109,144.546349106,T10291500,8915031,"c(-119.2584217, 38.27562088)"
634GEN001,39.04425231,-120.1437994,Reference,El Dorado,Central_Lahontan,5,160501010402,101.13912222900001,T10336645,8941733,"c(-120.1437994, 39.04425231)"
634HID001,38.87143981,-119.9653022,Reference,El Dorado,Central_Lahontan,5,160501010302,105.348824247,T10336770,8944521,"c(-119.9653022, 38.87143981)"
634PS0062,38.87471247,-119.9712384,Reference,NA,NA,NA,160501010302,105.348824247,T10336770,8944513,"c(-119.9712384, 38.87471247)"
634R10GNL,39.02996227,-120.1603969,Reference,El Dorado,Central_Lahontan,5,160501010402,101.13912222900001,T10336645,8941733,"c(-120.1603969, 39.02996227)"
634UTR008,38.7937118,-120.0202984,Reference,El Dorado,Central_Lahontan,5,160501010301,71.08718789049999,T10336580,8943705,"c(-120.0202984, 38.7937118)"
636SAG001,39.43728013,-120.229495,Reference,Nevada,Central_Lahontan,5,160501020104,48.8687045229,T10343500,8933518,"c(-120.229495, 39.43728013)"
719ADCNPS,33.7606622599,-116.549842134,Reference,NA,NA,NA,181002010205,48.3630265867,T10259000,22592131,"c(-116.549842134, 33.7606622599)"
719FCA001,33.76056054,-116.549231,Reference,Riverside,Deserts_Modoc,81,181002010205,48.3630265867,T10259000,22592131,"c(-116.549231, 33.76056054)"
719MISSCK,34.0077515012,-116.622336513,Reference,NA,NA,NA,181002010303,130.627167206,T10257600,22591029,"c(-116.622336513, 34.0077515012)"
719NP7DPC,33.6336619347,-116.391956906,Reference,NA,NA,NA,181002010503,77.7963447669,T10259200,22592497,"c(-116.391956906, 33.6336619347)"
719TQCNPS,33.8051472712,-116.559311798,Reference,NA,NA,NA,181002010204,91.32243804970001,T10258000,22593497,"c(-116.559311798, 33.8051472712)"
719WE0864,33.76066574,-116.549863,Reference,Riverside,Deserts_Modoc,81,181002010205,48.3630265867,T10259000,22592131,"c(-116.549863, 33.76066574)"
722ABSPPC,33.2784492951,-116.429307679,Reference,NA,NA,NA,181002030302,149.22652547099997,T10255810,22595619,"c(-116.429307679, 33.2784492951)"
CAT08722-036,39.06611231,-119.9342582,Reference,Douglas,Nevada,-9999,160501010202,103.545049324,T10336740,8942509,"c(-119.9342582, 39.06611231)"
CAT08722-056,39.27978207,-119.9127368,Reference,Washoe,Nevada,-9999,160501010102,59.9851896458,T103366993,8942879,"c(-119.9127368, 39.27978207)"
SEDTMDL_105,37.19501616,-119.2084214,Reference,Fresno,West_Sierra,5,180400060903,65.59260054869999,T11237500,17116209,"c(-119.2084214, 37.19501616)"
SEDTMDL_33,39.04347,-120.1477479,Reference,El Dorado,Central_Lahontan,5,160501010402,101.13912222900001,T10336645,8941733,"c(-120.1477479, 39.04347)"
SMC04383,34.50221069,-119.3558715,Reference,Ventura,SMC,8,180701010101,141.30447511000003,T11114495,17585808,"c(-119.3558715, 34.50221069)"
SMC09503,34.49756745,-119.3391315,Reference,NA,NA,NA,180701010101,141.30447511000003,T11114495,17587578,"c(-119.3391315, 34.49756745)"
SMC13599,34.49897941,-119.3418709,Reference,NA,NA,NA,180701010101,141.30447511000003,T11114495,17586412,"c(-119.3418709, 34.49897941)"
T11451100,39.165746,-122.6199891,Reference,NA,NA,NA,180201160403,46.6297995897,T11451100,8005975,"c(-122.6199891, 39.165746)"
