StationCode,longitude,latitude,HUC_12,gage_id,ID,NHDV1_COMID,NHDV2_COMID,STATION_NAME,SampleID
103WE0817,-124.11418,41.82633,180101010404,11532500,T11532500,22226812,22226812,SMITH R NR CRESCENT CITY CA,103WE0817_06142001_BMI_RWB_1
105CR0901,-123.5227,41.3226,180102090802,11523000,T11523000,4442602,4442602,KLAMATH R A ORLEANS,105CR0901_07232014_BMI_RWB_1
105FCA020,-123.52796,41.31853,180102090802,11523000,T11523000,4442602,4442602,KLAMATH R A ORLEANS,105FCA020_09182008_BMI_RWB_1
105PS0193,-123.3849,41.8294,180102090104,11521500,T11521500,4440524,4440524,INDIAN C NR HAPPY CAMP CA,105PS0193_08292012_BMI_RWB_1
105WE0603,-123.56865,41.2912,180102090802,11523000,T11523000,4442602,4442602,KLAMATH R A ORLEANS,105WE0603_06222001_BMI_RWB_1
106WE0580,-123.33513,40.7789,180102111105,11527000,T11527000,8245172,8245172,TRINITY R NR BURNT RANCH CA,106WE0580_08302000_BMI_RWB_1
107WE0605,-123.8084,40.89154,180101020102,11481500,T11481500,8319319,8319319,REDWOOD C NR BLUE LAKE CA,107WE0605_09192000_BMI_CSBP_Trans_1
109PS0162,-124.04166,40.90519,180101020408,11481000,T11481000,8316811,8316811,MAD R NR ARCATA CA,109PS0162_07202011_BMI_RWB_1
114AU7778,-123.11811,38.58703,180101100802,11467200,T11467200,8271049,8271049,AUSTIN C NR CAZADERO CA,114AU7778_06212010_BMI_RWB_1
114BSCURx,-122.77731,38.78567,180101100302,11463170,T11463170,8271917,8271917,BIG SULPHUR C A G RESORT NR CLOVERDALE CA,114BSCURx_06242002_BMI_CSBP_Trans_1
114BSCURx,-122.77731,38.78567,180101100302,11463200,T11463200,8271875,8271875,BIG SULPHUR C NR CLOVERDALE CA,114BSCURx_06242002_BMI_CSBP_Trans_1
114CE0259,-122.82664,38.80456,180101100302,11463170,T11463170,8271917,8271917,BIG SULPHUR C A G RESORT NR CLOVERDALE CA,114CE0259_06132006_BMI_RWB_1
114CE0259,-122.82664,38.80456,180101100302,11463200,T11463200,8271875,8271875,BIG SULPHUR C NR CLOVERDALE CA,114CE0259_06132006_BMI_RWB_1
114CE0283,-123.11083000000001,39.26083,180101100103,11461500,T11461500,8269091,8269091,EF RUSSIAN R NR CALPELLA CA,114CE0283_08222006_BMI_RWB_1
114FCASCx,-122.91117,38.82916,180101100302,11463170,T11463170,8271917,8271917,BIG SULPHUR C A G RESORT NR CLOVERDALE CA,114FCASCx_06202002_BMI_CSBP_Trans_1
114FCASCx,-122.91117,38.82916,180101100302,11463200,T11463200,8271875,8271875,BIG SULPHUR C NR CLOVERDALE CA,114FCASCx_06202002_BMI_CSBP_Trans_1
114PS0088,-123.0942,38.5574,180101100802,11467200,T11467200,8271049,8271049,AUSTIN C NR CAZADERO CA,114PS0088_08192009_BMI_RWB_1
201LAG130,-122.7845,38.08064,180500050104,11460600,T11460600,5329511,5329511,LAGUNITAS C NR PT REYES STATION CA,201LAG130_04162001_BMI_CSBP_Trans_1
201LAG165,-122.76522,38.05839,180500050103,11460400,T11460400,5329621,5329621,LAGUNITAS C A SP TAYLOR STATE PK CA,201LAG165_06142016_BMI_RWB_1
201LAG180,-122.74611,38.03722,180500050103,11460400,T11460400,5329621,5329621,LAGUNITAS C A SP TAYLOR STATE PK CA,201LAG180_04172001_BMI_CSBP_Trans_1
201LAG18X,-122.80336,38.06485,180500050104,11460600,T11460600,5329511,5329511,LAGUNITAS C NR PT REYES STATION CA,201LAG18X_04172001_BMI_CSBP_Trans_1
201LAG210,-122.73306,38.01861,180500050103,11460400,T11460400,5329621,5329621,LAGUNITAS C A SP TAYLOR STATE PK CA,201LAG210_04172001_BMI_CSBP_Trans_1
201LAG220,-122.72297,38.01611,180500050103,11460400,T11460400,5329621,5329621,LAGUNITAS C A SP TAYLOR STATE PK CA,201LAG220_04172001_BMI_CSBP_Trans_1
201LAG320,-122.70878,38.00453,180500050103,11460400,T11460400,5329621,5329621,LAGUNITAS C A SP TAYLOR STATE PK CA,201LAG320_04182001_BMI_CSBP_Trans_1
201WLK140,-122.86006,38.21192,180500050203,11460750,T11460750,5329357,5329357,WALKER C NR MARSHALL CA,201WLK140_04172001_BMI_CSBP_Trans_1
201WLK160,-122.82044,38.17545,180500050203,11460750,T11460750,5329357,5329357,WALKER C NR MARSHALL CA,201WLK160_04182001_BMI_CSBP_Trans_1
202PES060,-122.38314,37.25449,180500060103,11162500,T11162500,17688105,17688105,PESCADERO C NR PESCADERO CA,202PES060_06212017_BMI_RWB_1
202PES162,-122.26395,37.26914,180500060103,11162500,T11162500,17688105,17688105,PESCADERO C NR PESCADERO CA,202PES162_06252015_BMI_RWB_1
202PS0134,-122.42819,37.46526,180500060201,11162620,T11162620,17687547,17687547,PILARCITOS C BL STONE DAM NR HILLSBOROUGH CA,202PS0134_05312011_BMI_RWB_1
202PS0134,-122.42819,37.46526,180500060201,11162630,T11162630,17688275,17688275,PILARCITOS C A HALF MOON BAY CA,202PS0134_05312011_BMI_RWB_1
204AHOACR,-121.76833,37.46138,180500040103,11173200,T11173200,2809859,2809859,ARROYO HONDO NR SAN JOSE CA,204AHOACR_05132004_BMI_CSBP_Trans_1
204ALA525,-121.76043,37.49664,180500040602,11172945,T11172945,2809681,2809681,ALAMEDA C AB DIV DAM NR SUNOL CA,204ALA525_05222012_BMI_RWB_1
204CE0116,-121.70861,37.40916,180500040103,11173200,T11173200,2809859,2809859,ARROYO HONDO NR SAN JOSE CA,204CE0116_05052015_BMI_RWB_1
204CE0314,-122.08555,37.67861,180500040802,11180825,T11180825,2803945,2803945,SAN LORENZO C AB DON CASTRO RES NR CASTRO V CA,204CE0314_05302007_BMI_RWB_1
204CE0314,-122.08555,37.67861,180500040802,11181000,T11181000,2803983,2803983,SAN LORENZO C A HAYWARD CA,204CE0314_05302007_BMI_RWB_1
204CE0314,-122.08555,37.67861,180500040802,11181008,T11181008,2803985,2803985,CASTRO VALLEY C A HAYWARD CA,204CE0314_05302007_BMI_RWB_1
204CE0314,-122.08555,37.67861,180500040802,11181040,T11181040,2804929,2804929,SAN LORENZO C A SAN LORENZO CA,204CE0314_05302007_BMI_RWB_1
204CE0730,-122.08027,37.68,180500040802,11180825,T11180825,2803945,2803945,SAN LORENZO C AB DON CASTRO RES NR CASTRO V CA,204CE0730_05302007_BMI_RWB_1
204CE0730,-122.08027,37.68,180500040802,11181000,T11181000,2803983,2803983,SAN LORENZO C A HAYWARD CA,204CE0730_05302007_BMI_RWB_1
204CE0730,-122.08027,37.68,180500040802,11181008,T11181008,2803985,2803985,CASTRO VALLEY C A HAYWARD CA,204CE0730_05302007_BMI_RWB_1
204CE0730,-122.08027,37.68,180500040802,11181040,T11181040,2804929,2804929,SAN LORENZO C A SAN LORENZO CA,204CE0730_05302007_BMI_RWB_1
204PS0102,-122.02901,37.69809,180500040802,11180825,T11180825,2803945,2803945,SAN LORENZO C AB DON CASTRO RES NR CASTRO V CA,204PS0102_06152011_BMI_RWB_1
204PS0102,-122.02901,37.69809,180500040802,11181000,T11181000,2803983,2803983,SAN LORENZO C A HAYWARD CA,204PS0102_06152011_BMI_RWB_1
204PS0102,-122.02901,37.69809,180500040802,11181008,T11181008,2803985,2803985,CASTRO VALLEY C A HAYWARD CA,204PS0102_06152011_BMI_RWB_1
204PS0102,-122.02901,37.69809,180500040802,11181040,T11181040,2804929,2804929,SAN LORENZO C A SAN LORENZO CA,204PS0102_06152011_BMI_RWB_1
205PS0074,-122.13358,37.45431,180500030404,11164500,T11164500,17693217,17693217,SAN FRANCISQUITO C A STANFORD UNIVERSITY CA,205PS0074_07142010_BMI_RWB_1
205PS0109,-121.88082,37.29257,180500030304,11169000,T11169000,17694137,17694137,GUADALUPE R A SAN JOSE CA,205PS0109_06212011_BMI_RWB_1
205PS0109,-121.88082,37.29257,180500030304,11169025,T11169025,17694137,17694137,GUADALUPE R ABV HWY 101 A SAN JOSE CA,205PS0109_06212011_BMI_RWB_1
205SAR057,-122.01181,37.27739,180500030402,11169500,T11169500,17693069,17693069,SARATOGA C A SARATOGA CA,205SAR057_05132009_BMI_RWB_1
205SAR060,-122.01633,37.27219,180500030402,11169500,T11169500,17693069,17693069,SARATOGA C A SARATOGA CA,205SAR060_05132009_BMI_RWB_1
205SAR070,-122.02845,37.2621,180500030402,11169500,T11169500,17693069,17693069,SARATOGA C A SARATOGA CA,205SAR070_05142009_BMI_RWB_1
