shrinkage,interaction.depth,n.minobsinnode,bag.fraction,dev_explained
0.001,2,5,0.75,0.24010814264443622
0.005,2,5,0.75,0.36528501225873283
0.001,3,5,0.75,0.29726837973340864
0.005,3,5,0.75,0.41537315056226876
0.001,4,5,0.75,0.3356557748987842
0.005,4,5,0.75,0.42049930878609854
0.001,2,10,0.75,0.2131959715537613
0.005,2,10,0.75,0.28151298398572233
0.001,3,10,0.75,0.2616197362514143
0.005,3,10,0.75,0.35327724114626075
0.001,4,10,0.75,0.2968815375209417
0.005,4,10,0.75,0.37770135198020616
0.001,2,5,0.8,0.2391359679413434
0.005,2,5,0.8,0.3642749282580076
0.001,3,5,0.8,0.2964692477015139
0.005,3,5,0.8,0.4144634408139989
0.001,4,5,0.8,0.3353505290169922
0.005,4,5,0.8,0.41993858556004593
0.001,2,10,0.8,0.21104057459518322
0.005,2,10,0.8,0.275530361626568
0.001,3,10,0.8,0.2613026293155573
0.005,3,10,0.8,0.3466443819335974
0.001,4,10,0.8,0.2937790823010692
0.005,4,10,0.8,0.3748385497898241
0.007,5,5,0.75,0.42297152597621923
0.009,5,5,0.75,0.4224347252591905
