Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1995,NA,355,NA,NA,5,317.0056139230353,21,0.034799608993157385,46,466,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.4,506,536.4,NA,NA,NA
1996,NA,354,NA,NA,2,260.7053827808669,6,0.03875968992248062,52,490,302,NA,NA,NA,NA,NA,219,NA,NA,4,NA,566.4,506,536.4,NA,1,NA
1997,NA,342,NA,NA,1,288.9431258222041,5,0.0629110088654472,35,467,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.4,506,536.4,NA,NA,NA
1998,NA,355,NA,NA,4,320.994108783742,2,0.0365296803652968,45,496,310,NA,NA,NA,NA,NA,290,NA,NA,1,NA,566.4,506,536.4,NA,1,NA
1999,NA,357,NA,NA,3,296.999777618619,8,0.016732126876802228,65,495,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.4,506,536.4,NA,NA,NA
2000,NA,349,NA,NA,5,325.0011284147441,12,0.023031727379553467,56,488,293,NA,NA,NA,NA,NA,267,269,NA,7,1,566.4,506,536.4,NA,1,1
2001,NA,358,NA,NA,1,320.631691000044,6,0.02494065756468746,48,396,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.4,506,536.4,NA,NA,NA
2002,NA,352,NA,NA,8,288.99606824745536,17,0.011396011396011397,81,412,271,NA,NA,NA,NA,NA,216,NA,NA,5,NA,566.4,506,536.4,NA,1,NA
2003,NA,356,NA,NA,2,320.9998677913592,18,0.04914004914004914,37,485,319,NA,NA,NA,NA,NA,271,236,NA,18,8,566.4,506,536.4,NA,3,3
2004,NA,350,NA,NA,5,228.98239108981085,15,0.03993319161858488,46,470,304,NA,NA,NA,NA,NA,210,NA,NA,2,NA,566.4,506,536.4,NA,1,NA
2005,NA,359,NA,NA,2,269.9917853449709,0,0.04138190214948781,42,433,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.4,506,536.4,NA,NA,NA
2006,NA,355,NA,NA,6,184.01892639182824,8,0.02678468458078653,46,472,309,NA,NA,NA,NA,NA,249.5,NA,NA,5,NA,566.4,506,536.4,NA,2,NA
2007,NA,347,NA,NA,8,196.99408517071225,3,0.023250942605781318,46,451,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.4,506,536.4,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,8,451,31,37,NA,NA,NA,0.027707808564231738,175,471,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.4,506,536.4,NA,NA,NA
2011,NA,358,NA,NA,NA,NA,NA,0.06276150627615062,35,438,323,315,0,151,8,218,240,241,1,8,6,566.4,506,536.4,1,2,2
2012,NA,356,NA,NA,3,342.0155925411081,20,0.03638763197586727,55,470,301,NA,NA,NA,NA,230,248.5,250.5,2,17,7,566.4,506,536.4,1,2,2
2013,NA,351,NA,NA,5,322.0500552697719,10,0.05185950413223141,44,328,307,NA,NA,NA,NA,NA,211,NA,NA,4,NA,566.4,506,536.4,NA,1,NA
2014,NA,342,NA,NA,4,240.0254953939398,7,0.0583756345177665,34,403,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.4,506,536.4,NA,NA,NA
2015,NA,349,NA,NA,8,184.2309777087471,19,0.04580712788259958,49,364,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.4,506,536.4,NA,NA,NA
