metric,status_code,status,alteration_type,median_in_iqr,comid
DS_Dur_WS,-1,likely_altered,low,FALSE,15014869
DS_Tim,-1,likely_altered,late,FALSE,15014869
DS_Mag_50,0,indeterminate,unknown,TRUE,15014869
DS_Mag_90,-1,likely_altered,high,FALSE,15014869
FA_Mag,-1,likely_altered,high,FALSE,15014869
FA_Tim,-1,likely_altered,early,FALSE,15014869
SP_Dur,1,likely_unaltered,none_found,TRUE,15014869
SP_Mag,1,likely_unaltered,none_found,FALSE,15014869
SP_Tim,-1,likely_altered,late,FALSE,15014869
Wet_BFL_Dur,-1,likely_altered,high,FALSE,15014869
Wet_BFL_Mag_10,0,indeterminate,unknown,TRUE,15014869
Wet_BFL_Mag_50,-1,likely_altered,high,FALSE,15014869
Wet_Tim,-1,likely_altered,early,FALSE,15014869
Peak_10,-1,likely_altered,low,FALSE,15014869
Peak_2,1,likely_unaltered,none_found,TRUE,15014869
Peak_5,1,likely_unaltered,none_found,FALSE,15014869
